Delivery Date,Hour Ending,Price,Time_Index
1/1/2016,1:00,18.42,1
1/1/2016,2:00,16.15,2
1/1/2016,3:00,15.61,3
1/1/2016,4:00,15.62,4
1/1/2016,5:00,15.94,5
1/1/2016,6:00,16.69,6
1/1/2016,7:00,18.96,7
1/1/2016,8:00,19.18,8
1/1/2016,9:00,19.09,9
1/1/2016,10:00,19.66,10
1/1/2016,11:00,20.6,11
1/1/2016,12:00,20.61,12
1/1/2016,13:00,20.31,13
1/1/2016,14:00,20.07,14
1/1/2016,15:00,19.09,15
1/1/2016,16:00,19.34,16
1/1/2016,17:00,20.07,17
1/1/2016,18:00,24.96,18
1/1/2016,19:00,26.26,19
1/1/2016,20:00,23.24,20
1/1/2016,21:00,22.79,21
1/1/2016,22:00,21.36,22
1/1/2016,23:00,20.31,23
1/1/2016,24:00:00,19.65,24
1/2/2016,1:00,18.99,25
1/2/2016,2:00,17.94,26
1/2/2016,3:00,17.16,27
1/2/2016,4:00,17,28
1/2/2016,5:00,17.9,29
1/2/2016,6:00,17.65,30
1/2/2016,7:00,20.11,31
1/2/2016,8:00,21.33,32
1/2/2016,9:00,23.41,33
1/2/2016,10:00,24.87,34
1/2/2016,11:00,23.4,35
1/2/2016,12:00,21.84,36
1/2/2016,13:00,20.78,37
1/2/2016,14:00,19.68,38
1/2/2016,15:00,18.29,39
1/2/2016,16:00,17.94,40
1/2/2016,17:00,19.34,41
1/2/2016,18:00,23.48,42
1/2/2016,19:00,23.48,43
1/2/2016,20:00,21.73,44
1/2/2016,21:00,20.73,45
1/2/2016,22:00,19.97,46
1/2/2016,23:00,19.87,47
1/2/2016,24:00:00,18.43,48
1/3/2016,1:00,17.44,49
1/3/2016,2:00,16.46,50
1/3/2016,3:00,16.18,51
1/3/2016,4:00,16.35,52
1/3/2016,5:00,17.01,53
1/3/2016,6:00,17.7,54
1/3/2016,7:00,19.28,55
1/3/2016,8:00,20.03,56
1/3/2016,9:00,20.17,57
1/3/2016,10:00,20.22,58
1/3/2016,11:00,19.85,59
1/3/2016,12:00,18.66,60
1/3/2016,13:00,17.14,61
1/3/2016,14:00,16.33,62
1/3/2016,15:00,16.04,63
1/3/2016,16:00,15.97,64
1/3/2016,17:00,16.98,65
1/3/2016,18:00,21.26,66
1/3/2016,19:00,21.87,67
1/3/2016,20:00,20.88,68
1/3/2016,21:00,20.25,69
1/3/2016,22:00,19.69,70
1/3/2016,23:00,18.78,71
1/3/2016,24:00:00,18.14,72
1/4/2016,1:00,17.01,73
1/4/2016,2:00,17.07,74
1/4/2016,3:00,17.47,75
1/4/2016,4:00,18,76
1/4/2016,5:00,19.34,77
1/4/2016,6:00,21.79,78
1/4/2016,7:00,53.72,79
1/4/2016,8:00,35.84,80
1/4/2016,9:00,24.43,81
1/4/2016,10:00,23.83,82
1/4/2016,11:00,21.87,83
1/4/2016,12:00,20.28,84
1/4/2016,13:00,19.03,85
1/4/2016,14:00,17.5,86
1/4/2016,15:00,16.44,87
1/4/2016,16:00,16.52,88
1/4/2016,17:00,17.43,89
1/4/2016,18:00,23,90
1/4/2016,19:00,27.38,91
1/4/2016,20:00,22.92,92
1/4/2016,21:00,22.65,93
1/4/2016,22:00,21.53,94
1/4/2016,23:00,20.39,95
1/4/2016,24:00:00,18.72,96
1/5/2016,1:00,15.89,97
1/5/2016,2:00,15.88,98
1/5/2016,3:00,15.99,99
1/5/2016,4:00,16.5,100
1/5/2016,5:00,18,101
1/5/2016,6:00,21.19,102
1/5/2016,7:00,48.84,103
1/5/2016,8:00,29.84,104
1/5/2016,9:00,22.98,105
1/5/2016,10:00,22.67,106
1/5/2016,11:00,21.49,107
1/5/2016,12:00,20.61,108
1/5/2016,13:00,19.74,109
1/5/2016,14:00,19.08,110
1/5/2016,15:00,18.01,111
1/5/2016,16:00,17.63,112
1/5/2016,17:00,18.48,113
1/5/2016,18:00,22.64,114
1/5/2016,19:00,22.71,115
1/5/2016,20:00,21.93,116
1/5/2016,21:00,21,117
1/5/2016,22:00,19.64,118
1/5/2016,23:00,18.61,119
1/5/2016,24:00:00,17.11,120
1/6/2016,1:00,12.6,121
1/6/2016,2:00,10.69,122
1/6/2016,3:00,10.28,123
1/6/2016,4:00,11.67,124
1/6/2016,5:00,13.68,125
1/6/2016,6:00,17.35,126
1/6/2016,7:00,23.4,127
1/6/2016,8:00,21.76,128
1/6/2016,9:00,20.49,129
1/6/2016,10:00,20.43,130
1/6/2016,11:00,20.82,131
1/6/2016,12:00,19.69,132
1/6/2016,13:00,18.66,133
1/6/2016,14:00,18.86,134
1/6/2016,15:00,18.48,135
1/6/2016,16:00,17.67,136
1/6/2016,17:00,18.43,137
1/6/2016,18:00,24.96,138
1/6/2016,19:00,24.23,139
1/6/2016,20:00,21.39,140
1/6/2016,21:00,19.98,141
1/6/2016,22:00,18.64,142
1/6/2016,23:00,16.82,143
1/6/2016,24:00:00,15.64,144
1/7/2016,1:00,14.44,145
1/7/2016,2:00,11.11,146
1/7/2016,3:00,10.67,147
1/7/2016,4:00,11,148
1/7/2016,5:00,12.74,149
1/7/2016,6:00,14.96,150
1/7/2016,7:00,21.41,151
1/7/2016,8:00,21.51,152
1/7/2016,9:00,19.93,153
1/7/2016,10:00,19.64,154
1/7/2016,11:00,19.82,155
1/7/2016,12:00,16.79,156
1/7/2016,13:00,16.56,157
1/7/2016,14:00,16.31,158
1/7/2016,15:00,15.65,159
1/7/2016,16:00,15.66,160
1/7/2016,17:00,16.19,161
1/7/2016,18:00,22.97,162
1/7/2016,19:00,22.18,163
1/7/2016,20:00,20.78,164
1/7/2016,21:00,19.75,165
1/7/2016,22:00,17.97,166
1/7/2016,23:00,15.87,167
1/7/2016,24:00:00,14.84,168
1/8/2016,1:00,15.44,169
1/8/2016,2:00,14.04,170
1/8/2016,3:00,14.03,171
1/8/2016,4:00,14.03,172
1/8/2016,5:00,15.1,173
1/8/2016,6:00,17.53,174
1/8/2016,7:00,22.81,175
1/8/2016,8:00,22.39,176
1/8/2016,9:00,21.42,177
1/8/2016,10:00,21.31,178
1/8/2016,11:00,20.63,179
1/8/2016,12:00,18.69,180
1/8/2016,13:00,17.38,181
1/8/2016,14:00,17.24,182
1/8/2016,15:00,16.57,183
1/8/2016,16:00,16.53,184
1/8/2016,17:00,17.6,185
1/8/2016,18:00,23.5,186
1/8/2016,19:00,22,187
1/8/2016,20:00,20.26,188
1/8/2016,21:00,19.66,189
1/8/2016,22:00,17.95,190
1/8/2016,23:00,17.49,191
1/8/2016,24:00:00,16.51,192
1/9/2016,1:00,16.11,193
1/9/2016,2:00,14.52,194
1/9/2016,3:00,14.12,195
1/9/2016,4:00,13.99,196
1/9/2016,5:00,14.14,197
1/9/2016,6:00,13.43,198
1/9/2016,7:00,17,199
1/9/2016,8:00,19.75,200
1/9/2016,9:00,20.25,201
1/9/2016,10:00,21.56,202
