BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.570282394181992e8,790944.0998618533,-934756.3259981022,0.0,0.0,0.0,0.0,0.0,0.0,-3.5726000918438e8
t1,29407.906090000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29420.63569
t2,28858.130750000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28870.81355
t3,28199.088079999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28211.72408
t4,27807.652050000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27820.28805
t5,27616.366479999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27628.95568
t6,27775.11373,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27787.65613
t7,28361.514890000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28374.05729
t8,29038.051180000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29050.54678
t9,29807.719460000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29820.16826
t10,30835.944129999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30848.39293
t11,31487.602040000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31500.00404
t12,31967.795950000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31980.15115
t13,32260.119000000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32272.4742
t14,32318.467030000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32330.77543
t15,32261.559620000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32273.82122
t16,32275.921810000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32288.18341
t17,32308.46526,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32320.68006
t18,33286.16493,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33298.33293
t19,35079.24244,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35091.41044
t20,34794.188969999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34806.31017
t21,34049.30459,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34061.37899
t22,33149.265620000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33161.34002
t23,31699.942830000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31711.97043
t24,30721.59187100824,0.0,-625.046081008235,0.0,0.0,0.0,0.0,0.0,0.0,-30108.52659
t25,28546.60727654824,0.0,-52.68348654823783,0.0,0.0,0.0,0.0,0.0,0.0,-28505.90459
t26,27593.859427198237,0.0,-117.23545719823414,0.0,0.0,0.0,0.0,0.0,0.0,-27488.55797
t27,27091.015164394237,0.0,-183.7009443942352,0.0,0.0,0.0,0.0,0.0,0.0,-26919.20142
t28,27558.558880000004,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-26832.55888
t29,27920.663530000005,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-27194.66353
t30,28813.619120000003,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-28087.61912
t31,29410.090570000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29421.88417
t32,30353.723700000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30365.4705
t33,31311.865630000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31323.56563
t34,32267.889220000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32279.58922
t35,33228.01056,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33239.66376
t36,34053.086319999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34064.69272
t37,34555.295379999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34566.90178
t38,35017.82906,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35029.38866
t39,35309.827435663996,83.69161433599766,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35405.03185
t40,34848.372110000004,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35585.88491
t41,35462.17475579872,34.53406420128145,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35508.17482
t42,35211.229172464,668.1170575359956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35890.76543
t43,36674.68234,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37412.10154
t44,36909.93704,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36921.30944
t45,35932.25272999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35943.57833
