,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/1/2020 1:00,35.29101,5764.713907,637.733668,12306.79955,27.607916,5098.685488,-0.952419,0.0035,12832.85391,1
1/1/2020 2:00,35.333704,5742.606807,634.212035,11553.53044,18.757249,5097.534591,-0.432023,0.0035,13328.726,2
1/1/2020 3:00,34.930512,5709.616961,621.513337,10622.11997,10.673514,5098.336663,2.23386,0.0035,13920.05803,3
1/1/2020 4:00,35.016495,5591.198396,615.493605,9926.127676,13.764742,5097.670123,-3.546542,0.007,14443.90028,4
1/1/2020 5:00,34.90827,5489.500534,616.412799,9920.990752,53.700027,5097.827365,-1.747271,0.0035,14713.6956,5
1/1/2020 6:00,34.886169,5588.429118,617.903017,10679.89563,54.302235,5098.095212,-0.02969,0.0035,14342.77825,6
1/1/2020 7:00,34.555415,5642.355726,622.952776,11492.81688,79.560278,5097.939989,-1.061081,0.0035,14126.17512,7
1/1/2020 8:00,34.798489,5720.687383,615.138125,11657.3843,80.602213,5097.639985,-0.879749,0.544599,14259.78717,8
1/1/2020 9:00,35.968655,5699.69999,618.621109,12021.16945,80.617029,5098.582316,-0.257304,114.668489,14313.43403,9
1/1/2020 10:00,35.377767,5918.638443,626.115905,12724.07596,80.61558,5098.944131,-1.222652,479.605104,14014.69513,10
1/1/2020 11:00,35.638456,6334.381986,622.494843,12905.02717,114.725218,5099.358572,0.4098,507.081463,14268.51217,11
1/1/2020 12:00,35.575088,6413.263907,657.26755,12937.21701,96.7861,5098.997344,-1.898325,637.473295,14449.90797,12
1/1/2020 13:00,34.68878,6526.967138,629.745101,13135.80013,124.389559,4956.146888,-0.45694,613.551568,14124.88893,13
1/1/2020 14:00,31.891922,7002.180092,623.897497,13661.33916,26.641165,3845.480764,-9.863582,609.639761,13900.98066,14
1/1/2020 15:00,33.965191,6850.51417,619.019086,13324.66803,12.682987,3845.205569,-11.269701,476.918066,14027.98381,15
1/1/2020 16:00,33.988869,6734.006267,616.128215,13172.85445,16.063442,3846.166702,-9.873574,309.017884,14197.96259,16
1/1/2020 17:00,33.932327,7009.831778,615.049211,13323.85058,53.541324,3846.121344,-0.782601,160.527841,13996.34759,17
1/1/2020 18:00,34.480669,7890.705004,634.306978,13472.08877,53.518651,3846.181441,1.532369,45.157247,14601.29697,18
1/1/2020 19:00,34.616373,7884.356318,618.769367,13333.63191,53.484825,3846.733679,9.17677,0.0035,15850.56904,19
1/1/2020 20:00,34.26883,7065.112637,613.545997,12823.04807,53.531004,3846.48034,5.985221,0.0035,16757.75819,20
