Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,9000000,1,1,1,1,8760,1,1,36824.1151
1,,,,,,,,2,36531.36649
2,,,,,,,,3,36072.16502
3,,,,,,,,4,35836.16187
4,,,,,,,,5,35998.54272
5,,,,,,,,6,36487.03565
6,,,,,,,,7,37099.05166
7,,,,,,,,8,37448.43534
8,,,,,,,,9,37988.18106
9,,,,,,,,10,39005.53259
10,,,,,,,,11,40011.21067
11,,,,,,,,12,40405.05711
12,,,,,,,,13,40320.72518
13,,,,,,,,14,39905.44778
14,,,,,,,,15,39384.85286
15,,,,,,,,16,39038.27182
16,,,,,,,,17,39255.08049
17,,,,,,,,18,40736.82994
18,,,,,,,,19,41737.74313
19,,,,,,,,20,41273.48068
20,,,,,,,,21,40551.18917
21,,,,,,,,22,39382.30317
22,,,,,,,,23,37563.3057
23,,,,,,,,24,35603.63141
24,,,,,,,,25,34151.02829
25,,,,,,,,26,33204.50406
26,,,,,,,,27,32658.81086
27,,,,,,,,28,32639.9052
28,,,,,,,,29,33313.14667
29,,,,,,,,30,34942.49249
30,,,,,,,,31,37070.51625
31,,,,,,,,32,38651.45181
32,,,,,,,,33,39115.17274
33,,,,,,,,34,39527.37248
34,,,,,,,,35,39860.83526
35,,,,,,,,36,39852.13862
36,,,,,,,,37,39570.07653
37,,,,,,,,38,39319.89612
38,,,,,,,,39,38907.99374
39,,,,,,,,40,38571.27757
40,,,,,,,,41,38604.13001
41,,,,,,,,42,39694.17702
42,,,,,,,,43,41077.23122
43,,,,,,,,44,40731.48065
44,,,,,,,,45,40179.21987
45,,,,,,,,46,39226.11121
46,,,,,,,,47,37620.04082
47,,,,,,,,48,35828.32508
48,,,,,,,,49,34564.61356
49,,,,,,,,50,33758.91033
50,,,,,,,,51,33419.49319
51,,,,,,,,52,33529.85148
52,,,,,,,,53,34275.83576
53,,,,,,,,54,36127.222
54,,,,,,,,55,38469.20611
55,,,,,,,,56,40194.92452
56,,,,,,,,57,40702.74908
57,,,,,,,,58,40654.9228
58,,,,,,,,59,40371.27989
59,,,,,,,,60,39709.33944
60,,,,,,,,61,38974.61251
61,,,,,,,,62,38423.43374
62,,,,,,,,63,38006.2566
63,,,,,,,,64,37716.57761
64,,,,,,,,65,37691.00131
65,,,,,,,,66,38896.9885
66,,,,,,,,67,40642.14524
67,,,,,,,,68,40655.26886
68,,,,,,,,69,40505.54458
69,,,,,,,,70,40053.30293
70,,,,,,,,71,39028.49449
71,,,,,,,,72,37829.27385
72,,,,,,,,73,36844.52688
73,,,,,,,,74,36365.93749
74,,,,,,,,75,36314.90605
75,,,,,,,,76,36721.31384
76,,,,,,,,77,37460.44108
77,,,,,,,,78,38869.03655
78,,,,,,,,79,40780.65864
79,,,,,,,,80,42442.35505
80,,,,,,,,81,42975.28593
81,,,,,,,,82,42024.80619
82,,,,,,,,83,40565.6345
83,,,,,,,,84,39039.92468
84,,,,,,,,85,37682.72363
85,,,,,,,,86,36499.81087
86,,,,,,,,87,35849.86884
87,,,,,,,,88,35584.64671
88,,,,,,,,89,35571.29118
89,,,,,,,,90,36644.42908
90,,,,,,,,91,38444.78693
91,,,,,,,,92,38888.71462
92,,,,,,,,93,39007.92814
93,,,,,,,,94,38895.01327
94,,,,,,,,95,38138.27127
95,,,,,,,,96,37206.67365
96,,,,,,,,97,36361.99205
97,,,,,,,,98,35766.67191
98,,,,,,,,99,35587.15444
99,,,,,,,,100,35667.99432
100,,,,,,,,101,36149.63477
101,,,,,,,,102,37041.35526
102,,,,,,,,103,38316.61096
103,,,,,,,,104,39548.22268
104,,,,,,,,105,39775.00694
105,,,,,,,,106,38946.05774
106,,,,,,,,107,37773.23052
107,,,,,,,,108,36621.68561
108,,,,,,,,109,35905.0111
109,,,,,,,,110,35279.98509
110,,,,,,,,111,34925.13431
111,,,,,,,,112,34832.81794
112,,,,,,,,113,35041.98588
113,,,,,,,,114,36191.33355
114,,,,,,,,115,38201.79813
115,,,,,,,,116,38249.47247
116,,,,,,,,117,37871.99621
117,,,,,,,,118,37356.81021
118,,,,,,,,119,35889.46846
119,,,,,,,,120,34277.00068
120,,,,,,,,121,33414.24812
121,,,,,,,,122,33078.12642
122,,,,,,,,123,33245.68386
123,,,,,,,,124,33903.68037
124,,,,,,,,125,35324.08303
125,,,,,,,,126,38143.49946
126,,,,,,,,127,41966.32856
127,,,,,,,,128,43890.29061
128,,,,,,,,129,43465.32464
129,,,,,,,,130,42027.43438
130,,,,,,,,131,40898.00497
131,,,,,,,,132,39876.07977
132,,,,,,,,133,39109.6495
133,,,,,,,,134,38894.35937
134,,,,,,,,135,38826.62799
135,,,,,,,,136,38702.34384
136,,,,,,,,137,38543.36052
137,,,,,,,,138,39293.45859
138,,,,,,,,139,40933.01411
139,,,,,,,,140,40707.06753
140,,,,,,,,141,40100.9103
141,,,,,,,,142,38939.48257
142,,,,,,,,143,36970.71596
143,,,,,,,,144,35063.47861
144,,,,,,,,145,33961.29111
145,,,,,,,,146,33543.40584
146,,,,,,,,147,33675.39434
147,,,,,,,,148,34183.49239
148,,,,,,,,149,35740.03603
149,,,,,,,,150,38857.32614
150,,,,,,,,151,43305.29632
151,,,,,,,,152,45204.18237
152,,,,,,,,153,44293.17314
153,,,,,,,,154,42613.44145
154,,,,,,,,155,41168.62709
155,,,,,,,,156,39926.0141
156,,,,,,,,157,38904.96579
157,,,,,,,,158,38350.51609
158,,,,,,,,159,37862.33448
159,,,,,,,,160,37552.10378
160,,,,,,,,161,37664.11705
161,,,,,,,,162,38697.21869
162,,,,,,,,163,41170.94253
163,,,,,,,,164,41691.93671
164,,,,,,,,165,41976.52644
165,,,,,,,,166,41367.00382
166,,,,,,,,167,39822.672
167,,,,,,,,168,38186.5066
168,,,,,,,,169,37344.45764
169,,,,,,,,170,37180.05077
170,,,,,,,,171,37492.1672
171,,,,,,,,172,38206.42999
172,,,,,,,,173,39790.85448
173,,,,,,,,174,43004.79195
174,,,,,,,,175,47526.73856
175,,,,,,,,176,49057.05521
176,,,,,,,,177,47446.7848
177,,,,,,,,178,45069.33941
178,,,,,,,,179,43051.39536
179,,,,,,,,180,41434.27074
180,,,,,,,,181,40091.40679
181,,,,,,,,182,39251.41206
182,,,,,,,,183,38610.23599
183,,,,,,,,184,38247.08464
184,,,,,,,,185,38555.04482
185,,,,,,,,186,39939.943
186,,,,,,,,187,41957.11959
187,,,,,,,,188,41886.29873
188,,,,,,,,189,41297.87689
189,,,,,,,,190,39761.03052
190,,,,,,,,191,37346.88344
191,,,,,,,,192,34876.98364
192,,,,,,,,193,33272.43041
193,,,,,,,,194,32293.89275
194,,,,,,,,195,31803.9523
195,,,,,,,,196,31542.34499
196,,,,,,,,197,32167.06252
197,,,,,,,,198,34184.46832
198,,,,,,,,199,37535.86673
199,,,,,,,,200,38816.12886
200,,,,,,,,201,38627.91682
201,,,,,,,,202,38836.72154
202,,,,,,,,203,39150.85487
203,,,,,,,,204,39300.03635
204,,,,,,,,205,39301.87985
205,,,,,,,,206,39282.24565
206,,,,,,,,207,39015.14674
207,,,,,,,,208,38804.82903
208,,,,,,,,209,38845.80509
209,,,,,,,,210,39434.05859
210,,,,,,,,211,40910.85344
211,,,,,,,,212,40754.6415
212,,,,,,,,213,40206.91135
213,,,,,,,,214,39031.98181
214,,,,,,,,215,36950.69606
215,,,,,,,,216,34557.19014
216,,,,,,,,217,32768.26778
217,,,,,,,,218,31789.64291
218,,,,,,,,219,31135.19462
219,,,,,,,,220,31012.50257
220,,,,,,,,221,31493.50671
221,,,,,,,,222,33218.37994
222,,,,,,,,223,36493.5372
223,,,,,,,,224,38092.11623
224,,,,,,,,225,38329.23388
225,,,,,,,,226,39087.2743
226,,,,,,,,227,39810.42353
227,,,,,,,,228,40110.02603
228,,,,,,,,229,40122.5207
