Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,508015.2148,375880.363,1.14E+07,1.21E+07,971966.2713,2.78E+07,1.22E+07,4423.20113,3.49E+06,158864.7796,2.03E+06,3.08E+07,1.38E+06,47203.09861,2.24E+07,456657.1971,3.53E+06,5.74E+07,1.53E+06,131560.2748,1.16E+06,1.61E+06,3.72E+07,1.64E+06,7390.511318,1.23E+06,291.6,17205.52183,15499.81356,46.8,38637.87635,279748.4583,58050.47109,4330.680656,70176.26577,4628.832,32846.73953,147.6,100039.5618,4305.593737,800660.1627,379741.3839,302.7807789,1.46E+06,55996.98455,50073.91443,4.02E+06,586739.374,865406.9075,986323.9786,130094.3584,218201.6616,20317.46259,2.72E+06,554168.0607,199975.1448,84166.57299,44021.17879,2.08E+07,2.03E+07,8.63E+07,0,8.74E+06,662805.2715,3.82E+08
t1,62.1,12.7296,0,0,0,3168,0,0,84.76,0,0,2280.19999,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,12832.85392,0,0.003496125,0,36811.3855
t2,62.1,12.6828,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,6619.764893,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,13328.726,0,0.003496125,0,36518.68369
t3,62.1,12.636,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,5569.325001,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,13920.05803,0,0.003496125,0,36059.52902
t4,62.1,12.636,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,4809.476085,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14443.90029,0,0.007001573,0,35823.52587
t5,62.1,12.5892,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,4702.158728,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14713.6956,0,0.003496125,0,35985.95352
t6,62.1,12.5424,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,5561.662617,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14342.77824,0,0.003496125,0,36474.49325
t7,62.1,12.5424,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,6390.281757,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14126.17511,0,0.003496125,0,37086.50926
t8,62.1,12.4956,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,6605.605999,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,2520,2460,14259.78718,0,0.5444632,0,37435.93974
