Year,Empirical Average,Synthetic Average,Average Difference,Empirical Median,Synthetic Median,Median Difference,Empirical Variance,Synthetic Variance,Variance Difference,RMSE
2012,30.461725543633044,31.680731616091563,-1.2190060724585194,23.0,29.34384,-6.34384,1546.4651538032272,158.72590133472204,1387.7392524685051,37.236879672296425
2013,34.028765515032305,37.37711365899697,-3.348348143964664,29.55,33.423753999999995,-3.8737539999999946,235.515465867373,182.27268159881703,53.242784268555965,14.553608465216655
2014,40.763186615332444,40.28027689888983,0.48290971644261305,33.04,33.8521705,-0.8121705000000006,1132.7705265688362,281.629119764953,851.1414068038832,30.185702721697286
2015,28.308533843878685,26.910447699684532,1.3980861441941528,21.65,24.132937951275,-2.4829379512750016,1571.641461600706,145.50392888816359,1426.1375327125425,37.58217504758236
2016,24.34786353959757,26.621137644558047,-2.2732741049604783,19.63,23.195308,-3.5653080000000017,185.3065444289264,192.56482455519696,-7.258280126270563,12.297051750558563
2017,26.029619068276876,31.108845460973086,-5.07922639269621,22.035,27.914388,-5.879387999999999,102.05712524151123,212.91174977493958,-110.85462453342835,12.99240026267586
2018,38.38547318073813,36.73341016706474,1.6520630136733914,24.6,31.260130000000004,-6.660130000000002,5706.60150052126,1568.8939549980744,4137.707545523186,60.40012739117786
2019,47.543213819474715,28.764910846971038,18.778302972503678,20.555,23.882824999999997,-3.327824999999997,26951.071052504794,1084.9549503224857,25866.11610218231,154.86652411805488
2020,24.232638730765427,22.469389889974256,1.7632488407911708,17.54,19.75778497,-2.2177849700000003,1307.412703587101,610.1471291214857,697.2655744656154,24.42413247045798
2021,162.69244143809783,42.34433053801091,120.34811090008692,27.955,34.226744541936185,-6.271744541936187,795353.5254647783,690.0000283851441,794663.5254363931,888.2172155532014
