Day,2012Pearson daily,2013Pearson daily,2014Pearson daily,2015Pearson daily,2016Pearson daily,2017Pearson daily,2018Pearson daily,2019Pearson daily,2020Pearson daily,2021Pearson daily
1,0.6152944528201963,,,,,,,,,
1,,0.39152910922513945,,,,,,,,
1,,,0.37908854852831464,,,,,,,
1,,,,0.37024349552944036,,,,,,
1,,,,,0.6383109657881862,,,,,
1,,,,,,0.4633175543035104,,,,
1,,,,,,,0.24623089997242037,,,
1,,,,,,,,0.6646524663415626,,
1,,,,,,,,,0.871152405697935,
1,,,,,,,,,,0.697017105395279
2,0.7737912122361947,,,,,,,,,
2,,0.8312371968718146,,,,,,,,
2,,,0.6616969202331009,,,,,,,
2,,,,0.7506268725025742,,,,,,
2,,,,,0.34483093415816857,,,,,
2,,,,,,0.7598317457463608,,,,
2,,,,,,,0.8080317398875427,,,
2,,,,,,,,0.6102996753687918,,
2,,,,,,,,,0.7190047533549087,
2,,,,,,,,,,0.8266011535980571
3,0.7215278265745162,,,,,,,,,
3,,0.5115166496494719,,,,,,,,
3,,,0.8199826152275367,,,,,,,
3,,,,0.7905706079813315,,,,,,
3,,,,,0.3764226638586504,,,,,
3,,,,,,0.3183912580154512,,,,
3,,,,,,,0.7134510760457542,,,
3,,,,,,,,0.6247188052244451,,
3,,,,,,,,,0.7321467038556669,
3,,,,,,,,,,0.5428801968702697
4,0.6442642418680549,,,,,,,,,
4,,0.4959275412904708,,,,,,,,
4,,,0.6108350603603279,,,,,,,
4,,,,0.6391628624538261,,,,,,
4,,,,,0.6237213084298022,,,,,
4,,,,,,0.7779528326728555,,,,
4,,,,,,,0.3431305038650131,,,
4,,,,,,,,0.7712783157361254,,
4,,,,,,,,,0.7814557136257917,
4,,,,,,,,,,0.7005899445815682
5,0.748982686221773,,,,,,,,,
5,,0.7533801900890431,,,,,,,,
5,,,0.7398994423809339,,,,,,,
5,,,,0.49306206121246887,,,,,,
5,,,,,0.7409871899508085,,,,,
5,,,,,,0.7518889797691969,,,,
5,,,,,,,0.8222449010613878,,,
5,,,,,,,,0.2620083221245691,,
5,,,,,,,,,0.5863761010251645,
5,,,,,,,,,,0.8000468982422644
6,0.702952632330677,,,,,,,,,
6,,0.5930216159069094,,,,,,,,
6,,,0.7686068134979571,,,,,,,
6,,,,0.5194468439732438,,,,,,
6,,,,,0.7753376167185398,,,,,
6,,,,,,0.8040998766385423,,,,
6,,,,,,,0.8168964845711217,,,
6,,,,,,,,0.7902390621426009,,
6,,,,,,,,,0.7162494330371716,
6,,,,,,,,,,0.8017130291883081
7,0.6534003150521017,,,,,,,,,
7,,0.5992967734316069,,,,,,,,
7,,,0.47248399625195725,,,,,,,
7,,,,0.7628185221691527,,,,,,
7,,,,,0.761142699974797,,,,,
7,,,,,,0.6237362822637701,,,,
7,,,,,,,0.42169917039394084,,,
7,,,,,,,,0.8004240334655339,,
7,,,,,,,,,0.5443099307414025,
7,,,,,,,,,,0.5325753497940142
8,0.8479965343355392,,,,,,,,,
8,,0.876992469717859,,,,,,,,
8,,,0.7879725509649537,,,,,,,
8,,,,0.7495017799791536,,,,,,
8,,,,,0.5318241717894212,,,,,
8,,,,,,0.8251799247290409,,,,
8,,,,,,,0.8612511213061518,,,
8,,,,,,,,0.5592934130303038,,
8,,,,,,,,,0.9190494939098192,
8,,,,,,,,,,0.7307048920305219
9,0.7520090601279203,,,,,,,,,
9,,0.5538492039223764,,,,,,,,
9,,,0.8526440176833763,,,,,,,
9,,,,0.8674522017624385,,,,,,
9,,,,,0.7468688479692958,,,,,
9,,,,,,0.7555479612982051,,,,
9,,,,,,,0.326052134580451,,,
9,,,,,,,,0.698668662793134,,
9,,,,,,,,,0.8323044647094775,
9,,,,,,,,,,0.7278445083328615
10,0.8055746229736422,,,,,,,,,
10,,0.6903568934936615,,,,,,,,
10,,,0.769303107341369,,,,,,,
10,,,,0.7736370887438246,,,,,,
10,,,,,0.48568447886145194,,,,,
10,,,,,,0.8881899909992927,,,,
10,,,,,,,0.796952938731172,,,
10,,,,,,,,0.5868284038220395,,
10,,,,,,,,,0.655593727803196,
10,,,,,,,,,,0.6305441613908543
11,0.7078260198039776,,,,,,,,,
11,,0.7138843148698069,,,,,,,,
11,,,0.6203759196659392,,,,,,,
11,,,,0.5634246389945532,,,,,,
11,,,,,0.39033487935304084,,,,,
11,,,,,,0.6441774708130585,,,,
11,,,,,,,0.5593141630565237,,,
11,,,,,,,,0.8444003884341416,,
11,,,,,,,,,0.6698283712539084,
11,,,,,,,,,,0.6391194283799949
12,0.7487752004371651,,,,,,,,,
12,,0.6004758086469834,,,,,,,,
12,,,0.501454135392472,,,,,,,
12,,,,0.7713212879913312,,,,,,
12,,,,,0.7526846426246653,,,,,
12,,,,,,0.6169399606184702,,,,
12,,,,,,,0.6706550751696628,,,
12,,,,,,,,0.5937474387640507,,
12,,,,,,,,,0.6829764772095429,
12,,,,,,,,,,0.6992760999791062
13,0.7589297252757956,,,,,,,,,
13,,0.6787864353884991,,,,,,,,
13,,,0.6124745470814703,,,,,,,
13,,,,0.8472860503216308,,,,,,
13,,,,,0.7537741291848409,,,,,
13,,,,,,0.5255462988856011,,,,
13,,,,,,,0.8294568185407728,,,
13,,,,,,,,0.4823913126942159,,
13,,,,,,,,,0.7132877401755409,
13,,,,,,,,,,0.5799444606146024
14,0.707160226028293,,,,,,,,,
14,,0.65208812997723,,,,,,,,
14,,,0.4083224993518853,,,,,,,
14,,,,0.7098652619085795,,,,,,
14,,,,,0.6977840466669267,,,,,
14,,,,,,0.33368105762514877,,,,
14,,,,,,,0.8246952019319372,,,
14,,,,,,,,0.7598742328119705,,
14,,,,,,,,,0.893113273019149,
14,,,,,,,,,,0.7178673444445208
15,0.7484708754535527,,,,,,,,,
15,,0.7909886573079115,,,,,,,,
15,,,0.4671803539864744,,,,,,,
15,,,,0.4425606985154829,,,,,,
15,,,,,0.7714008082935878,,,,,
15,,,,,,0.7960136492637605,,,,
15,,,,,,,0.5243655046905344,,,
15,,,,,,,,0.7850012594557896,,
15,,,,,,,,,0.7580602243543771,
15,,,,,,,,,,0.6321992507183949
16,0.8283264180911651,,,,,,,,,
16,,0.5515200287229326,,,,,,,,
16,,,0.5018601776371744,,,,,,,
16,,,,0.693800734818612,,,,,,
16,,,,,0.6434067500302222,,,,,
16,,,,,,0.6737909498308094,,,,
16,,,,,,,0.7466211277118836,,,
16,,,,,,,,0.6171146611279841,,
16,,,,,,,,,0.685129510838185,
16,,,,,,,,,,0.8994675230509852
17,0.7910564968599086,,,,,,,,,
17,,0.5827911336331355,,,,,,,,
17,,,0.7168447418279301,,,,,,,
17,,,,0.5278427669218357,,,,,,
17,,,,,0.6139714222823957,,,,,
17,,,,,,0.8232299619499346,,,,
17,,,,,,,0.802104176734369,,,
17,,,,,,,,0.4621206712376773,,
17,,,,,,,,,0.3532113638181211,
17,,,,,,,,,,0.45468426216205987
18,0.7703399791504857,,,,,,,,,
18,,0.7420703828236622,,,,,,,,
18,,,0.8193929526971908,,,,,,,
18,,,,0.49871136649954273,,,,,,
18,,,,,0.7791930225849943,,,,,
18,,,,,,0.5715182254579758,,,,
18,,,,,,,0.7172193546141234,,,
18,,,,,,,,0.6750121440510893,,
18,,,,,,,,,0.8232618080334498,
18,,,,,,,,,,0.7741202253113129
19,0.7880009388815195,,,,,,,,,
19,,0.7804561684330096,,,,,,,,
19,,,0.7669865166293381,,,,,,,
19,,,,0.4156444384684853,,,,,,
