Price,Date,Year
8995.71,2021-02-17 00:00:00,2021
8995.29,2021-02-17 05:00:00,2021
8993.05,2021-02-17 04:00:00,2021
8992.96,2021-02-17 01:00:00,2021
8992.85,2021-02-17 02:00:00,2021
8992.39,2021-02-17 03:00:00,2021
8985.64,2021-02-17 11:00:00,2021
8985.62,2021-02-17 08:00:00,2021
8984.61,2021-02-17 07:00:00,2021
8982.37,2021-02-17 12:00:00,2021
8981.62,2021-02-17 13:00:00,2021
8980.96,2021-02-17 09:00:00,2021
8970.21,2021-02-17 17:00:00,2021
8967.8,2021-02-17 18:00:00,2021
8948.91,2021-02-17 19:00:00,2021
8941.56,2021-02-17 06:00:00,2021
8935.85,2021-02-17 14:00:00,2021
8907.29,2021-02-17 15:00:00,2021
8897.02,2021-02-17 10:00:00,2021
8753.78,2021-02-19 07:00:00,2021
8747.58,2021-02-18 11:00:00,2021
8731.15,2021-02-17 22:00:00,2021
8699.0,2021-02-19 08:00:00,2021
8698.99,2021-02-19 06:00:00,2021
8695.11,2021-02-18 18:00:00,2021
8692.15,2021-02-17 20:00:00,2021
8537.53,2021-02-18 13:00:00,2021
8525.93,2021-02-18 12:00:00,2021
8523.13,2021-02-18 09:00:00,2021
8510.22,2021-02-18 10:00:00,2021
8510.05,2021-02-18 19:00:00,2021
8499.99,2021-02-17 16:00:00,2021
8494.16,2021-02-19 05:00:00,2021
8492.9,2021-02-19 04:00:00,2021
8492.45,2021-02-19 03:00:00,2021
8491.74,2021-02-19 01:00:00,2021
8490.45,2021-02-18 08:00:00,2021
8489.79,2021-02-19 10:00:00,2021
8489.78,2021-02-19 09:00:00,2021
8489.21,2021-02-19 02:00:00,2021
8489.12,2021-02-18 07:00:00,2021
8484.99,2021-02-19 00:00:00,2021
8480.57,2021-02-17 23:00:00,2021
8063.46,2021-02-18 14:00:00,2021
8023.02,2021-02-18 15:00:00,2021
7997.09,2021-02-18 05:00:00,2021
7996.98,2021-02-16 05:00:00,2021
7996.81,2021-02-16 04:00:00,2021
7996.65,2021-02-16 03:00:00,2021
7996.43,2021-02-18 06:00:00,2021
7995.83,2021-02-16 02:00:00,2021
7994.46,2021-02-18 17:00:00,2021
7975.18,2021-02-18 23:00:00,2021
7971.21,2021-02-18 22:00:00,2021
7970.28,2021-02-18 20:00:00,2021
7963.77,2021-02-18 21:00:00,2021
7893.9,2021-02-16 00:00:00,2021
