Delivery Date,Hour Ending,Price,Time_Index,Date,Year
07/23/2018,17:00,2061.99,4888,2018-07-23 15:00:00,2018
07/23/2018,16:00,1893.4,4887,2018-07-23 14:00:00,2018
07/22/2018,17:00,1881.65,4864,2018-07-22 15:00:00,2018
07/19/2018,17:00,1855.85,4792,2018-07-19 15:00:00,2018
07/21/2018,17:00,1744.58,4840,2018-07-21 15:00:00,2018
01/17/2018,08:00,1660.04,392,2018-01-17 07:00:00,2018
07/21/2018,16:00,1598.57,4839,2018-07-21 14:00:00,2018
07/18/2018,17:00,1568.65,4768,2018-07-18 15:00:00,2018
07/18/2018,16:00,1567.84,4767,2018-07-18 14:00:00,2018
01/17/2018,07:00,1562.55,391,2018-01-17 06:00:00,2018
07/18/2018,18:00,1531.58,4769,2018-07-18 16:00:00,2018
07/22/2018,16:00,1487.41,4863,2018-07-22 14:00:00,2018
07/22/2018,18:00,1276.25,4865,2018-07-22 16:00:00,2018
07/19/2018,16:00,1217.24,4791,2018-07-19 14:00:00,2018
07/23/2018,18:00,1203.94,4889,2018-07-23 16:00:00,2018
07/20/2018,17:00,1123.95,4816,2018-07-20 15:00:00,2018
07/21/2018,18:00,1053.26,4841,2018-07-21 16:00:00,2018
07/25/2018,17:00,913.42,4936,2018-07-25 15:00:00,2018
07/19/2018,18:00,909.13,4793,2018-07-19 16:00:00,2018
07/17/2018,17:00,840.9,4744,2018-07-17 15:00:00,2018
07/26/2018,17:00,772.3,4960,2018-07-26 15:00:00,2018
07/20/2018,16:00,718.59,4815,2018-07-20 14:00:00,2018
07/23/2018,15:00,699.63,4886,2018-07-23 13:00:00,2018
07/24/2018,17:00,694.84,4912,2018-07-24 15:00:00,2018
07/25/2018,16:00,595.7,4935,2018-07-25 14:00:00,2018
07/17/2018,18:00,550.68,4745,2018-07-17 16:00:00,2018
07/21/2018,15:00,544.92,4838,2018-07-21 13:00:00,2018
07/17/2018,16:00,543.21,4743,2018-07-17 14:00:00,2018
05/16/2018,17:00,541.31,3256,2018-05-16 15:00:00,2018
01/17/2018,09:00,530.96,393,2018-01-17 08:00:00,2018
07/18/2018,15:00,446.28,4766,2018-07-18 13:00:00,2018
05/16/2018,18:00,399.98,3257,2018-05-16 16:00:00,2018
07/24/2018,16:00,396.29,4911,2018-07-24 14:00:00,2018
07/20/2018,18:00,381.2,4817,2018-07-20 16:00:00,2018
07/22/2018,15:00,368.25,4862,2018-07-22 13:00:00,2018
07/19/2018,15:00,363.68,4790,2018-07-19 13:00:00,2018
07/25/2018,18:00,359.94,4937,2018-07-25 16:00:00,2018
05/16/2018,16:00,357.05,3255,2018-05-16 14:00:00,2018
07/26/2018,18:00,312.01,4961,2018-07-26 16:00:00,2018
07/26/2018,16:00,311.5,4959,2018-07-26 14:00:00,2018
01/17/2018,06:00,291.38,390,2018-01-17 05:00:00,2018
01/18/2018,07:00,270.41,415,2018-01-18 06:00:00,2018
01/18/2018,08:00,266.31,416,2018-01-18 07:00:00,2018
07/22/2018,19:00,251.63,4866,2018-07-22 17:00:00,2018
07/17/2018,15:00,248.49,4742,2018-07-17 13:00:00,2018
05/25/2018,17:00,239.64,3472,2018-05-25 15:00:00,2018
05/26/2018,17:00,239.17,3496,2018-05-26 15:00:00,2018
05/31/2018,17:00,213.6,3616,2018-05-31 15:00:00,2018
05/16/2018,15:00,205.68,3254,2018-05-16 13:00:00,2018
