Zone,Price,Date,Year
t5391,9000000.0,2019-08-13 14:00:00,2019
t5440,9000000.0,2019-08-15 15:00:00,2019
t5199,9000000.0,2019-08-05 14:00:00,2019
t5390,9000000.0,2019-08-13 13:00:00,2019
t5392,9000000.0,2019-08-13 15:00:00,2019
t5393,9000000.0,2019-08-13 16:00:00,2019
t5439,9000000.0,2019-08-15 14:00:00,2019
t5389,8999280.021679707,2019-08-13 12:00:00,2019
t1519,191.82271817900568,2019-03-05 06:00:00,2019
t5967,182.17396222222223,2019-09-06 14:00:00,2019
t4576,178.1282911111111,2019-07-10 15:00:00,2019
t5417,177.36374,2019-08-14 16:00:00,2019
t5128,177.2728493333333,2019-08-02 15:00:00,2019
t5055,177.17133111111113,2019-07-30 14:00:00,2019
t4696,177.14608666666663,2019-07-15 15:00:00,2019
t5463,176.40169555555556,2019-08-16 14:00:00,2019
t5608,176.3082022222222,2019-08-22 15:00:00,2019
t5584,174.91418777777773,2019-08-21 15:00:00,2019
t5367,174.45836577777777,2019-08-12 14:00:00,2019
t5944,174.29451333333336,2019-09-05 15:00:00,2019
t4600,173.596739004162,2019-07-11 15:00:00,2019
t5896,173.23552066666667,2019-09-03 15:00:00,2019
t5223,173.13074444444445,2019-08-06 14:00:00,2019
t5246,172.67365999999998,2019-08-07 13:00:00,2019
t5776,172.40281333333334,2019-08-29 15:00:00,2019
t5704,170.58002999999997,2019-08-26 15:00:00,2019
t5295,170.28699778740176,2019-08-09 14:00:00,2019
t5535,170.13674444444445,2019-08-19 14:00:00,2019
t5560,169.1020142100356,2019-08-20 15:00:00,2019
t4551,169.03798400000002,2019-07-09 14:00:00,2019
t5079,162.33456544194894,2019-07-31 14:00:00,2019
t1196,156.03810492418154,2019-02-19 19:00:00,2019
t43,155.54024063289162,2019-01-02 18:00:00,2019
t4072,153.04081316594855,2019-06-19 15:00:00,2019
t7000,151.10772943900997,2019-10-19 15:00:00,2019
t320,149.27670555555557,2019-01-14 07:00:00,2019
t584,148.14153465794186,2019-01-25 07:00:00,2019
t6664,147.69406267533716,2019-10-05 15:00:00,2019
t680,145.90696173887594,2019-01-29 07:00:00,2019
t8432,145.74829016979393,2019-12-18 07:00:00,2019
t1831,145.1162675092487,2019-03-18 06:00:00,2019
t923,143.96798535730096,2019-02-08 10:00:00,2019
t6903,140.51499547193262,2019-10-15 14:00:00,2019
t1892,138.43560781231082,2019-03-20 19:00:00,2019
t2968,138.25408179413628,2019-05-04 15:00:00,2019
t4287,138.2360907333333,2019-06-28 14:00:00,2019
t7580,137.52254034444442,2019-11-12 19:00:00,2019
t2167,136.00647753741438,2019-04-01 06:00:00,2019
t2008,135.7690516571934,2019-03-25 15:00:00,2019
t465,135.58331855236253,2019-01-20 08:00:00,2019
t211,135.27978977896527,2019-01-09 18:00:00,2019
t6592,133.8477736,2019-10-02 15:00:00,2019
