,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind
1/1/2013 1:00,27.056151,12235.44611,1009.703563,7843.325795,49.195749,5179.370048,16.424427,0,2306.932015
1/1/2013 2:00,32.579411,11884.40415,997.860136,7668.69358,49.14937,5179.761283,16.329413,0,2156.583254
1/1/2013 3:00,33.070979,11507.32157,986.398493,7405.869005,53.25914,5179.352717,16.987864,0,2166.206288
1/1/2013 4:00,31.789113,10960.06742,988.171027,7112.733863,53.859014,5179.578686,15.806143,0,2675.0957
1/1/2013 5:00,31.480732,10776.09827,998.556527,7303.970397,55.40941,5179.540342,16.700984,0,2786.784666
1/1/2013 6:00,31.551832,10974.34899,1099.338184,7696.934435,81.898744,5179.290348,16.620212,0,2743.334045
1/1/2013 7:00,32.114085,11389.0623,1057.969852,8406.131481,114.483052,5179.471673,16.57043,0,2504.149469
1/1/2013 8:00,33.653723,11713.53988,1076.821782,8601.868481,151.522358,5179.880999,15.507698,8.00E-05,2590.828317
1/1/2013 9:00,32.507484,11950.98168,1087.341717,9114.602991,121.805809,5180.852072,14.172604,1.069267,2755.773318
1/1/2013 10:00,33.890566,12834.93808,1158.919919,9967.884048,92.803002,5180.636656,14.17443,3.559481,2561.100591
1/1/2013 11:00,33.864515,14146.9118,1176.938774,10482.14313,77.537377,5180.110276,13.930136,8.623262,2311.320133
1/1/2013 12:00,32.124406,14785.12581,1177.517797,10719.07538,50.118651,5181.369111,13.578548,15.387737,2144.232492
1/1/2013 13:00,29.633251,14890.26703,1181.252802,10644.17153,49.177157,5180.751367,13.519033,21.549536,2076.897351
1/1/2013 14:00,28.116006,14351.89453,1183.204726,10728.34236,53.40974,5180.852094,13.537396,25.516468,2188.791408
1/1/2013 15:00,29.436822,14281.63828,1177.244127,10606.19572,54.14831,5181.001791,13.834873,30.034075,2001.901834
1/1/2013 16:00,31.071525,14184.55678,1177.501453,10676.49595,54.006027,5181.72476,15.03796,17.187385,1808.963963
1/1/2013 17:00,30.032722,14470.26992,1206.407239,11294.73276,68.014549,5179.984425,13.722377,9.419133,1603.958509
1/1/2013 18:00,29.648784,15734.61003,1333.545211,12522.64893,158.661935,5179.661725,10.250132,1.140159,1276.699128
1/1/2013 19:00,29.470453,16764.30547,1812.528515,13140.38741,78.386791,5179.626499,14.006108,0,1258.385106
1/1/2013 20:00,29.755472,16813.92873,1665.061693,12975.98078,77.33359,5180.556734,14.603255,0,1413.578634
1/1/2013 21:00,30.921105,16689.28634,1620.106641,13031.22638,81.616677,5181.390245,14.259761,0,1563.046566
1/1/2013 22:00,29.592654,16091.30327,1431.312517,12544.38359,68.451838,5179.652821,14.270829,0,1654.533998
1/1/2013 23:00,30.143894,15441.04435,1268.266753,12062.67486,49.63011,5178.602758,13.66219,0,1499.378479
1/1/2013 0:00,29.453373,14588.93558,1147.467298,11554.87958,48.694692,5178.340349,13.238476,0,1525.976541
1/2/2013 1:00,28.067679,14083.13347,1149.22341,11019.53723,49.055506,5179.186701,11.432988,0,1269.557252
1/2/2013 2:00,28.354944,13864.73545,1131.678633,10994.5092,49.016525,5179.180563,11.477268,0,1039.067211
1/2/2013 3:00,27.991449,13596.98969,1081.344874,11209.40011,49.469775,5180.679336,11.524573,0,1128.697755
1/2/2013 4:00,24.572837,13676.95425,1147.61002,11619.46988,49.464813,5179.932924,11.900946,0,1056.92335
1/2/2013 5:00,23.944116,13816.41004,1181.670574,12744.86922,49.543565,5180.596038,11.099736,0,984.054627
1/2/2013 6:00,23.93659,14455.19091,1297.425235,14402.62679,89.691052,5180.389014,9.49563,0,947.049227
1/2/2013 7:00,23.93535,14710.91528,1410.280481,17124.75374,194.949491,5180.150094,8.414107,0,842.578192
1/2/2013 8:00,21.583553,15166.52148,1447.347724,18390.65995,119.802466,5180.741815,5.444698,0.105203,811.381494
1/2/2013 9:00,20.400061,15516.77003,1440.682577,18689.75827,84.077057,5180.800524,5.284204,2.578513,739.054729
1/2/2013 10:00,24.047944,15862.80717,1460.565244,18938.16765,81.980344,5180.614238,6.106186,7.775498,578.710525
1/2/2013 11:00,28.566942,15715.92988,1455.810392,19272.11017,79.662329,5180.731742,6.256219,10.254186,484.31263
1/2/2013 12:00,28.805116,16059.45828,1419.57108,19012.19179,49.703771,5180.141835,8.287687,14.583892,458.789338
1/2/2013 13:00,27.278444,15669.21156,1282.61847,18971.66455,47.617531,5180.119898,11.884749,15.033298,489.783284
1/2/2013 14:00,28.148579,15031.86108,1260.557441,18845.76279,47.449605,5180.222955,12.410893,14.872239,627.510735
1/2/2013 15:00,27.250109,14558.39475,1255.47768,18898.75978,55.327069,5181.224397,13.157423,12.748303,506.789227
1/2/2013 16:00,27.688623,13985.36097,1250.862551,19247.3638,48.242844,5180.890271,13.419148,7.32691,397.52448
1/2/2013 17:00,28.068387,14274.30779,1262.468995,19214.54685,48.194683,5180.976944,15.735475,4.885463,372.406863
1/2/2013 18:00,26.968704,15029.37384,1800.245314,19872.54672,74.818729,5181.491496,13.419579,0.443576,442.618151
1/2/2013 19:00,28.423816,15343.55597,2588.923013,20802.4196,82.591777,5181.247784,13.194767,0,638.358928
1/2/2013 20:00,29.389091,15413.84576,2140.754343,20919.96228,83.657385,5181.522665,12.545013,0,840.702994
1/2/2013 21:00,29.398581,15464.18689,1887.760638,20584.31805,84.651451,5181.660566,12.549398,0,1062.505206
1/2/2013 22:00,29.400584,15506.43489,1609.009371,19446.68704,71.663403,5181.366659,11.419717,0,1173.706747
1/2/2013 23:00,29.381413,15188.93178,1399.574909,18249.41921,56.567381,5180.536521,10.285574,0,1087.533003
1/2/2013 0:00,27.971417,14540.25887,1354.285849,16664.16171,56.716227,5186.386225,11.606466,0,1035.859726
1/3/2013 1:00,29.800788,13804.67249,1267.111893,16415.21752,56.725163,5187.280414,13.197051,0,1003.697722
1/3/2013 2:00,29.80234,13230.35321,1294.963561,16223.17961,56.375571,5182.487796,13.975639,0,1083.180285
1/3/2013 3:00,25.364783,12916.91393,1296.12701,15972.85519,56.428187,5181.031828,14.052628,0,1345.950314
1/3/2013 4:00,23.380793,12589.11728,1282.827593,16029.68974,56.146492,5183.082045,14.049,0,1974.434238
1/3/2013 5:00,26.457679,12511.77465,1290.168608,16577.12297,55.940011,5182.597596,14.47515,0,2438.318023
1/3/2013 6:00,25.590415,12395.7824,1422.573909,18357.43409,90.920116,5181.922321,14.965817,0,2883.890287
1/3/2013 7:00,25.481563,13493.75803,1416.934643,19532.17331,217.382262,5181.200554,14.980439,0,3242.923251
1/3/2013 8:00,24.698286,14336.16457,1460.467575,19996.84565,247.618109,5181.649452,15.027821,0.184913,3226.771576
1/3/2013 9:00,23.484009,14585.95297,1408.620534,19942.88226,100.365362,5180.062724,13.759161,6.660591,2742.501767
1/3/2013 10:00,23.292533,14547.94934,1434.509888,19551.2707,82.539833,5176.699318,12.734916,9.030289,2274.236131
1/3/2013 11:00,23.764693,14448.43568,1454.234452,19254.72302,83.793145,5175.946832,12.933299,12.684126,1980.43841
1/3/2013 12:00,25.187682,14557.60432,1371.812347,18385.33115,55.586945,5182.885504,13.349426,10.971453,1513.460994
1/3/2013 13:00,25.602811,14109.84715,1294.724966,17813.42486,50.289474,5186.985025,13.206125,11.964389,1344.079652
1/3/2013 14:00,27.01685,13674.51742,1279.100135,17530.78408,49.601757,5188.135987,12.009797,13.635668,1039.674325
1/3/2013 15:00,26.802057,13445.22571,1249.553312,17160.12818,49.567059,5187.74972,11.724554,8.996309,872.913267
1/3/2013 16:00,27.466484,13258.07504,1276.311639,17114.7686,49.598678,5185.353742,12.71076,5.178143,868.965528
1/3/2013 17:00,28.916685,13564.72649,1244.086308,17377.10066,50.511858,5184.450427,13.301655,2.678461,984.767974
1/3/2013 18:00,28.796847,14491.15866,1369.004097,18509.75473,78.816847,5184.754114,13.872564,0.268564,832.990019
1/3/2013 19:00,30.32577,15417.83748,1552.09868,19565.03724,78.737819,5184.50001,14.505775,0,731.329943
1/3/2013 20:00,31.076624,15712.16771,1374.217488,19166.77305,78.847531,5184.311901,13.883911,0,705.43529
1/3/2013 21:00,30.431616,15412.28261,1352.12445,18827.63451,79.031049,5184.167879,13.858831,0,817.412418
1/3/2013 22:00,30.602549,14599.24512,1259.746053,18123.27198,64.588962,5184.413388,13.852308,0,745.330062
1/3/2013 23:00,30.564912,14091.54805,1253.090137,16679.92731,50.693533,5184.807135,13.851611,0,739.986505
1/3/2013 0:00,29.548252,13004.65615,1101.673043,15425.17306,51.156453,5183.97715,13.841299,0,835.455284
1/4/2013 1:00,30.367008,11881.56359,1158.003632,14854.56879,50.851491,5183.420351,14.734108,0,836.866404
1/4/2013 2:00,30.712476,11460.30183,1051.434921,14287.55443,50.261606,5183.635799,14.778294,0,1142.742181
1/4/2013 3:00,29.854124,11421.07636,1012.1241,14241.35052,50.212495,5183.585745,14.776195,0,1078.248443
1/4/2013 4:00,29.84913,11440.94913,1000.341086,14311.58001,50.520301,5184.516016,14.768321,0,1230.625583
1/4/2013 5:00,29.841922,11554.04416,1034.060184,15126.1761,51.430528,5182.464075,14.145834,0,1255.868481
1/4/2013 6:00,29.831838,11855.1614,1123.593197,16563.89204,93.443533,5181.758995,13.282194,0,1336.46908
1/4/2013 7:00,29.698931,12785.58038,1362.191706,18117.48751,195.275829,5181.870351,12.543116,0,1353.924696
1/4/2013 8:00,28.657635,14032.24728,1330.223014,18815.56143,131.868899,5182.187385,13.985881,0.134651,1123.381286
1/4/2013 9:00,29.160718,14368.12538,1314.113681,18908.0721,85.302929,5182.419797,13.791013,1.468706,1083.311943
1/4/2013 10:00,28.811754,14779.44106,1285.354446,19565.94675,122.124211,4744.43202,14.169345,4.713726,1074.022925
1/4/2013 11:00,26.714547,15361.65262,1245.197914,19814.67988,84.220713,3759.228482,14.149679,7.070841,1225.519566
1/4/2013 12:00,26.939477,15317.0466,1231.960013,19331.80691,52.514469,3760.288592,14.204974,11.94993,1457.342704
1/4/2013 13:00,25.637875,14724.23072,1203.672577,19026.77075,51.133965,3760.433105,15.812132,17.145141,1577.504638
1/4/2013 14:00,25.809073,14248.65698,1206.499546,18827.19731,51.011685,3760.324684,17.119733,10.782535,1500.954166
1/4/2013 15:00,26.017467,14001.9952,1111.718866,18436.78958,51.014099,3760.053207,17.084557,9.419307,1405.324864
1/4/2013 16:00,26.509282,13855.60058,1113.211137,18401.11932,50.869149,3759.951375,15.949168,5.937693,1205.122713
1/4/2013 17:00,27.024086,14095.92217,1219.341954,18491.97999,51.719501,3758.045465,15.032743,2.623335,1083.803987
1/4/2013 18:00,28.944554,15002.5859,1307.792891,19071.963,79.485606,3755.027813,16.942241,0.335272,987.8769
1/4/2013 19:00,26.580761,15983.54572,1279.169548,19470.26356,79.51794,3754.866776,16.433859,0,1084.615096
1/4/2013 20:00,27.037914,15646.04207,1259.567798,19268.67761,82.452194,3754.818,11.32968,0,1125.438826
1/4/2013 21:00,27.685943,15148.38134,1258.617783,18766.57063,83.880948,3755.151859,14.25929,0,1346.459553
1/4/2013 22:00,27.262728,14454.70876,1262.411277,18065.09338,69.140813,3755.312384,17.685813,0,1662.790936
1/4/2013 23:00,27.281681,13409.80418,1240.37018,16448.82039,55.945211,3755.024435,17.732104,0,2105.172957
1/4/2013 0:00,27.284053,12214.91739,1260.579242,15504.99093,51.399019,3755.103515,17.739626,0,2564.561754
1/5/2013 1:00,25.661023,11465.00764,906.442396,14653.63456,50.482686,3755.015675,17.743518,0,3015.021474
1/5/2013 2:00,25.63946,11140.90523,732.561561,13786.57322,50.166267,3754.859486,17.748992,0,3500.867386
1/5/2013 3:00,25.064814,10663.00687,715.799621,13291.14064,50.392949,3755.256036,17.69652,0,4007.764536
1/5/2013 4:00,24.957601,10450.34353,714.004998,13100.01231,50.553239,3754.886578,19.121817,0,4309.219292
1/5/2013 5:00,24.957408,10557.89379,713.413121,13514.28629,51.128279,3755.125334,19.433339,0,4392.464549
1/5/2013 6:00,24.971421,10966.03094,715.18612,14341.80111,78.55667,3754.904536,19.432346,0,4129.34181
1/5/2013 7:00,24.741804,11596.95069,730.539857,15357.96534,114.936503,3754.96266,19.435013,0,4047.971607
1/5/2013 8:00,24.885706,11866.2136,781.200511,15957.19239,118.419601,3755.283969,18.811124,0.053885,4460.251383
1/5/2013 9:00,26.237574,12381.15013,795.052882,16452.81232,85.567099,3755.937457,18.511025,2.176974,4332.797403
1/5/2013 10:00,24.993837,13751.28798,817.887292,16483.35571,83.247031,3756.275202,17.81443,7.520867,3740.212674
1/5/2013 11:00,24.995583,14193.03761,843.200948,16173.21557,83.321666,3757.07202,17.777811,11.683782,3712.419524
1/5/2013 12:00,24.538979,14489.68343,768.281911,16295.50458,52.814169,3756.819898,17.807501,15.96417,2669.230401
1/5/2013 13:00,24.934167,14379.25762,754.660539,15866.69706,50.113485,3756.681048,17.836956,28.588145,1926.596437
1/5/2013 14:00,25.72292,13434.74865,751.972267,15454.16582,50.017736,3757.244288,17.800546,40.847113,1710.51423
1/5/2013 15:00,25.424398,12695.19968,750.994069,15096.60877,50.068523,3757.501419,18.54307,51.082385,1477.943297
1/5/2013 16:00,28.335007,12338.48607,745.63122,15006.74498,49.9497,3757.346755,18.592055,50.465639,1071.504198
1/5/2013 17:00,29.059494,12471.93307,757.790464,14954.02449,49.922919,3757.266748,18.578313,34.746801,751.279387
1/5/2013 18:00,32.049734,13431.58563,762.379892,16057.29186,78.69829,3756.895828,19.162761,4.118727,494.879975
1/5/2013 19:00,31.099121,14999.28576,788.934797,16819.81627,83.609254,3756.160308,17.348337,0,491.300565
1/5/2013 20:00,30.648273,15597.48736,747.778554,16511.42343,88.507087,3755.823039,17.22054,0,624.064946
1/5/2013 21:00,31.616886,15538.86871,724.003606,16334.17133,88.631805,3755.597472,17.205131,0,832.324994
1/5/2013 22:00,31.693774,15114.59258,727.223864,16015.52735,73.767955,3755.034896,17.200329,0,1126.560261
1/5/2013 23:00,31.329062,14762.74388,724.840503,14662.44696,60.226937,3754.932077,16.372477,0,1834.597294
1/5/2013 0:00,31.619695,13493.17416,726.128825,13816.43174,56.014573,3755.814029,16.836127,0,2838.391776
1/6/2013 1:00,30.605233,12000.54169,723.883431,13379.41164,52.927867,3755.988369,17.219093,0,3836.018708
