Delivery Date,Hour Ending,Price,Time_Index
01/01/2014,01:00,28.12,1
01/01/2014,02:00,25.03,2
01/01/2014,03:00,24.9,3
01/01/2014,04:00,24.9,4
01/01/2014,05:00,25.04,5
01/01/2014,06:00,27.19,6
01/01/2014,07:00,36.17,7
01/01/2014,08:00,38.19,8
01/01/2014,09:00,40.17,9
01/01/2014,10:00,34.74,10
01/01/2014,11:00,30.2,11
01/01/2014,12:00,27.14,12
01/01/2014,13:00,25.06,13
01/01/2014,14:00,25.06,14
01/01/2014,15:00,24.92,15
01/01/2014,16:00,24.92,16
01/01/2014,17:00,25.0,17
01/01/2014,18:00,36.12,18
01/01/2014,19:00,36.98,19
01/01/2014,20:00,31.26,20
01/01/2014,21:00,28.9,21
01/01/2014,22:00,27.24,22
01/01/2014,23:00,25.01,23
01/01/2014,24:00,23.07,24
01/02/2014,01:00,24.5,25
01/02/2014,02:00,23.5,26
01/02/2014,03:00,23.5,27
01/02/2014,04:00,24.5,28
01/02/2014,05:00,25.88,29
01/02/2014,06:00,32.21,30
01/02/2014,07:00,44.45,31
01/02/2014,08:00,46.46,32
01/02/2014,09:00,39.85,33
01/02/2014,10:00,35.09,34
01/02/2014,11:00,31.49,35
01/02/2014,12:00,28.9,36
01/02/2014,13:00,27.74,37
01/02/2014,14:00,27.55,38
01/02/2014,15:00,27.48,39
01/02/2014,16:00,26.08,40
01/02/2014,17:00,26.02,41
01/02/2014,18:00,34.32,42
01/02/2014,19:00,44.61,43
01/02/2014,20:00,43.06,44
01/02/2014,21:00,40.85,45
01/02/2014,22:00,35.37,46
01/02/2014,23:00,32.13,47
01/02/2014,24:00,28.15,48
01/03/2014,01:00,29.74,49
01/03/2014,02:00,28.13,50
01/03/2014,03:00,28.25,51
01/03/2014,04:00,28.41,52
01/03/2014,05:00,30.76,53
01/03/2014,06:00,39.86,54
01/03/2014,07:00,76.76,55
01/03/2014,08:00,57.74,56
01/03/2014,09:00,45.04,57
01/03/2014,10:00,35.49,58
01/03/2014,11:00,32.37,59
01/03/2014,12:00,30.12,60
01/03/2014,13:00,27.74,61
01/03/2014,14:00,26.05,62
01/03/2014,15:00,25.63,63
01/03/2014,16:00,24.15,64
01/03/2014,17:00,24.99,65
01/03/2014,18:00,30.53,66
01/03/2014,19:00,35.88,67
01/03/2014,20:00,34.82,68
01/03/2014,21:00,34.56,69
01/03/2014,22:00,29.99,70
01/03/2014,23:00,31.15,71
01/03/2014,24:00,28.11,72
01/04/2014,01:00,28.63,73
01/04/2014,02:00,27.5,74
01/04/2014,03:00,27.01,75
01/04/2014,04:00,25.01,76
01/04/2014,05:00,26.26,77
01/04/2014,06:00,27.09,78
01/04/2014,07:00,30.35,79
01/04/2014,08:00,32.23,80
01/04/2014,09:00,37.01,81
01/04/2014,10:00,37.23,82
01/04/2014,11:00,33.8,83
01/04/2014,12:00,28.76,84
01/04/2014,13:00,27.71,85
01/04/2014,14:00,26.01,86
01/04/2014,15:00,24.63,87
01/04/2014,16:00,23.2,88
01/04/2014,17:00,24.01,89
01/04/2014,18:00,32.03,90
01/04/2014,19:00,37.26,91
01/04/2014,20:00,33.81,92
01/04/2014,21:00,31.59,93
01/04/2014,22:00,28.3,94
01/04/2014,23:00,26.8,95
01/04/2014,24:00,24.61,96
01/05/2014,01:00,23.69,97
01/05/2014,02:00,23.35,98
01/05/2014,03:00,22.63,99
01/05/2014,04:00,23.4,100
01/05/2014,05:00,24.03,101
01/05/2014,06:00,24.87,102
01/05/2014,07:00,28.5,103
01/05/2014,08:00,31.81,104
01/05/2014,09:00,35.98,105
01/05/2014,10:00,37.51,106
01/05/2014,11:00,39.89,107
01/05/2014,12:00,31.84,108
01/05/2014,13:00,29.38,109
01/05/2014,14:00,28.25,110
01/05/2014,15:00,27.14,111
01/05/2014,16:00,26.46,112
01/05/2014,17:00,26.85,113
01/05/2014,18:00,34.84,114
01/05/2014,19:00,45.46,115
01/05/2014,20:00,43.38,116
01/05/2014,21:00,41.05,117
01/05/2014,22:00,38.61,118
01/05/2014,23:00,33.52,119
01/05/2014,24:00,31.22,120
01/06/2014,01:00,30.37,121
01/06/2014,02:00,29.97,122
01/06/2014,03:00,30.86,123
01/06/2014,04:00,32.17,124
01/06/2014,05:00,37.5,125
01/06/2014,06:00,44.45,126
01/06/2014,07:00,90.01,127
01/06/2014,08:00,93.57,128
01/06/2014,09:00,64.17,129
01/06/2014,10:00,53.53,130
01/06/2014,11:00,49.66,131
01/06/2014,12:00,43.73,132
01/06/2014,13:00,39.18,133
01/06/2014,14:00,32.58,134
01/06/2014,15:00,30.62,135
01/06/2014,16:00,30.02,136
01/06/2014,17:00,32.93,137
01/06/2014,18:00,48.62,138
01/06/2014,19:00,67.22,139
01/06/2014,20:00,63.89,140
01/06/2014,21:00,54.09,141
01/06/2014,22:00,49.87,142
01/06/2014,23:00,40.72,143
01/06/2014,24:00,36.99,144
01/07/2014,01:00,34.92,145
01/07/2014,02:00,35.86,146
01/07/2014,03:00,35.86,147
01/07/2014,04:00,38.0,148
01/07/2014,05:00,46.44,149
01/07/2014,06:00,63.59,150
01/07/2014,07:00,154.11,151
01/07/2014,08:00,118.48,152
01/07/2014,09:00,64.84,153
01/07/2014,10:00,53.51,154
01/07/2014,11:00,51.15,155
01/07/2014,12:00,40.84,156
01/07/2014,13:00,34.34,157
01/07/2014,14:00,31.4,158
01/07/2014,15:00,29.68,159
01/07/2014,16:00,29.1,160
01/07/2014,17:00,30.82,161
01/07/2014,18:00,36.87,162
01/07/2014,19:00,51.76,163
01/07/2014,20:00,44.63,164
01/07/2014,21:00,43.24,165
01/07/2014,22:00,38.3,166
01/07/2014,23:00,35.81,167
01/07/2014,24:00,34.46,168
01/08/2014,01:00,29.34,169
01/08/2014,02:00,28.14,170
01/08/2014,03:00,27.23,171
01/08/2014,04:00,27.34,172
01/08/2014,05:00,28.74,173
01/08/2014,06:00,33.91,174
01/08/2014,07:00,54.23,175
01/08/2014,08:00,50.71,176
01/08/2014,09:00,36.91,177
01/08/2014,10:00,36.91,178
01/08/2014,11:00,36.13,179
01/08/2014,12:00,31.04,180
01/08/2014,13:00,29.79,181
01/08/2014,14:00,28.67,182
01/08/2014,15:00,28.65,183
01/08/2014,16:00,27.49,184
01/08/2014,17:00,29.24,185
01/08/2014,18:00,39.07,186
01/08/2014,19:00,44.45,187
01/08/2014,20:00,39.36,188
01/08/2014,21:00,37.64,189
01/08/2014,22:00,33.96,190
01/08/2014,23:00,34.86,191
01/08/2014,24:00,28.05,192
01/09/2014,01:00,28.09,193
01/09/2014,02:00,26.7,194
01/09/2014,03:00,25.31,195
01/09/2014,04:00,25.44,196
01/09/2014,05:00,26.99,197
01/09/2014,06:00,29.97,198
01/09/2014,07:00,46.39,199
01/09/2014,08:00,45.22,200
01/09/2014,09:00,42.82,201
01/09/2014,10:00,37.14,202
01/09/2014,11:00,37.1,203
01/09/2014,12:00,31.99,204
01/09/2014,13:00,30.89,205
01/09/2014,14:00,30.13,206
01/09/2014,15:00,28.89,207
01/09/2014,16:00,27.46,208
01/09/2014,17:00,28.22,209
01/09/2014,18:00,39.29,210
01/09/2014,19:00,41.5,211
01/09/2014,20:00,35.47,212
01/09/2014,21:00,35.12,213
01/09/2014,22:00,33.54,214
01/09/2014,23:00,29.83,215
01/09/2014,24:00,23.82,216
01/10/2014,01:00,19.86,217
01/10/2014,02:00,18.56,218
01/10/2014,03:00,18.63,219
01/10/2014,04:00,17.97,220
01/10/2014,05:00,19.36,221
01/10/2014,06:00,22.84,222
01/10/2014,07:00,33.98,223
01/10/2014,08:00,31.32,224
01/10/2014,09:00,28.13,225
01/10/2014,10:00,29.19,226
01/10/2014,11:00,27.93,227
01/10/2014,12:00,28.01,228
01/10/2014,13:00,28.53,229
01/10/2014,14:00,29.0,230
01/10/2014,15:00,26.96,231
01/10/2014,16:00,26.17,232
01/10/2014,17:00,26.81,233
01/10/2014,18:00,38.04,234
01/10/2014,19:00,41.68,235
01/10/2014,20:00,35.18,236
01/10/2014,21:00,31.83,237
01/10/2014,22:00,29.31,238
01/10/2014,23:00,26.92,239
01/10/2014,24:00,24.47,240
01/11/2014,01:00,25.25,241
01/11/2014,02:00,22.27,242
01/11/2014,03:00,21.23,243
01/11/2014,04:00,21.43,244
01/11/2014,05:00,22.48,245
01/11/2014,06:00,24.69,246
01/11/2014,07:00,30.16,247
01/11/2014,08:00,34.43,248
01/11/2014,09:00,39.09,249
01/11/2014,10:00,50.07,250
01/11/2014,11:00,45.5,251
01/11/2014,12:00,33.57,252
01/11/2014,13:00,29.57,253
01/11/2014,14:00,27.62,254
01/11/2014,15:00,26.74,255
01/11/2014,16:00,26.75,256
01/11/2014,17:00,26.91,257
01/11/2014,18:00,30.59,258
01/11/2014,19:00,39.61,259
01/11/2014,20:00,31.11,260
01/11/2014,21:00,30.0,261
01/11/2014,22:00,29.85,262
01/11/2014,23:00,24.63,263
01/11/2014,24:00,23.06,264
01/12/2014,01:00,21.32,265
01/12/2014,02:00,19.15,266
01/12/2014,03:00,18.85,267
01/12/2014,04:00,18.16,268
01/12/2014,05:00,18.79,269
01/12/2014,06:00,19.16,270
01/12/2014,07:00,20.61,271
01/12/2014,08:00,22.97,272
01/12/2014,09:00,25.52,273
01/12/2014,10:00,26.29,274
01/12/2014,11:00,23.08,275
01/12/2014,12:00,21.49,276
01/12/2014,13:00,20.95,277
01/12/2014,14:00,20.47,278
01/12/2014,15:00,20.47,279
01/12/2014,16:00,20.0,280
01/12/2014,17:00,21.35,281
01/12/2014,18:00,34.59,282
01/12/2014,19:00,37.35,283
01/12/2014,20:00,31.98,284
01/12/2014,21:00,28.77,285
01/12/2014,22:00,25.85,286
01/12/2014,23:00,24.71,287
01/12/2014,24:00,19.07,288
01/13/2014,01:00,19.02,289
01/13/2014,02:00,17.91,290
01/13/2014,03:00,18.2,291
01/13/2014,04:00,19.08,292
01/13/2014,05:00,20.75,293
01/13/2014,06:00,28.94,294
01/13/2014,07:00,39.98,295
01/13/2014,08:00,39.38,296
01/13/2014,09:00,37.76,297
01/13/2014,10:00,35.18,298
01/13/2014,11:00,32.94,299
01/13/2014,12:00,29.92,300
01/13/2014,13:00,28.0,301
01/13/2014,14:00,27.21,302
01/13/2014,15:00,26.73,303
01/13/2014,16:00,26.25,304
01/13/2014,17:00,26.68,305
01/13/2014,18:00,37.74,306
01/13/2014,19:00,55.05,307
01/13/2014,20:00,46.89,308
01/13/2014,21:00,35.63,309
01/13/2014,22:00,31.13,310
01/13/2014,23:00,29.91,311
01/13/2014,24:00,28.0,312
01/14/2014,01:00,26.16,313
01/14/2014,02:00,24.29,314
01/14/2014,03:00,24.04,315
01/14/2014,04:00,24.4,316
01/14/2014,05:00,26.75,317
01/14/2014,06:00,30.15,318
01/14/2014,07:00,54.82,319
01/14/2014,08:00,50.74,320
01/14/2014,09:00,36.42,321
01/14/2014,10:00,31.68,322
01/14/2014,11:00,28.89,323
01/14/2014,12:00,26.45,324
01/14/2014,13:00,26.32,325
01/14/2014,14:00,26.35,326
01/14/2014,15:00,25.34,327
01/14/2014,16:00,24.43,328
01/14/2014,17:00,23.93,329
01/14/2014,18:00,35.89,330
01/14/2014,19:00,43.38,331
01/14/2014,20:00,36.17,332
01/14/2014,21:00,34.69,333
01/14/2014,22:00,31.5,334
01/14/2014,23:00,30.68,335
01/14/2014,24:00,28.74,336
01/15/2014,01:00,25.43,337
01/15/2014,02:00,24.64,338
01/15/2014,03:00,24.91,339
01/15/2014,04:00,25.21,340
01/15/2014,05:00,26.87,341
01/15/2014,06:00,36.14,342
01/15/2014,07:00,69.96,343
01/15/2014,08:00,52.16,344
01/15/2014,09:00,40.78,345
01/15/2014,10:00,37.85,346
01/15/2014,11:00,33.21,347
01/15/2014,12:00,30.27,348
01/15/2014,13:00,27.45,349
01/15/2014,14:00,28.37,350
01/15/2014,15:00,27.26,351
01/15/2014,16:00,26.53,352
01/15/2014,17:00,26.78,353
01/15/2014,18:00,37.65,354
01/15/2014,19:00,42.71,355
