Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,9000000,1,1,1,1,8784,1,1,33852.75859
1,,,,,,,,2,33434.09794
2,,,,,,,,3,33099.06602
3,,,,,,,,4,33053.80761
4,,,,,,,,5,33441.89907
5,,,,,,,,6,34400.40585
6,,,,,,,,7,35395.74694
7,,,,,,,,8,36094.31165
8,,,,,,,,9,36857.72946
9,,,,,,,,10,38056.83571
10,,,,,,,,11,38761.04806
11,,,,,,,,12,38880.27405
12,,,,,,,,13,38613.15078
13,,,,,,,,14,38104.05512
14,,,,,,,,15,37616.30439
15,,,,,,,,16,37480.77985
16,,,,,,,,17,37923.55681
17,,,,,,,,18,39874.4892
18,,,,,,,,19,41171.12367
19,,,,,,,,20,40901.99508
20,,,,,,,,21,40525.07659
21,,,,,,,,22,39774.83557
22,,,,,,,,23,38564.48428
23,,,,,,,,24,37005.2277
24,,,,,,,,25,35639.5728
25,,,,,,,,26,34751.63952
26,,,,,,,,27,34190.89624
27,,,,,,,,28,33907.21596
28,,,,,,,,29,34180.1049
29,,,,,,,,30,35017.06741
30,,,,,,,,31,36244.12718
31,,,,,,,,32,37557.22273
32,,,,,,,,33,38738.5573
33,,,,,,,,34,40103.55345
34,,,,,,,,35,40749.01669
35,,,,,,,,36,40595.55384
36,,,,,,,,37,40020.94652
37,,,,,,,,38,39036.46109
38,,,,,,,,39,38216.89924
39,,,,,,,,40,37920.97743
40,,,,,,,,41,38243.33197
41,,,,,,,,42,40018.29513
42,,,,,,,,43,41322.81987
43,,,,,,,,44,41060.15578
44,,,,,,,,45,40569.45952
45,,,,,,,,46,39659.74081
46,,,,,,,,47,38214.58627
47,,,,,,,,48,36511.74022
48,,,,,,,,49,35150.46129
49,,,,,,,,50,34305.60586
50,,,,,,,,51,33940.87913
51,,,,,,,,52,33960.45048
52,,,,,,,,53,34377.9665
53,,,,,,,,54,35319.3413
54,,,,,,,,55,36688.31165
55,,,,,,,,56,37985.55948
56,,,,,,,,57,38541.84457
57,,,,,,,,58,38095.04388
58,,,,,,,,59,36891.88823
59,,,,,,,,60,35485.03547
60,,,,,,,,61,34274.20381
61,,,,,,,,62,33193.61351
62,,,,,,,,63,32352.43219
63,,,,,,,,64,31938.22961
64,,,,,,,,65,32134.34379
65,,,,,,,,66,34112.21025
66,,,,,,,,67,37128.10879
67,,,,,,,,68,37908.13784
68,,,,,,,,69,37987.62846
69,,,,,,,,70,37607.97125
70,,,,,,,,71,36278.51295
71,,,,,,,,72,34745.45126
72,,,,,,,,73,33858.74139
73,,,,,,,,74,33686.6208
74,,,,,,,,75,34027.3653
75,,,,,,,,76,34856.33942
76,,,,,,,,77,36609.48399
77,,,,,,,,78,39915.59609
78,,,,,,,,79,44061.2398
79,,,,,,,,80,45766.62342
80,,,,,,,,81,44706.79338
81,,,,,,,,82,42997.70609
82,,,,,,,,83,41219.48193
83,,,,,,,,84,39390.19489
84,,,,,,,,85,37760.58265
85,,,,,,,,86,36580.05459
86,,,,,,,,87,35564.46865
87,,,,,,,,88,34924.89626
88,,,,,,,,89,34968.0616
89,,,,,,,,90,37134.0834
90,,,,,,,,91,40482.38876
91,,,,,,,,92,41218.81531
92,,,,,,,,93,41443.44961
93,,,,,,,,94,40608.98544
94,,,,,,,,95,38585.12223
95,,,,,,,,96,36625.83313
96,,,,,,,,97,35515.5421
97,,,,,,,,98,35232.65428
98,,,,,,,,99,35377.80845
99,,,,,,,,100,36008.78656
100,,,,,,,,101,37671.01957
101,,,,,,,,102,41036.53201
102,,,,,,,,103,45621.76704
103,,,,,,,,104,46975.14285
104,,,,,,,,105,45787.74719
105,,,,,,,,106,44580.12063
106,,,,,,,,107,43177.09636
107,,,,,,,,108,41477.1419
108,,,,,,,,109,39888.94119
109,,,,,,,,110,38763.42177
110,,,,,,,,111,37668.27742
111,,,,,,,,112,37162.95041
112,,,,,,,,113,37898.31755
113,,,,,,,,114,40373.36419
114,,,,,,,,115,42856.61063
115,,,,,,,,116,42911.58603
116,,,,,,,,117,42428.27043
117,,,,,,,,118,40906.57807
118,,,,,,,,119,38343.71886
119,,,,,,,,120,35797.85395
120,,,,,,,,121,34194.32331
121,,,,,,,,122,33413.59631
122,,,,,,,,123,33050.05685
123,,,,,,,,124,33073.06189
124,,,,,,,,125,34042.33566
125,,,,,,,,126,36670.61622
126,,,,,,,,127,40659.97436
127,,,,,,,,128,41849.70271
128,,,,,,,,129,40989.72349
129,,,,,,,,130,40826.032
130,,,,,,,,131,40688.92541
131,,,,,,,,132,40302.70011
132,,,,,,,,133,39684.85976
133,,,,,,,,134,39161.6408
134,,,,,,,,135,38571.5343
135,,,,,,,,136,38387.41772
136,,,,,,,,137,38904.61658
137,,,,,,,,138,40572.20039
138,,,,,,,,139,41744.55406
139,,,,,,,,140,41284.16043
140,,,,,,,,141,40396.20301
141,,,,,,,,142,38603.18494
142,,,,,,,,143,35900.71621
143,,,,,,,,144,33184.83971
144,,,,,,,,145,31351.93233
145,,,,,,,,146,30403.58322
146,,,,,,,,147,29970.31465
147,,,,,,,,148,29964.31956
148,,,,,,,,149,30745.65029
149,,,,,,,,150,33094.09733
150,,,,,,,,151,36880.47
151,,,,,,,,152,38111.49671
152,,,,,,,,153,37337.59338
153,,,,,,,,154,37088.87263
154,,,,,,,,155,36698.00468
155,,,,,,,,156,35943.78403
156,,,,,,,,157,35153.13733
157,,,,,,,,158,34725.54741
158,,,,,,,,159,34312.66347
159,,,,,,,,160,34003.43227
160,,,,,,,,161,33974.55077
161,,,,,,,,162,34798.7023
162,,,,,,,,163,36981.72353
163,,,,,,,,164,36976.80009
164,,,,,,,,165,36594.87994
165,,,,,,,,166,35352.35489
166,,,,,,,,167,33195.88645
167,,,,,,,,168,31064.7356
168,,,,,,,,169,29654.6579
169,,,,,,,,170,29077.68843
170,,,,,,,,171,28969.70466
171,,,,,,,,172,29216.08394
172,,,,,,,,173,30302.88776
173,,,,,,,,174,32993.0018
174,,,,,,,,175,37096.18794
175,,,,,,,,176,38731.83155
176,,,,,,,,177,37989.53581
177,,,,,,,,178,37598.28614
178,,,,,,,,179,37000.20397
179,,,,,,,,180,36453.12971
180,,,,,,,,181,35885.49519
181,,,,,,,,182,35406.85654
182,,,,,,,,183,34764.5215
183,,,,,,,,184,34345.73063
184,,,,,,,,185,34445.3546
185,,,,,,,,186,35546.71188
186,,,,,,,,187,36944.8738
187,,,,,,,,188,36599.48997
188,,,,,,,,189,36192.48065
189,,,,,,,,190,35507.37204
190,,,,,,,,191,34121.89403
191,,,,,,,,192,32472.44917
192,,,,,,,,193,31051.12646
193,,,,,,,,194,30159.40413
194,,,,,,,,195,29740.60515
195,,,,,,,,196,29866.06437
196,,,,,,,,197,30362.49274
197,,,,,,,,198,31645.93932
198,,,,,,,,199,33545.03974
199,,,,,,,,200,35593.70546
200,,,,,,,,201,37356.61679
201,,,,,,,,202,38709.68889
202,,,,,,,,203,39207.63654
203,,,,,,,,204,39257.66228
204,,,,,,,,205,38965.43928
205,,,,,,,,206,38538.99713
206,,,,,,,,207,38171.16641
207,,,,,,,,208,38194.07518
208,,,,,,,,209,38773.33306
209,,,,,,,,210,40597.77781
210,,,,,,,,211,42726.83502
211,,,,,,,,212,42915.8592
212,,,,,,,,213,42844.94619
213,,,,,,,,214,42377.94018
214,,,,,,,,215,41274.77119
215,,,,,,,,216,40129.67552
216,,,,,,,,217,39105.27244
