Unnamed,NG,Time_Index,coal,None,uranium
0,0.05306,0,0.095488,0,0
1,3.711,1,3.246940245,0,0.705536
2,3.711,2,3.246940245,0,0.705536
3,3.711,3,3.246940245,0,0.705536
4,3.711,4,3.246940245,0,0.705536
5,3.711,5,3.246940245,0,0.705536
6,3.711,6,3.246940245,0,0.705536
7,3.711,7,3.246940245,0,0.705536
8,3.711,8,3.246940245,0,0.705536
9,3.711,9,3.246940245,0,0.705536
10,3.711,10,3.246940245,0,0.705536
11,3.711,11,3.246940245,0,0.705536
12,3.711,12,3.246940245,0,0.705536
13,3.711,13,3.246940245,0,0.705536
14,3.711,14,3.246940245,0,0.705536
15,3.711,15,3.246940245,0,0.705536
16,3.711,16,3.246940245,0,0.705536
17,3.711,17,3.246940245,0,0.705536
18,3.711,18,3.246940245,0,0.705536
19,3.711,19,3.246940245,0,0.705536
20,3.711,20,3.246940245,0,0.705536
21,3.711,21,3.246940245,0,0.705536
22,3.711,22,3.246940245,0,0.705536
23,3.711,23,3.246940245,0,0.705536
24,3.711,24,3.246940245,0,0.705536
25,3.711,25,3.246940245,0,0.705536
26,3.711,26,3.246940245,0,0.705536
27,3.711,27,3.246940245,0,0.705536
28,3.711,28,3.246940245,0,0.705536
29,3.711,29,3.246940245,0,0.705536
30,3.711,30,3.246940245,0,0.705536
31,3.711,31,3.246940245,0,0.705536
32,3.711,32,3.246940245,0,0.705536
33,3.711,33,3.246940245,0,0.705536
34,3.711,34,3.246940245,0,0.705536
35,3.711,35,3.246940245,0,0.705536
36,3.711,36,3.246940245,0,0.705536
37,3.711,37,3.246940245,0,0.705536
38,3.711,38,3.246940245,0,0.705536
39,3.711,39,3.246940245,0,0.705536
40,3.711,40,3.246940245,0,0.705536
41,3.711,41,3.246940245,0,0.705536
42,3.711,42,3.246940245,0,0.705536
43,3.711,43,3.246940245,0,0.705536
44,3.711,44,3.246940245,0,0.705536
45,3.711,45,3.246940245,0,0.705536
46,3.711,46,3.246940245,0,0.705536
47,3.711,47,3.246940245,0,0.705536
48,3.711,48,3.246940245,0,0.705536
49,3.738,49,2.969762419,0,0.705536
50,3.738,50,2.969762419,0,0.705536
51,3.738,51,2.969762419,0,0.705536
52,3.738,52,2.969762419,0,0.705536
53,3.738,53,2.969762419,0,0.705536
54,3.738,54,2.969762419,0,0.705536
55,3.738,55,2.969762419,0,0.705536
56,3.738,56,2.969762419,0,0.705536
57,3.738,57,2.969762419,0,0.705536
58,3.738,58,2.969762419,0,0.705536
59,3.738,59,2.969762419,0,0.705536
60,3.738,60,2.969762419,0,0.705536
61,3.738,61,2.969762419,0,0.705536
62,3.738,62,2.969762419,0,0.705536
63,3.738,63,2.969762419,0,0.705536
64,3.738,64,2.969762419,0,0.705536
65,3.738,65,2.969762419,0,0.705536
66,3.738,66,2.969762419,0,0.705536
67,3.738,67,2.969762419,0,0.705536
68,3.738,68,2.969762419,0,0.705536
69,3.738,69,2.969762419,0,0.705536
70,3.738,70,2.969762419,0,0.705536
71,3.738,71,2.969762419,0,0.705536
72,3.738,72,2.969762419,0,0.705536
73,3.408,73,3.030957523,0,0.705536
74,3.408,74,3.030957523,0,0.705536
75,3.408,75,3.030957523,0,0.705536
76,3.408,76,3.030957523,0,0.705536
77,3.408,77,3.030957523,0,0.705536
78,3.408,78,3.030957523,0,0.705536
79,3.408,79,3.030957523,0,0.705536
80,3.408,80,3.030957523,0,0.705536
81,3.408,81,3.030957523,0,0.705536
82,3.408,82,3.030957523,0,0.705536
83,3.408,83,3.030957523,0,0.705536
84,3.408,84,3.030957523,0,0.705536
85,3.408,85,3.030957523,0,0.705536
86,3.408,86,3.030957523,0,0.705536
87,3.408,87,3.030957523,0,0.705536
88,3.408,88,3.030957523,0,0.705536
89,3.408,89,3.030957523,0,0.705536
90,3.408,90,3.030957523,0,0.705536
91,3.408,91,3.030957523,0,0.705536
92,3.408,92,3.030957523,0,0.705536
93,3.408,93,3.030957523,0,0.705536
94,3.408,94,3.030957523,0,0.705536
95,3.408,95,3.030957523,0,0.705536
96,3.408,96,3.030957523,0,0.705536
97,3.418,97,3.08675306,0,0.705536
98,3.418,98,3.08675306,0,0.705536
99,3.418,99,3.08675306,0,0.705536
100,3.418,100,3.08675306,0,0.705536
101,3.418,101,3.08675306,0,0.705536
102,3.418,102,3.08675306,0,0.705536
103,3.418,103,3.08675306,0,0.705536
104,3.418,104,3.08675306,0,0.705536
105,3.418,105,3.08675306,0,0.705536
106,3.418,106,3.08675306,0,0.705536
107,3.418,107,3.08675306,0,0.705536
108,3.418,108,3.08675306,0,0.705536
109,3.418,109,3.08675306,0,0.705536
110,3.418,110,3.08675306,0,0.705536
111,3.418,111,3.08675306,0,0.705536
112,3.418,112,3.08675306,0,0.705536
113,3.418,113,3.08675306,0,0.705536
114,3.418,114,3.08675306,0,0.705536
115,3.418,115,3.08675306,0,0.705536
116,3.418,116,3.08675306,0,0.705536
117,3.418,117,3.08675306,0,0.705536
118,3.418,118,3.08675306,0,0.705536
119,3.418,119,3.08675306,0,0.705536
120,3.418,120,3.08675306,0,0.705536
121,3.319,121,3.05075594,0,0.705536
122,3.319,122,3.05075594,0,0.705536
123,3.319,123,3.05075594,0,0.705536
124,3.319,124,3.05075594,0,0.705536
125,3.319,125,3.05075594,0,0.705536
126,3.319,126,3.05075594,0,0.705536
127,3.319,127,3.05075594,0,0.705536
128,3.319,128,3.05075594,0,0.705536
129,3.319,129,3.05075594,0,0.705536
