Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,521147.3193770521,382494.96580268815,1.20441721690529e7,1.2985364238597305e7,1.6384542479343787e6,2.775168e7,1.3843562139242684e7,4.02084727824854e6,483806.1596671379,3.262865004705841e6,3.1961382803660657e7,1.9944207996723235e6,173104.08531437215,2.3900689344014194e7,895373.4830290523,3.8849044659080734e6,5.916524413955654e7,1.843893342337754e6,203987.70991017827,1.6403348133355372e6,2.0153024865390628e6,3.991820376957375e7,2.080771977091374e6,56925.08489768046,1.7941691113337926e6,656.1000000000001,42377.01311284399,40952.1227353431,101.5467701859885,106572.97412214364,459673.56410260336,142619.73903811892,14228.836960563898,167047.65899574358,27367.628221569437,130292.92832826443,332.09999999999997,192453.65596794512,13141.753639530983,757185.6500644467,431379.7272729275,881.8471829362885,1.377935857131894e6,59025.84470115232,52332.45135754336,3.5910789938721866e6,665647.9267105694,823553.2220352925,915200.5965062695,152814.90203903042,223356.92753494493,22997.86142112988,2.208851806241734e6,480423.3312290056,189554.21454013843,94291.72940444341,51861.407211465514,2.072824195796427e7,2.0234712387536522e7,7.631816918125242e7,0.0,4.397607851908477e6,671168.2881977921,3.842491925241143e8
t1,62.1,12.729599999999998,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4030.1928907987167,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1971.27810684,1924.34291382,14436.360216378,0.0,0.0,0.0,37068.71384000001
t2,62.1,12.682799999999999,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4395.486645994719,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.86245048,1923.93715404,14249.527967322001,0.0,0.0,0.0,37246.307130000016
t3,62.1,12.636,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4876.487027442716,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.79375024,1923.87008952,13809.954830633998,0.0,0.0,0.0,37287.55181000001
t4,62.1,12.636,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,5341.6306976767155,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.47587744,1923.55978512,13468.7949876,0.0,0.0,0.0,37410.90746000001
t5,62.1,12.589199999999998,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,5996.959608738793,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.42145552,1923.50665896,13285.651694166,0.0,0.0,0.0,37882.938729548085
t6,62.1,12.542399999999999,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,2717.407565211497,0.0,0.0,1885.572,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.3476472399998,1923.4346080199998,12366.975817800001,0.0,0.0,0.0,38812.61015043479
t7,62.1,12.542399999999999,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,4179.6,0.0,0.0,2485.1345167334957,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1969.86191472,1922.96044056,11391.746916258,0.0,0.0,0.0,39898.17630043479
t8,62.1,12.4956,898.9321686952627,683.190943468029,0.0,3168.0,1024.66,84.76,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3681.7276846747172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1969.5030138,1922.6100849,10415.906259462,0.0,1.351835,0.0,40424.060590000016
