NG,Time_Index,coal,Date,None,uranium
0.05306,0,0.095488,0.0,0.0,0.0
2.989,1,3.921886249,2012-01-01 00:00:00,0.0,0.705536
2.989,2,3.921886249,2012-01-01 01:00:00,0.0,0.705536
2.989,3,3.921886249,2012-01-01 02:00:00,0.0,0.705536
2.989,4,3.921886249,2012-01-01 03:00:00,0.0,0.705536
2.989,5,3.921886249,2012-01-01 04:00:00,0.0,0.705536
2.989,6,3.921886249,2012-01-01 05:00:00,0.0,0.705536
2.989,7,3.921886249,2012-01-01 06:00:00,0.0,0.705536
2.989,8,3.921886249,2012-01-01 07:00:00,0.0,0.705536
2.989,9,3.921886249,2012-01-01 08:00:00,0.0,0.705536
2.989,10,3.921886249,2012-01-01 09:00:00,0.0,0.705536
2.989,11,3.921886249,2012-01-01 10:00:00,0.0,0.705536
2.989,12,3.921886249,2012-01-01 11:00:00,0.0,0.705536
2.989,13,3.921886249,2012-01-01 12:00:00,0.0,0.705536
2.989,14,3.921886249,2012-01-01 13:00:00,0.0,0.705536
2.989,15,3.921886249,2012-01-01 14:00:00,0.0,0.705536
2.989,16,3.921886249,2012-01-01 15:00:00,0.0,0.705536
2.989,17,3.921886249,2012-01-01 16:00:00,0.0,0.705536
2.989,18,3.921886249,2012-01-01 17:00:00,0.0,0.705536
2.989,19,3.921886249,2012-01-01 18:00:00,0.0,0.705536
2.989,20,3.921886249,2012-01-01 19:00:00,0.0,0.705536
2.989,21,3.921886249,2012-01-01 20:00:00,0.0,0.705536
2.989,22,3.921886249,2012-01-01 21:00:00,0.0,0.705536
2.989,23,3.921886249,2012-01-01 22:00:00,0.0,0.705536
2.989,24,3.921886249,2012-01-01 23:00:00,0.0,0.705536
2.989,25,3.929085673,2012-01-02 00:00:00,0.0,0.705536
2.989,26,3.929085673,2012-01-02 01:00:00,0.0,0.705536
2.989,27,3.929085673,2012-01-02 02:00:00,0.0,0.705536
2.989,28,3.929085673,2012-01-02 03:00:00,0.0,0.705536
2.989,29,3.929085673,2012-01-02 04:00:00,0.0,0.705536
2.989,30,3.929085673,2012-01-02 05:00:00,0.0,0.705536
2.989,31,3.929085673,2012-01-02 06:00:00,0.0,0.705536
2.989,32,3.929085673,2012-01-02 07:00:00,0.0,0.705536
2.989,33,3.929085673,2012-01-02 08:00:00,0.0,0.705536
2.989,34,3.929085673,2012-01-02 09:00:00,0.0,0.705536
2.989,35,3.929085673,2012-01-02 10:00:00,0.0,0.705536
2.989,36,3.929085673,2012-01-02 11:00:00,0.0,0.705536
2.989,37,3.929085673,2012-01-02 12:00:00,0.0,0.705536
2.989,38,3.929085673,2012-01-02 13:00:00,0.0,0.705536
2.989,39,3.929085673,2012-01-02 14:00:00,0.0,0.705536
2.989,40,3.929085673,2012-01-02 15:00:00,0.0,0.705536
2.989,41,3.929085673,2012-01-02 16:00:00,0.0,0.705536
2.989,42,3.929085673,2012-01-02 17:00:00,0.0,0.705536
2.989,43,3.929085673,2012-01-02 18:00:00,0.0,0.705536
2.989,44,3.929085673,2012-01-02 19:00:00,0.0,0.705536
2.989,45,3.929085673,2012-01-02 20:00:00,0.0,0.705536
2.989,46,3.929085673,2012-01-02 21:00:00,0.0,0.705536
2.989,47,3.929085673,2012-01-02 22:00:00,0.0,0.705536
2.989,48,3.929085673,2012-01-02 23:00:00,0.0,0.705536
2.989,49,3.936285097,2012-01-03 00:00:00,0.0,0.705536
2.989,50,3.936285097,2012-01-03 01:00:00,0.0,0.705536
2.989,51,3.936285097,2012-01-03 02:00:00,0.0,0.705536
2.989,52,3.936285097,2012-01-03 03:00:00,0.0,0.705536
