Time_Index,Load_MW_z1
1,21580.99138
2,20080.17452
3,19555.29835
4,19125.00567
5,19044.65426
6,19766.04243
7,20529.57218
8,21528.91898
9,22311.42773
10,23829.2405
11,24811.11942
12,26353.84799
13,27777.74235
14,27186.92021
15,26673.57184
16,26179.08994
17,26761.71935
18,27159.05089
19,30747.7807
20,30568.59316
21,29599.0954
22,28465.65118
23,26903.63055
24,24440.11073
25,21113.32733
26,20199.63797
27,19649.7786
28,19707.005
29,19790.42328
30,20855.7401
31,22277.94579
32,24763.91406
33,26047.47503
34,27173.60728
35,27798.42308
36,29175.6902
37,30094.98518
38,29326.19144
39,28993.4276
40,30143.37447
41,32218.7986
42,35215.05424
43,34460.19409
44,30298.51205
45,29236.13756
46,27840.42566
47,26038.87458
48,24248.22294
49,23141.85639
50,22377.47118
51,22035.97964
52,22064.4347
53,22246.53957
54,23696.4775
55,27632.48969
56,33199.99835
57,34573.01938
58,34492.48703
59,33721.2506
60,34345.72475
61,34522.9023
62,33150.33834
63,32827.04166
64,33852.9272
65,36340.2388
66,39688.34204
67,40208.30956
68,37194.08592
69,36412.2583
70,29626.41041
71,26873.6722
72,25099.43446
73,23673.72889
74,22751.80927
75,22489.70373
76,22514.48989
77,22940.81074
78,24421.69271
79,29009.1564
80,35506.29247
81,36926.84329
82,36429.91962
83,35074.87853
84,35467.39299
85,35865.29984
86,34701.89106
87,34510.36982
88,35755.88132
89,38611.29643
90,41882.21081
91,41766.09558
92,38295.11394
93,37021.48737
94,29749.86927
95,26722.82885
96,24876.03755
97,22779.99211
98,22067.13044
99,21636.41032
100,21575.93971
101,21732.01727
102,23110.91614
103,27438.25552
104,33632.26907
105,35327.63926
106,35054.29798
107,34330.09682
108,34992.94161
109,34973.78797
110,33277.69906
111,32879.95954
112,33904.13043
113,36499.41582
114,39571.49674
115,39674.87083
116,35889.40027
117,34691.71323
118,28429.79691
119,25517.88728
120,23634.57361
121,21535.2742
122,20221.27178
123,19638.97952
124,19319.05967
125,19233.85947
126,20218.6123
127,23738.13068
128,29317.5901
129,30816.56175
130,31140.50317
131,30350.73906
132,31066.92599
133,31794.63494
134,31405.05589
135,31933.42559
136,33567.0848
137,36105.8761
138,38858.47258
139,37856.87789
140,33747.41581
141,32022.48546
142,26970.55578
143,24395.87421
144,22620.76889
145,21273.84834
146,19636.98891
147,19175.57179
148,19002.90339
149,19042.71817
150,20092.10073
151,21198.84864
152,22676.11142
153,23843.76029
154,25665.94507
155,26959.41029
156,28242.63096
157,29633.11019
158,28742.16847
159,28250.11923
160,27190.92793
161,27730.05063
162,27411.85086
163,30368.06662
164,29825.27778
165,28899.02835
166,27880.70811
167,26119.42839
168,23509.08552
169,20414.0976
170,18768.99604
171,18207.54612
172,17948.6213
173,18018.03727
174,18749.77834
175,19618.27286
176,20955.06475
177,21435.69484
178,22883.7779
179,24029.91175
180,25441.87557
181,26717.8936
182,26286.87424
183,26044.8718
184,25036.35394
185,26118.13427
186,26189.36667
187,29707.79345
188,29566.16067
189,28690.20395
190,27311.44219
191,25585.77444
192,22872.15677
193,19871.87613
194,18817.6347
195,18366.93585
196,18380.58202
197,18544.33877
198,19882.74302
199,23821.71396
200,29724.97446
201,30994.84274
202,30663.37411
203,29824.86158
204,30488.3535
205,31176.6101
206,30814.93162
207,31047.86045
208,32617.88439
209,35150.28422
210,38152.25139
211,38654.5567
212,35123.93969
213,33973.11925
214,28328.71854
215,25582.57174
216,23729.00863
217,22126.99436
218,21184.0707
219,20747.46784
220,20854.65505
221,21107.69257
222,22598.8311
223,26601.01093
224,32673.81342
225,34560.72359
226,34536.69119
227,34011.23206
228,34779.60305
229,35271.98391
230,34302.3491
231,33904.59749
232,34885.73197
233,37286.1792
234,40297.6738
235,40008.53007
236,36245.36336
237,35263.64172
238,30068.88271
239,27416.06495
240,25215.91749
241,23099.04205
242,22007.75983
243,21578.0337
244,21635.15614
245,21799.0098
246,23135.41903
247,26771.30268
248,32350.16016
249,33350.40597
250,32962.52878
251,31922.47486
252,32580.37772
253,32906.81581
254,31724.9618
255,31550.05098
256,32715.4659
257,34675.09675
258,37820.45112
259,37319.11894
260,33598.59903
261,32420.75803
262,26984.39352
263,24420.87569
264,22412.12179
265,20020.40482
266,19083.86926
267,18598.22022
268,18569.55869
269,18789.56327
270,20190.98828
271,24002.28465
272,29549.1919
273,31344.90903
274,31721.90226
275,31456.798
276,32569.28511
277,33541.08528
278,32931.83047
279,32881.36442
280,34382.22755
281,36773.62537
282,39367.86862
283,38578.20465
284,34852.31114
285,33697.90535
286,28838.29396
287,26210.86398
288,24207.71254
289,22642.73956
290,21712.97454
291,21205.33346
292,21302.64298
293,21534.0505
294,22965.37937
295,26096.70184
296,31171.85162
297,33626.93874
298,34211.75162
299,33988.9355
300,34730.12278
301,34510.60693
302,33346.56456
303,33074.61981
304,33875.53419
305,36078.89483
306,38772.98326
307,37610.52338
308,33455.35303
309,32465.68188
310,27948.06736
311,25444.13566
312,23756.39982
313,23112.3541
314,21357.51549
315,20786.97334
316,20595.54242
317,20634.0009
318,21520.66597
319,22664.34208
320,23971.06191
321,25010.35797
322,26504.10943
323,27696.93386
324,29004.00796
