BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.2477028989597887e8,817185.400844997,-965745.6115911966,0.0,0.0,0.0,0.0,0.0,0.0,-3.250109182118895e8
t1,26321.30092,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26334.03052
t2,25840.37617,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25853.05897
t3,25535.335047687957,0.0,-252.6290676879531,0.0,0.0,0.0,0.0,0.0,0.0,-25295.34198
t4,25681.296840000003,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-24967.93284
t5,25699.02299,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-24985.61219
t6,26125.808260000005,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-25412.35066
t7,26953.258030000005,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-26239.80043
t8,26853.32512,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26865.82072
t9,27685.540199606963,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-27697.86274
t10,28436.801030000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28449.24983
t11,28686.632400000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28699.0344
t12,28647.386860000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28659.74206
t13,28482.65527,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28495.01047
t14,28083.08553,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28095.39393
t15,27586.795000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27599.0566
t16,27341.887460000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27354.14906
t17,27476.420728126635,0.0,-0.5050081266315077,0.0,0.0,0.0,0.0,0.0,0.0,-27488.13052
t18,29242.978770000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29255.14677
t19,31915.486057812,185.59660218799996,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32113.25066
t20,32035.266973968002,492.4029960319981,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32539.79117
t21,32400.958954643997,85.1909153560005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32498.22427
t22,32211.376920000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32223.45132
t23,31248.811510000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31260.83911
t24,29951.904779999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29963.88558
t25,28927.388250000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28939.36905
t26,28635.33302380486,0.0,-70.72208380485587,0.0,0.0,0.0,0.0,0.0,0.0,-28576.54494
t27,28597.574117132863,0.0,-19.913417132856708,0.0,0.0,0.0,0.0,0.0,0.0,-28589.5479
t28,28960.254989999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28972.14219
