Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,9000000,1,1,1,1,8760,1,1,28684.93347
1,,,,,,,,2,28002.67629
2,,,,,,,,3,27363.77436
3,,,,,,,,4,27032.42212
4,,,,,,,,5,27163.78166
5,,,,,,,,6,27836.82102
6,,,,,,,,7,28721.98443
7,,,,,,,,8,29391.72131
8,,,,,,,,9,30293.77811
9,,,,,,,,10,31882.28211
10,,,,,,,,11,33359.51517
11,,,,,,,,12,34186.78552
12,,,,,,,,13,34155.12221
13,,,,,,,,14,33781.07583
14,,,,,,,,15,33400.63914
15,,,,,,,,16,33171.80367
16,,,,,,,,17,33902.33948
17,,,,,,,,18,36307.8853
18,,,,,,,,19,38422.50811
19,,,,,,,,20,38520.57176
20,,,,,,,,21,38288.59494
21,,,,,,,,22,37438.05218
22,,,,,,,,23,35905.89552
23,,,,,,,,24,34209.11866
24,,,,,,,,25,32996.02628
25,,,,,,,,26,32506.25925
26,,,,,,,,27,32496.3845
27,,,,,,,,28,32977.15287
28,,,,,,,,29,34207.04207
29,,,,,,,,30,36734.32441
30,,,,,,,,31,39806.82977
31,,,,,,,,32,41723.21633
32,,,,,,,,33,42224.35188
33,,,,,,,,34,42774.20195
34,,,,,,,,35,42993.66514
35,,,,,,,,36,42780.83788
36,,,,,,,,37,42281.26543
37,,,,,,,,38,41587.56624
38,,,,,,,,39,40900.7314
39,,,,,,,,40,40634.60992
40,,,,,,,,41,40944.32002
41,,,,,,,,42,43091.1933
42,,,,,,,,43,45330.53813
43,,,,,,,,44,45272.42874
44,,,,,,,,45,44863.48157
45,,,,,,,,46,43684.60677
46,,,,,,,,47,41554.28354
47,,,,,,,,48,39342.55398
48,,,,,,,,49,38074.8525
49,,,,,,,,50,37504.17786
50,,,,,,,,51,37295.72927
51,,,,,,,,52,37642.56736
52,,,,,,,,53,38633.88344
53,,,,,,,,54,40931.63783
54,,,,,,,,55,43868.36519
55,,,,,,,,56,45235.45962
56,,,,,,,,57,44651.49035
57,,,,,,,,58,43687.80281
58,,,,,,,,59,42752.47135
59,,,,,,,,60,41421.78916
60,,,,,,,,61,40153.15079
61,,,,,,,,62,39115.14993
62,,,,,,,,63,38311.15172
63,,,,,,,,64,38096.90879
64,,,,,,,,65,38749.19296
65,,,,,,,,66,40863.58454
66,,,,,,,,67,42933.31148
67,,,,,,,,68,42671.37142
68,,,,,,,,69,42024.56012
69,,,,,,,,70,40591.06661
