Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,529196.6130047564,69.0,0.8755155400118396
conventional_hydroelectric,1,384280.09203966445,468.0,0.093734167554459
conventional_steam_coal,1,1.6400554090877203e7,3361.0,0.5570393844405545
conventional_steam_coal_5,1,1.7732149170955278e7,3361.0,0.6022665700356656
conventional_steam_coal_1,1,2.2114883551957016e6,698.0,0.36168052805728396
conventional_steam_coal_2,1,2.775168e7,3520.0,0.9
conventional_steam_coal_3,1,1.786770873569553e7,2815.0,0.7245800277255541
conventional_steam_coal_4,1,4.67630619733149e6,652.0,0.8187498594649919
natural_gas_fired_combined_cycle,1,342895.23715913837,780.0,0.0501837075809534
natural_gas_fired_combined_cycle_1,1,2.436517860176706e6,2121.0,0.1311368732858793
natural_gas_fired_combined_cycle_2,1,3.116377407877616e7,4644.0,0.7660440259434317
natural_gas_fired_combined_cycle_3,1,1.7629944148151414e6,746.0,0.2697789144562692
natural_gas_fired_combined_cycle_4,1,64101.776991820145,704.0,0.010394253481705995
natural_gas_fired_combined_cycle_5,1,2.4616954895587206e7,4029.0,0.6974819231685351
natural_gas_fired_combined_cycle_6,1,533218.3407664843,1740.0,0.034982571036482724
natural_gas_fired_combined_cycle_7,1,3.604166900093468e6,1031.0,0.3990636058547436
natural_gas_fired_combined_cycle_8,1,5.774578862637073e7,8056.0,0.8182702337401138
natural_gas_fired_combined_cycle_9,1,1.6141501274042462e6,532.0,0.3463603631090239
natural_gas_fired_combined_cycle_10,1,180795.6520253831,237.0,0.08708343064244028
natural_gas_fired_combined_cycle_11,1,1.4017091631721624e6,1188.0,0.13469062419977576
natural_gas_fired_combined_cycle_12,1,1.9156232303564795e6,1026.0,0.21313689176796885
natural_gas_fired_combined_cycle_13,1,3.7009355884176716e7,7481.0,0.5647389808241261
natural_gas_fired_combined_cycle_14,1,1.805875088597801e6,824.0,0.2501821896470332
natural_gas_fired_combustion_turbine,1,22368.224960020714,741.0,0.0034459518730120217
natural_gas_fired_combustion_turbine_1,1,1.700551008583205e6,1073.0,0.18091969008745218
natural_gas_fired_combustion_turbine_2,1,859.7997665589944,81.0,0.001211736522012225
natural_gas_fired_combustion_turbine_3,1,30585.948861068915,180.0,0.019397481520211136
natural_gas_fired_combustion_turbine_4,1,34790.14809702447,91.0,0.04364261640953443
natural_gas_fired_combustion_turbine_5,1,128.70000000000002,13.0,0.0011301369863013701
natural_gas_fired_combustion_turbine_6,1,78485.62787583996,354.0,0.025309453562624137
natural_gas_fired_combustion_turbine_7,1,403544.6585602516,557.0,0.08270510205525597
natural_gas_fired_combustion_turbine_8,1,96206.13948755273,1539.0,0.007136085779441725
natural_gas_fired_combustion_turbine_9,1,13200.252559277378,846.0,0.0017811798416503906
natural_gas_fired_combustion_turbine_10,1,141871.32795691275,336.0,0.04820046747829445
natural_gas_fired_combustion_turbine_11,1,10646.670217922854,208.0,0.005843140925712842
natural_gas_fired_combustion_turbine_12,1,85985.15053280053,547.0,0.01794452733732366
natural_gas_fired_combustion_turbine_13,1,479.7,41.0,0.0013356164383561643
natural_gas_fired_combustion_turbine_14,1,159921.26643993106,276.0,0.06614439251204879
natural_gas_fired_combustion_turbine_15,1,7862.400000000003,84.0,0.01068493150684932
natural_gas_steam_turbine,1,708811.4600872361,825.0,0.09807824271305329
natural_gas_steam_turbine_1,1,312169.905204306,521.0,0.06839891348835353
natural_gas_steam_turbine_2,1,1098.1186128416293,18.0,0.006964222557341637
natural_gas_steam_turbine_3,1,1.1905112168760065e6,1326.0,0.10249103088183696
natural_gas_steam_turbine_4,1,40332.66176750647,167.0,0.027569970857946074
natural_gas_steam_turbine_5,1,42515.74048351616,171.0,0.028382427089852974
natural_gas_steam_turbine_6,1,3.3880928987947516e6,2160.0,0.17905953507075256
natural_gas_steam_turbine_7,1,508744.8487275105,1265.0,0.045909799188506004
natural_gas_steam_turbine_8,1,744649.0184121594,844.0,0.10071753046107892
natural_gas_steam_turbine_9,1,810195.1095765857,421.0,0.21968652305789263
natural_gas_steam_turbine_10,1,116794.45031523144,248.0,0.05376088632126944
natural_gas_steam_turbine_11,1,183231.6580321742,392.0,0.05335932637690284
natural_gas_steam_turbine_12,1,17957.164411176956,61.0,0.03360499365816483
natural_gas_steam_turbine_13,1,1.8819339336590895e6,1461.0,0.1470449286986059
natural_gas_steam_turbine_14,1,428453.6181533801,430.0,0.11374472182047894
natural_gas_steam_turbine_15,1,173779.4441616784,169.0,0.11738364551192781
natural_gas_steam_turbine_16,1,69545.65986398234,169.0,0.04697634477856741
natural_gas_steam_turbine_17,1,36589.81754154618,122.0,0.03423704762851466
nuclear,1,1.9733216125956483e7,2520.0,0.8939088264639271
nuclear_1,1,1.9263377646767046e7,2460.0,0.8939088264639272
onshore_wind_turbine,1,4.0606470641457066e7,34182.0,0.13561060950346998
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,420680.6042561716,9323.0,0.005151013625361293
Battery,1,622467.7579626954,726.0,0.0
