Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,9000000,1,1,1,1,8784,1,1,29420.63569
1,,,,,,,,2,28870.81355
2,,,,,,,,3,28211.72408
3,,,,,,,,4,27820.28805
4,,,,,,,,5,27628.95568
5,,,,,,,,6,27787.65613
6,,,,,,,,7,28374.05729
7,,,,,,,,8,29050.54678
8,,,,,,,,9,29820.16826
9,,,,,,,,10,30848.39293
10,,,,,,,,11,31500.00404
11,,,,,,,,12,31980.15115
12,,,,,,,,13,32272.4742
13,,,,,,,,14,32330.77543
14,,,,,,,,15,32273.82122
15,,,,,,,,16,32288.18341
16,,,,,,,,17,32320.68006
17,,,,,,,,18,33298.33293
18,,,,,,,,19,35091.41044
19,,,,,,,,20,34806.31017
20,,,,,,,,21,34061.37899
21,,,,,,,,22,33161.34002
22,,,,,,,,23,31711.97043
23,,,,,,,,24,30108.52659
24,,,,,,,,25,28505.90459
25,,,,,,,,26,27488.55797
26,,,,,,,,27,26919.20142
27,,,,,,,,28,26832.55888
28,,,,,,,,29,27194.66353
29,,,,,,,,30,28087.61912
30,,,,,,,,31,29421.88417
31,,,,,,,,32,30365.4705
32,,,,,,,,33,31323.56563
33,,,,,,,,34,32279.58922
34,,,,,,,,35,33239.66376
35,,,,,,,,36,34064.69272
36,,,,,,,,37,34566.90178
37,,,,,,,,38,35029.38866
38,,,,,,,,39,35405.03185
39,,,,,,,,40,35585.88491
40,,,,,,,,41,35508.17482
41,,,,,,,,42,35890.76543
42,,,,,,,,43,37412.10154
43,,,,,,,,44,36921.30944
44,,,,,,,,45,35943.57833
45,,,,,,,,46,34508.227
46,,,,,,,,47,32283.30127
47,,,,,,,,48,29898.28641
48,,,,,,,,49,28269.64253
49,,,,,,,,50,27279.2635
50,,,,,,,,51,26878.29274
51,,,,,,,,52,26976.52107
52,,,,,,,,53,27687.99002
53,,,,,,,,54,29922.13676
54,,,,,,,,55,33522.87271
55,,,,,,,,56,35372.41454
56,,,,,,,,57,35502.14759
57,,,,,,,,58,35618.09177
58,,,,,,,,59,35977.54295
59,,,,,,,,60,36312.62682
60,,,,,,,,61,36735.01483
61,,,,,,,,62,37265.89899
62,,,,,,,,63,37603.06408
63,,,,,,,,64,37797.31107
64,,,,,,,,65,38190.95296
65,,,,,,,,66,39279.57973
66,,,,,,,,67,41175.97019
67,,,,,,,,68,40990.59539
68,,,,,,,,69,40316.61391
69,,,,,,,,70,38939.40819
70,,,,,,,,71,36745.93008
71,,,,,,,,72,34549.01191
72,,,,,,,,73,33266.87405
73,,,,,,,,74,32946.91517
74,,,,,,,,75,33018.70169
75,,,,,,,,76,33664.33543
76,,,,,,,,77,35119.03462
77,,,,,,,,78,37996.60666
78,,,,,,,,79,42548.15891
79,,,,,,,,80,44350.52949
80,,,,,,,,81,44065.88515
81,,,,,,,,82,44117.36965
82,,,,,,,,83,43758.74648
83,,,,,,,,84,43161.08266
84,,,,,,,,85,42162.54121
85,,,,,,,,86,41511.85628
86,,,,,,,,87,40340.93351
87,,,,,,,,88,39313.54917
88,,,,,,,,89,39531.30906
89,,,,,,,,90,41796.64568
90,,,,,,,,91,44702.8845
91,,,,,,,,92,45072.45958
92,,,,,,,,93,44761.40696
93,,,,,,,,94,43392.53904
94,,,,,,,,95,40866.37991
95,,,,,,,,96,38519.0725
96,,,,,,,,97,37044.78481
97,,,,,,,,98,36207.10145
98,,,,,,,,99,35702.89123
99,,,,,,,,100,35733.56011
100,,,,,,,,101,36557.47638
101,,,,,,,,102,38938.46581
102,,,,,,,,103,42680.93983
103,,,,,,,,104,43845.65965
104,,,,,,,,105,42887.21657
105,,,,,,,,106,42542.7025
106,,,,,,,,107,42291.92538
107,,,,,,,,108,41778.8007
108,,,,,,,,109,41227.28903
109,,,,,,,,110,40879.49692
110,,,,,,,,111,40604.64969
111,,,,,,,,112,40801.62714
112,,,,,,,,113,41954.37418
113,,,,,,,,114,44206.89521
114,,,,,,,,115,46611.62519
115,,,,,,,,116,47134.31832
116,,,,,,,,117,47263.46971
117,,,,,,,,118,46366.52938
118,,,,,,,,119,44434.51907
119,,,,,,,,120,42669.42083
120,,,,,,,,121,41826.70071
121,,,,,,,,122,41670.58169
122,,,,,,,,123,41801.99183
123,,,,,,,,124,42386.22498
124,,,,,,,,125,43963.14414
125,,,,,,,,126,47052.81908
126,,,,,,,,127,51436.48386
127,,,,,,,,128,53627.93088
128,,,,,,,,129,53776.77065
129,,,,,,,,130,54515.11065
130,,,,,,,,131,55019.6752
131,,,,,,,,132,54917.25552
132,,,,,,,,133,54696.8232
133,,,,,,,,134,54746.01298
134,,,,,,,,135,54832.26566
135,,,,,,,,136,55113.79714
136,,,,,,,,137,56041.61017
137,,,,,,,,138,57838.9743
138,,,,,,,,139,59636.06769
139,,,,,,,,140,59381.91468
140,,,,,,,,141,58929.492
141,,,,,,,,142,57944.15359
142,,,,,,,,143,56155.32619
143,,,,,,,,144,54688.72306
144,,,,,,,,145,53749.1998
145,,,,,,,,146,53282.31877
146,,,,,,,,147,53243.25635
147,,,,,,,,148,53542.50147
148,,,,,,,,149,54275.99066
149,,,,,,,,150,55579.84443
150,,,,,,,,151,57198.60221
151,,,,,,,,152,58634.58108
152,,,,,,,,153,58792.68192
153,,,,,,,,154,57516.1763
154,,,,,,,,155,55275.54311
155,,,,,,,,156,52469.57468
156,,,,,,,,157,49373.68464
157,,,,,,,,158,46429.53877
158,,,,,,,,159,44102.58753
159,,,,,,,,160,42671.54563
160,,,,,,,,161,42560.07785
161,,,,,,,,162,45022.57628
162,,,,,,,,163,48892.78055
163,,,,,,,,164,50367.59341
164,,,,,,,,165,51171.69909
165,,,,,,,,166,51176.25397
166,,,,,,,,167,50491.26794
167,,,,,,,,168,49681.95426
168,,,,,,,,169,48965.85951
169,,,,,,,,170,48721.2509
170,,,,,,,,171,48726.54646
171,,,,,,,,172,49004.51008
172,,,,,,,,173,49731.99948
173,,,,,,,,174,50835.30209
174,,,,,,,,175,52316.18501
175,,,,,,,,176,53445.44469
176,,,,,,,,177,53039.41611
177,,,,,,,,178,51089.4357
178,,,,,,,,179,48726.20006
179,,,,,,,,180,46218.67967
180,,,,,,,,181,43764.40334
181,,,,,,,,182,41553.58318
182,,,,,,,,183,39946.22446
183,,,,,,,,184,38987.14205
184,,,,,,,,185,39207.25537
185,,,,,,,,186,41472.74733
186,,,,,,,,187,44545.67261
187,,,,,,,,188,45398.05603
188,,,,,,,,189,45276.32373
189,,,,,,,,190,44163.79821
190,,,,,,,,191,42004.02748
191,,,,,,,,192,39737.04526
192,,,,,,,,193,38281.24291
193,,,,,,,,194,37553.44356
194,,,,,,,,195,37387.28055
195,,,,,,,,196,37727.3588
196,,,,,,,,197,38965.69702
197,,,,,,,,198,41751.45869
198,,,,,,,,199,45626.88624
199,,,,,,,,200,46506.67988
200,,,,,,,,201,44910.75021
201,,,,,,,,202,43016.05753
202,,,,,,,,203,40901.14246
203,,,,,,,,204,39167.29913
204,,,,,,,,205,37782.72249
205,,,,,,,,206,36738.1223
206,,,,,,,,207,35856.44616
207,,,,,,,,208,35294.64824
208,,,,,,,,209,35291.04898
209,,,,,,,,210,36373.06989
210,,,,,,,,211,38552.12976
211,,,,,,,,212,38387.60167
212,,,,,,,,213,37753.59537
213,,,,,,,,214,36229.46811
214,,,,,,,,215,33780.93951
215,,,,,,,,216,31376.15
216,,,,,,,,217,29829.5223
217,,,,,,,,218,28864.0009
218,,,,,,,,219,28435.08532
219,,,,,,,,220,28426.32872
220,,,,,,,,221,29110.30304
221,,,,,,,,222,31287.87892
222,,,,,,,,223,35096.77092
223,,,,,,,,224,36248.88257
224,,,,,,,,225,35656.3409
225,,,,,,,,226,35461.06581
226,,,,,,,,227,35506.92626
227,,,,,,,,228,35463.73031
228,,,,,,,,229,35511.55332
229,,,,,,,,230,35603.79907
230,,,,,,,,231,35658.33228
231,,,,,,,,232,35621.96497
232,,,,,,,,233,35711.86462
233,,,,,,,,234,36319.49712
234,,,,,,,,235,38037.80983
235,,,,,,,,236,37779.14894
236,,,,,,,,237,36925.90857
237,,,,,,,,238,35450.15933
238,,,,,,,,239,33186.16528
239,,,,,,,,240,30630.04969
240,,,,,,,,241,28979.07431
241,,,,,,,,242,28106.37052
242,,,,,,,,243,27633.70306
243,,,,,,,,244,27485.3448
244,,,,,,,,245,28056.27353
245,,,,,,,,246,30180.37753
246,,,,,,,,247,33929.13569
247,,,,,,,,248,35190.65462
248,,,,,,,,249,34871.29617
249,,,,,,,,250,35316.98029
250,,,,,,,,251,35792.53854
251,,,,,,,,252,36111.11788
252,,,,,,,,253,36277.75435
253,,,,,,,,254,36746.0244
254,,,,,,,,255,36978.70308
255,,,,,,,,256,36954.74833
256,,,,,,,,257,37026.77931
257,,,,,,,,258,37427.70677
258,,,,,,,,259,38961.16512
259,,,,,,,,260,38953.41999
260,,,,,,,,261,38174.13561
261,,,,,,,,262,36546.98339
262,,,,,,,,263,34058.16296
263,,,,,,,,264,31401.42533
264,,,,,,,,265,29479.43462
265,,,,,,,,266,28408.88969
266,,,,,,,,267,27706.60636
267,,,,,,,,268,27547.76961
268,,,,,,,,269,27948.56178
269,,,,,,,,270,29756.06235
270,,,,,,,,271,33300.97862
271,,,,,,,,272,34760.69645
272,,,,,,,,273,34794.18049
273,,,,,,,,274,35768.12274
274,,,,,,,,275,36861.69057
275,,,,,,,,276,37598.99167
276,,,,,,,,277,38001.477
277,,,,,,,,278,38387.45922
278,,,,,,,,279,38414.641
279,,,,,,,,280,38202.97562
280,,,,,,,,281,37949.06692
281,,,,,,,,282,38088.50264
282,,,,,,,,283,39525.22762
283,,,,,,,,284,39207.53216
