Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,518558.627595632,377756.742812286,1.3077808014444064e7,1.40494754301609e7,1.5172941922026796e6,2.7827712e7,1.4412758011827022e7,4.0168444609489776e6,312934.7050343205,2.541430514524637e6,3.0974580854009245e7,1.8106072159811205e6,56012.79901131022,2.343400788580532e7,482389.4518953441,3.5710767295947094e6,5.772660928447797e7,1.6888266024189524e6,164241.24318983502,1.4385399549779228e6,1.9233754444646016e6,3.823400213548041e7,1.849311900145443e6,6434.762008722066,1.6542440086727967e6,72.9,22424.39316275027,27044.6751240357,11.700000000000001,57382.312914087444,421045.21028456884,73636.94450852569,2008.5824800982964,112469.41078119432,2765.17012218494,53639.06606077299,36.9,137748.81193569524,4841.627936156671,697985.5065486021,325381.2878739835,280.6587789473684,1.266787714007877e6,43726.57522854925,47438.058450456,3.6607214831882142e6,416915.59361086105,745292.9049102849,926069.0913169142,115216.10572862891,194689.4888181239,15865.880552226614,2.229969854651858e6,465849.38701589074,182643.3638403032,69584.09414616345,36083.340472665404,2.1033979323913097e7,2.053317029239136e7,5.272315904667994e7,0.0,836376.343344432,676365.8938964898,3.518255119663601e8
t1,62.1,12.729599999999998,2159.3848391815345,2187.095172495224,0.0,3168.0,1664.666706365243,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4539.804429222,0.0,0.0,0.0,33840.02899
t2,62.1,12.682799999999999,1041.91,1997.4082334740024,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4559.565863790001,0.0,0.0,0.0,33421.41514
t3,62.1,12.636,1041.91,1663.467856964001,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4558.5679203,0.0,0.0,0.0,33086.43002
t4,62.1,12.636,1041.91,1504.6627906320055,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4672.114576632,0.0,0.0,0.0,33041.17161
t5,62.1,12.589199999999998,1041.91,1865.6866625219982,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4699.275764742,0.0,0.0,0.0,33429.30987
t6,62.1,12.542399999999999,1181.1603875750152,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4546.602989748,0.0,0.0,0.0,34575.05402005902
t7,62.1,12.542399999999999,2760.6599276419956,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4501.253969622,0.0,0.0,0.0,36109.20453999999
t8,62.1,12.4956,3024.9,3024.9,0.0,3168.0,2533.5,586.8000000000001,0.0,0.0,2139.8770110159994,0.0,0.0,1885.572,0.0,0.0,7250.4,0.0,0.0,0.0,0.0,3184.541242735998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,4192.046605638,0.0,0.056590610000000006,0.0,36081.81605
