Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.1342301765145319e9
TX,conventional_hydroelectric,1,1,4.498830567708889e8
TX,conventional_steam_coal,1,1,5.470255390864893e10
TX,conventional_steam_coal_5,1,1,5.471985819942716e10
TX,conventional_steam_coal_1,1,2,1.1321472649499508e10
TX,conventional_steam_coal_2,1,3,5.786230491048181e10
TX,conventional_steam_coal_3,1,3,4.590566428995752e10
TX,conventional_steam_coal_4,1,4,1.0661814107754719e10
TX,natural_gas_fired_combined_cycle,1,1,1.2656550185090734e10
TX,natural_gas_fired_combined_cycle_1,1,2,3.450450590428429e10
TX,natural_gas_fired_combined_cycle_2,1,3,7.626819159239348e10
TX,natural_gas_fired_combined_cycle_3,1,4,1.2177065808764765e10
TX,natural_gas_fired_combined_cycle_4,1,5,1.1409466896712059e10
TX,natural_gas_fired_combined_cycle_5,1,6,6.6098549103844e10
TX,natural_gas_fired_combined_cycle_6,1,7,2.8218815369403896e10
TX,natural_gas_fired_combined_cycle_7,1,8,1.6867295740272514e10
TX,natural_gas_fired_combined_cycle_8,1,9,1.3237827318807167e11
TX,natural_gas_fired_combined_cycle_9,1,10,8.696296234578407e9
TX,natural_gas_fired_combined_cycle_10,1,11,3.849035028785978e9
TX,natural_gas_fired_combined_cycle_11,1,12,1.93199285548902e10
TX,natural_gas_fired_combined_cycle_12,1,13,1.6725029613423075e10
TX,natural_gas_fired_combined_cycle_13,1,14,1.2264306987002863e11
TX,natural_gas_fired_combined_cycle_14,1,15,1.3444624926895454e10
TX,natural_gas_fired_combustion_turbine,1,1,1.2004490862458803e10
TX,natural_gas_fired_combustion_turbine_1,1,2,1.7472977818749634e10
TX,natural_gas_fired_combustion_turbine_2,1,3,1.3122e9
TX,natural_gas_fired_combustion_turbine_3,1,4,2.9165726571248503e9
TX,natural_gas_fired_combustion_turbine_4,1,5,1.4759628952530198e9
TX,natural_gas_fired_combustion_turbine_5,1,6,2.1060000000000003e8
TX,natural_gas_fired_combustion_turbine_6,1,7,5.738192938688404e9
TX,natural_gas_fired_combustion_turbine_7,1,8,9.045212689607733e9
TX,natural_gas_fired_combustion_turbine_8,1,9,2.4936335294472748e10
TX,natural_gas_fired_combustion_turbine_9,1,10,1.3705270543475658e10
TX,natural_gas_fired_combustion_turbine_10,1,11,5.451438049889111e9
TX,natural_gas_fired_combustion_turbine_11,1,12,3.3697150476735935e9
TX,natural_gas_fired_combustion_turbine_12,1,13,8.862643412739607e9
TX,natural_gas_fired_combustion_turbine_13,1,14,6.642e8
TX,natural_gas_fired_combustion_turbine_14,1,15,4.480761254346223e9
TX,natural_gas_fired_combustion_turbine_15,1,16,1.3608745076865335e9
TX,natural_gas_steam_turbine,1,1,1.3399907126671227e10
TX,natural_gas_steam_turbine_1,1,2,8.455786041002141e9
TX,natural_gas_steam_turbine_2,1,3,2.916112772039811e8
TX,natural_gas_steam_turbine_3,1,4,2.1544870215456345e10
TX,natural_gas_steam_turbine_4,1,5,2.7075150520238724e9
TX,natural_gas_steam_turbine_5,1,6,2.7722362439393578e9
TX,natural_gas_steam_turbine_6,1,7,3.515499726977109e10
TX,natural_gas_steam_turbine_7,1,8,2.051505657512594e10
TX,natural_gas_steam_turbine_8,1,9,1.3709826144528624e10
TX,natural_gas_steam_turbine_9,1,10,6.864653325161501e9
TX,natural_gas_steam_turbine_10,1,11,4.023077068350617e9
TX,natural_gas_steam_turbine_11,1,12,6.360348370092868e9
TX,natural_gas_steam_turbine_12,1,13,9.889441364406326e8
TX,natural_gas_steam_turbine_13,1,14,2.3774643803516026e10
TX,natural_gas_steam_turbine_14,1,15,6.9900884273071e9
TX,natural_gas_steam_turbine_15,1,16,2.7467295786666355e9
TX,natural_gas_steam_turbine_16,1,17,2.7412414487238455e9
TX,natural_gas_steam_turbine_17,1,18,1.9783394875886536e9
TX,nuclear,1,1,3.478134858200561e10
TX,nuclear_1,1,2,3.3953221234815033e10
TX,onshore_wind_turbine,1,1,5.390348839253607e10
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,1.6784946551280157e10
TX,Battery,1,1,1.3108742473686241e10
