BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.7598230813242686e8,770252.1312718653,-910297.430322155,0.0,0.0,0.0,12863.850554080283,0.0,0.0,-3.7623541088623977e8
t1,50554.34008,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50567.06968
t2,50604.405179999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50617.08798
t3,50681.85347751654,0.0,-0.18938751654737326,0.0,0.0,0.0,0.0,0.0,0.0,-50694.30009
t4,50986.955689999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50999.59169
t5,51711.26907960695,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-51723.73202
t6,52943.091859999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52955.63426
t7,54290.539779999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54303.08218
t8,55086.77183999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55099.26744
t9,55541.43840999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55553.88721
t10,56057.94166,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56070.39046
t11,55936.52151999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55948.92352
t12,55265.375109999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55277.73031
t13,54085.44426999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54097.79947
t14,52625.76700999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52638.07541
t15,51435.939119999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51448.20072
t16,50778.0740853433,0.0,-0.6943653432971507,0.0,0.0,0.0,0.0,0.0,0.0,-50789.64132
t17,51340.16411043478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-51352.31578
t18,54199.82787999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54211.99588
t19,56843.030601282095,149.2776787179013,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57004.47628
t20,57151.23246271209,134.0457872878964,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57297.39945
t21,57234.88215999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57246.95656
t22,56327.235619999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56339.31002
t23,54390.01362999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54402.04123
t24,52873.973915818024,0.0,-335.1510258180338,0.0,0.0,0.0,0.0,0.0,0.0,-52550.80369
t25,51168.189510000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51180.17031
t26,50480.73668000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50492.67068
t27,50208.68908999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50220.57629
t28,50364.56729416358,0.0,-0.2525141635799074,0.0,0.0,0.0,0.0,0.0,0.0,-50376.20198
t29,51234.405700434785,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-51246.18297
t30,53347.558650434774,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-53359.28912
t31,56163.83945999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56175.63306
t32,57793.52630999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57805.27311
t33,58335.83960999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58347.53961
t34,58965.180509999984,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58976.88051
t35,59158.100239999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59169.75344
t36,58716.46195999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58728.06836
t37,57931.832939999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57943.43934
t38,57330.333829999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57341.89343
t39,56966.931280000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56978.44408
t40,57019.91162753345,0.0,-0.6312475334652845,0.0,0.0,0.0,0.0,0.0,0.0,-57030.79318
t41,57874.056020434786,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-57885.45889
t42,60172.33133999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60183.75054
t43,61211.26023999999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61948.67944
t44,61242.77162967999,527.4696303199962,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61781.61366
t45,61114.08631999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61125.41192
t46,59567.061841485534,0.0,-29.264331485535916,0.0,0.0,0.0,0.0,0.0,0.0,-59549.12311
t47,57699.4343,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-56984.7131
t48,55705.512370000004,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-54990.74437
t49,53920.94319,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53932.17519
t50,53695.24066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53706.42586
