Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
0,9000000,1,1,1,1,8760,1,1,50567.06968
1,,,,,,,,2,50617.08798
2,,,,,,,,3,50694.30009
3,,,,,,,,4,50999.59169
4,,,,,,,,5,51723.73202
5,,,,,,,,6,52955.63426
6,,,,,,,,7,54303.08218
7,,,,,,,,8,55099.26744
8,,,,,,,,9,55553.88721
9,,,,,,,,10,56070.39046
10,,,,,,,,11,55948.92352
11,,,,,,,,12,55277.73031
12,,,,,,,,13,54097.79947
13,,,,,,,,14,52638.07541
14,,,,,,,,15,51448.20072
15,,,,,,,,16,50789.64132
16,,,,,,,,17,51352.31578
17,,,,,,,,18,54211.99588
18,,,,,,,,19,57004.47628
19,,,,,,,,20,57297.39945
20,,,,,,,,21,57246.95656
21,,,,,,,,22,56339.31002
22,,,,,,,,23,54402.04123
23,,,,,,,,24,52550.80369
24,,,,,,,,25,51180.17031
25,,,,,,,,26,50492.67068
26,,,,,,,,27,50220.57629
27,,,,,,,,28,50376.20198
28,,,,,,,,29,51246.18297
29,,,,,,,,30,53359.28912
30,,,,,,,,31,56175.63306
31,,,,,,,,32,57805.27311
32,,,,,,,,33,58347.53961
33,,,,,,,,34,58976.88051
34,,,,,,,,35,59169.75344
35,,,,,,,,36,58728.06836
36,,,,,,,,37,57943.43934
37,,,,,,,,38,57341.89343
38,,,,,,,,39,56978.44408
39,,,,,,,,40,57030.79318
40,,,,,,,,41,57885.45889
41,,,,,,,,42,60183.75054
42,,,,,,,,43,61948.67944
43,,,,,,,,44,61781.61366
44,,,,,,,,45,61125.41192
45,,,,,,,,46,59549.12311
46,,,,,,,,47,56984.7131
47,,,,,,,,48,54990.74437
48,,,,,,,,49,53932.17519
49,,,,,,,,50,53706.42586
50,,,,,,,,51,53907.18388
51,,,,,,,,52,54627.44681
52,,,,,,,,53,55927.53652
53,,,,,,,,54,58500.38652
54,,,,,,,,55,61855.51555
55,,,,,,,,56,62889.9725
56,,,,,,,,57,61351.86095
57,,,,,,,,58,58605.55471
58,,,,,,,,59,55573.30929
59,,,,,,,,60,52365.39939
60,,,,,,,,61,49273.12221
61,,,,,,,,62,46785.43518
62,,,,,,,,63,44595.06254
63,,,,,,,,64,43241.16479
64,,,,,,,,65,43164.50219
65,,,,,,,,66,45729.56991
66,,,,,,,,67,49544.06319
67,,,,,,,,68,50707.82226
68,,,,,,,,69,51398.17648
69,,,,,,,,70,51088.64927
70,,,,,,,,71,49504.10529
71,,,,,,,,72,48096.867
72,,,,,,,,73,47332.28236
73,,,,,,,,74,47232.81445
74,,,,,,,,75,47503.65129
75,,,,,,,,76,48222.42085
76,,,,,,,,77,49670.90392
77,,,,,,,,78,52341.61354
78,,,,,,,,79,55935.00467
79,,,,,,,,80,57163.14489
80,,,,,,,,81,55477.26698
81,,,,,,,,82,52336.90362
82,,,,,,,,83,49132.37386
83,,,,,,,,84,46374.03235
84,,,,,,,,85,43943.12599
85,,,,,,,,86,42180.73735
86,,,,,,,,87,40805.36506
87,,,,,,,,88,40381.17735
88,,,,,,,,89,41141.73325
89,,,,,,,,90,43647.74109
90,,,,,,,,91,46243.25068
91,,,,,,,,92,46716.68785
92,,,,,,,,93,46692.93716
93,,,,,,,,94,45640.17835
94,,,,,,,,95,43649.85627
95,,,,,,,,96,41823.63554
96,,,,,,,,97,40595.29842
97,,,,,,,,98,40132.84271
98,,,,,,,,99,40102.91134
99,,,,,,,,100,40599.94639
100,,,,,,,,101,41787.2404
