Unnamed,NG,Time_Index,coal,None,uranium
0,0.05306,0,0.095488,0,0
1,3.1,1,3.120950324,0,0.705536
2,3.1,2,3.120950324,0,0.705536
3,3.1,3,3.120950324,0,0.705536
4,3.1,4,3.120950324,0,0.705536
5,3.1,5,3.120950324,0,0.705536
6,3.1,6,3.120950324,0,0.705536
7,3.1,7,3.120950324,0,0.705536
8,3.1,8,3.120950324,0,0.705536
9,3.1,9,3.120950324,0,0.705536
10,3.1,10,3.120950324,0,0.705536
11,3.1,11,3.120950324,0,0.705536
12,3.1,12,3.120950324,0,0.705536
13,3.1,13,3.120950324,0,0.705536
14,3.1,14,3.120950324,0,0.705536
15,3.1,15,3.120950324,0,0.705536
16,3.1,16,3.120950324,0,0.705536
17,3.1,17,3.120950324,0,0.705536
18,3.1,18,3.120950324,0,0.705536
19,3.1,19,3.120950324,0,0.705536
20,3.1,20,3.120950324,0,0.705536
21,3.1,21,3.120950324,0,0.705536
22,3.1,22,3.120950324,0,0.705536
23,3.1,23,3.120950324,0,0.705536
24,3.1,24,3.120950324,0,0.705536
25,3.248,25,3.075953924,0,0.705536
26,3.248,26,3.075953924,0,0.705536
27,3.248,27,3.075953924,0,0.705536
28,3.248,28,3.075953924,0,0.705536
29,3.248,29,3.075953924,0,0.705536
30,3.248,30,3.075953924,0,0.705536
31,3.248,31,3.075953924,0,0.705536
32,3.248,32,3.075953924,0,0.705536
33,3.248,33,3.075953924,0,0.705536
34,3.248,34,3.075953924,0,0.705536
35,3.248,35,3.075953924,0,0.705536
36,3.248,36,3.075953924,0,0.705536
37,3.248,37,3.075953924,0,0.705536
38,3.248,38,3.075953924,0,0.705536
39,3.248,39,3.075953924,0,0.705536
40,3.248,40,3.075953924,0,0.705536
41,3.248,41,3.075953924,0,0.705536
42,3.248,42,3.075953924,0,0.705536
43,3.248,43,3.075953924,0,0.705536
44,3.248,44,3.075953924,0,0.705536
45,3.248,45,3.075953924,0,0.705536
46,3.248,46,3.075953924,0,0.705536
47,3.248,47,3.075953924,0,0.705536
48,3.248,48,3.075953924,0,0.705536
49,2.821,49,3.014758819,0,0.705536
50,2.821,50,3.014758819,0,0.705536
51,2.821,51,3.014758819,0,0.705536
52,2.821,52,3.014758819,0,0.705536
53,2.821,53,3.014758819,0,0.705536
54,2.821,54,3.014758819,0,0.705536
55,2.821,55,3.014758819,0,0.705536
56,2.821,56,3.014758819,0,0.705536
57,2.821,57,3.014758819,0,0.705536
58,2.821,58,3.014758819,0,0.705536
59,2.821,59,3.014758819,0,0.705536
60,2.821,60,3.014758819,0,0.705536
61,2.821,61,3.014758819,0,0.705536
62,2.821,62,3.014758819,0,0.705536
63,2.821,63,3.014758819,0,0.705536
64,2.821,64,3.014758819,0,0.705536
65,2.821,65,3.014758819,0,0.705536
66,2.821,66,3.014758819,0,0.705536
67,2.821,67,3.014758819,0,0.705536
68,2.821,68,3.014758819,0,0.705536
69,2.821,69,3.014758819,0,0.705536
70,2.821,70,3.014758819,0,0.705536
71,2.821,71,3.014758819,0,0.705536
72,2.821,72,3.014758819,0,0.705536
73,2.721,73,3.003959683,0,0.705536
74,2.721,74,3.003959683,0,0.705536
75,2.721,75,3.003959683,0,0.705536
76,2.721,76,3.003959683,0,0.705536
77,2.721,77,3.003959683,0,0.705536
78,2.721,78,3.003959683,0,0.705536
79,2.721,79,3.003959683,0,0.705536
80,2.721,80,3.003959683,0,0.705536
81,2.721,81,3.003959683,0,0.705536
82,2.721,82,3.003959683,0,0.705536
83,2.721,83,3.003959683,0,0.705536
84,2.721,84,3.003959683,0,0.705536
85,2.721,85,3.003959683,0,0.705536
86,2.721,86,3.003959683,0,0.705536
87,2.721,87,3.003959683,0,0.705536
88,2.721,88,3.003959683,0,0.705536
89,2.721,89,3.003959683,0,0.705536
90,2.721,90,3.003959683,0,0.705536
91,2.721,91,3.003959683,0,0.705536
92,2.721,92,3.003959683,0,0.705536
93,2.721,93,3.003959683,0,0.705536
94,2.721,94,3.003959683,0,0.705536
95,2.721,95,3.003959683,0,0.705536
96,2.721,96,3.003959683,0,0.705536
97,2.721,97,3.003959683,0,0.705536
98,2.721,98,3.003959683,0,0.705536
99,2.721,99,3.003959683,0,0.705536
100,2.721,100,3.003959683,0,0.705536
101,2.721,101,3.003959683,0,0.705536
102,2.721,102,3.003959683,0,0.705536
103,2.721,103,3.003959683,0,0.705536
104,2.721,104,3.003959683,0,0.705536
105,2.721,105,3.003959683,0,0.705536
106,2.721,106,3.003959683,0,0.705536
107,2.721,107,3.003959683,0,0.705536
108,2.721,108,3.003959683,0,0.705536
109,2.721,109,3.003959683,0,0.705536
110,2.721,110,3.003959683,0,0.705536
111,2.721,111,3.003959683,0,0.705536
112,2.721,112,3.003959683,0,0.705536
113,2.721,113,3.003959683,0,0.705536
114,2.721,114,3.003959683,0,0.705536
115,2.721,115,3.003959683,0,0.705536
116,2.721,116,3.003959683,0,0.705536
117,2.721,117,3.003959683,0,0.705536
118,2.721,118,3.003959683,0,0.705536
119,2.721,119,3.003959683,0,0.705536
120,2.721,120,3.003959683,0,0.705536
121,2.721,121,3.003959683,0,0.705536
122,2.721,122,3.003959683,0,0.705536
123,2.721,123,3.003959683,0,0.705536
124,2.721,124,3.003959683,0,0.705536
125,2.721,125,3.003959683,0,0.705536
126,2.721,126,3.003959683,0,0.705536
127,2.721,127,3.003959683,0,0.705536
128,2.721,128,3.003959683,0,0.705536
129,2.721,129,3.003959683,0,0.705536
130,2.721,130,3.003959683,0,0.705536
131,2.721,131,3.003959683,0,0.705536
132,2.721,132,3.003959683,0,0.705536
133,2.721,133,3.003959683,0,0.705536
134,2.721,134,3.003959683,0,0.705536
135,2.721,135,3.003959683,0,0.705536
136,2.721,136,3.003959683,0,0.705536
137,2.721,137,3.003959683,0,0.705536
138,2.721,138,3.003959683,0,0.705536
139,2.721,139,3.003959683,0,0.705536
140,2.721,140,3.003959683,0,0.705536
141,2.721,141,3.003959683,0,0.705536
142,2.721,142,3.003959683,0,0.705536
143,2.721,143,3.003959683,0,0.705536
144,2.721,144,3.003959683,0,0.705536
145,2.798,145,2.933765299,0,0.705536
146,2.798,146,2.933765299,0,0.705536
147,2.798,147,2.933765299,0,0.705536
148,2.798,148,2.933765299,0,0.705536
149,2.798,149,2.933765299,0,0.705536
150,2.798,150,2.933765299,0,0.705536
151,2.798,151,2.933765299,0,0.705536
