Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,521145.956541851,383612.38780009456,1.202596459449877e7,1.3002427626652373e7,1.6383242460922732e6,2.775168e7,1.384327700738239e7,4951.163603610724,4.0208447117655342e6,483727.40604609996,3.2626907300732513e6,3.1961278125563525e7,1.9943529118670712e6,173035.90924236848,2.3900493566035114e7,895218.4194285143,3.8848259969291287e6,5.9165100255575106e7,1.8438498901000815e6,203980.76591017828,1.6402212488589392e6,2.0152092837439554e6,3.991750223787181e7,2.0805750194945927e6,56889.08482567655,1.7940389519075493e6,656.1000000000001,42376.113112843996,40940.33273534308,100.64677018599052,106554.99612214362,459663.4310265981,142564.9609978767,14210.837068561625,167015.67599574313,27365.82814956589,130275.61640026222,332.09999999999997,192438.61596794514,13141.753639530982,757121.5893096443,431320.4538797654,881.8471829362885,1.3778512338773918e6,58991.34461114802,52315.40248354007,3.590958815064374e6,665481.8104815658,823527.6061646768,915151.736073053,152806.5460732297,223355.32081078526,22996.061421129903,2.208726114549806e6,480388.13036087964,189545.65980746463,94287.81840444337,51859.52613329904,2.072824195796427e7,2.0234712387536522e7,7.631595227140324e7,0.0,4.397583297706695e6,671154.0707491307,3.842480655078455e8
t1,62.1,12.729599999999998,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4030.1388907987157,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1971.27810684,1924.34291382,14436.360216378,0.0,0.0,0.0,37068.713840000004
t2,62.1,12.682799999999999,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4395.432645994718,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.86245048,1923.93715404,14249.527967322001,0.0,0.0,0.0,37246.30713000001
t3,62.1,12.636,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,4876.433027442717,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.79375024,1923.87008952,13809.954830633998,0.0,0.0,0.0,37287.55181000001
t4,62.1,12.636,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,5341.576697676716,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.47587744,1923.55978512,13468.7949876,0.0,0.0,0.0,37410.90746000001
t5,62.1,12.589199999999998,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2122.308,0.0,0.0,1885.572,0.0,605.197,5996.905608738792,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.42145552,1923.50665896,13285.651694166,0.0,0.0,0.0,37882.938729548085
t6,62.1,12.542399999999999,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,2717.353565211496,0.0,0.0,1885.572,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1970.3476472399998,1923.4346080199998,12366.975817800001,0.0,0.0,0.0,38812.61015043479
t7,62.1,12.542399999999999,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,4179.6,0.0,0.0,2485.0805167335,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3321.5639999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1969.86191472,1922.96044056,11391.746916258,0.0,0.0,0.0,39898.176300434796
t8,62.1,12.4956,817.7988601566021,764.014252006689,0.0,3168.0,1024.66,0.364,84.76,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,605.197,7250.4,335.69200000000006,0.0,0.0,0.0,3681.6736846747144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,1969.5030138,1922.6100849,10415.906259462,0.0,1.351835,0.0,40424.06059000001
