region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,2.642403836472459e6,0.0,0.0,0.0,0.0,2.2467903321711316e9,0.0,0.0,0.0,0.0,0.0,2.2467903321711316e9,1.360118945647246e7,2.233189142714659e9
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,1.1414189844469686e9,0.0,0.0,0.0,0.0,0.0,1.1414189844469686e9,2.264505984e7,1.1187739246069686e9
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,2.197635900541933e7,2.136304580484935e8,0.0,3.019748824880714e6,0.0,1.0917330676161795e11,0.0,0.0,0.0,0.0,0.0,1.0917330676161795e11,4.6147906818093354e8,1.0871182769343701e11
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,2.348078725226871e7,2.2849419294558772e8,0.0,2.613900906255362e6,0.0,1.091892690768432e11,0.0,0.0,0.0,0.0,0.0,1.091892690768432e11,4.774413834062518e8,1.0871182769343695e11
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,1.8783428316513526e6,2.1155457584924232e7,0.0,626540.8248113854,0.0,2.2641593025367306e10,0.0,0.0,0.0,0.0,0.0,2.2641593025367306e10,7.717970605786696e7,2.256441331930944e10
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,5.377371411456e7,5.194050729021723e8,0.0,0.0,0.0,1.146190721694444e11,0.0,0.0,0.0,0.0,0.0,1.146190721694444e11,7.787759365591323e8,1.1384029623288527e11
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,2.3583760712370522e7,2.232384733096734e8,0.0,3.5065964652607916e6,0.0,9.149161252321524e10,0.0,0.0,0.0,0.0,0.0,9.149161252321524e10,4.1474814184010476e8,9.107686438137514e10
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,6.739114666771556e6,5.762692274897654e7,0.0,0.0,0.0,2.1206629490530804e10,0.0,0.0,0.0,0.0,0.0,2.1206629490530804e10,1.058659785346281e8,2.1100763511996174e10
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,743768.7927927934,3.9795911193142817e6,0.0,1.20616437094899e6,0.0,2.5278252444746098e10,0.0,0.0,0.0,0.0,0.0,2.5278252444746098e10,1.9159151083056066e7,2.525909329366304e10
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,7.55329801004046e6,4.2189778854124926e7,0.0,4.715793316141257e6,0.0,6.877852308704652e10,0.0,0.0,0.0,0.0,0.0,6.877852308704652e10,7.580834714030665e7,6.870271473990622e10
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.1422295589068006e8,4.4482728702604e8,0.0,73005.64071105825,0.0,1.5113084440975894e11,0.0,0.0,0.0,0.0,0.0,1.5113084440975894e11,6.058686379974312e8,1.505249757717615e11
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,6.469350313908436e6,2.4341805738714404e7,0.0,1.5945987575995703e6,0.0,2.4206854320439056e10,0.0,0.0,0.0,0.0,0.0,2.4206854320439056e10,4.5058705570222415e7,2.4161795614868835e10
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,220980.02271042002,1.4406272678616336e6,0.0,636183.3812069686,0.0,2.2811894995295925e10,0.0,0.0,0.0,0.0,0.0,2.2811894995295925e10,1.4238376911779022e7,2.2797656618384148e10
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,8.192186935480945e7,3.408420041825099e8,0.0,8.309442258955692e6,0.0,1.3103995469416495e11,0.0,0.0,0.0,0.0,0.0,1.3103995469416495e11,4.8217271989627504e8,1.3055778197426868e11
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,1.6966239965229803e6,1.131715699198408e7,0.0,2.1936329402568117e6,0.0,5.639189437176319e10,0.0,0.0,0.0,0.0,0.0,5.639189437176319e10,3.2721836328763876e7,5.6359172535434425e10
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,1.6535797197150176e7,5.4301953062222764e7,0.0,2.9649564772762517e6,0.0,3.3488283914888638e10,0.0,0.0,0.0,0.0,0.0,3.3488283914888638e10,9.128955959664918e7,3.339699435529199e10
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.101611266880746e8,8.327575619922242e8,0.0,0.0,0.0,2.6224504829237613e11,0.0,0.0,0.0,0.0,0.0,2.6224504829237613e11,1.145092131080299e9,2.6109995616129584e11
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,5.688462758919309e6,2.5607271699452437e7,0.0,1.7798823808447106e6,0.0,1.727439011885626e10,0.0,0.0,0.0,0.0,0.0,1.727439011885626e10,3.843060115921646e7,1.723595951769704e10
