Delivery Date,Hour Ending,Price,Time_Index
01/01/2020,01:00,11.27,1
01/01/2020,02:00,10.04,2
01/01/2020,03:00,9.58,3
01/01/2020,04:00,9.95,4
01/01/2020,05:00,10.22,5
01/01/2020,06:00,10.79,6
01/01/2020,07:00,13.42,7
01/01/2020,08:00,14.31,8
01/01/2020,09:00,14.43,9
01/01/2020,10:00,14.63,10
01/01/2020,11:00,14.22,11
01/01/2020,12:00,13.52,12
01/01/2020,13:00,12.65,13
01/01/2020,14:00,11.94,14
01/01/2020,15:00,11.6,15
01/01/2020,16:00,10.74,16
01/01/2020,17:00,12.08,17
01/01/2020,18:00,15.91,18
01/01/2020,19:00,16.3,19
01/01/2020,20:00,15.11,20
01/01/2020,21:00,14.08,21
01/01/2020,22:00,12.72,22
01/01/2020,23:00,13.53,23
01/01/2020,24:00,15.19,24
01/02/2020,01:00,10.3,25
01/02/2020,02:00,6.17,26
01/02/2020,03:00,5.97,27
01/02/2020,04:00,6.74,28
01/02/2020,05:00,8.79,29
01/02/2020,06:00,10.58,30
01/02/2020,07:00,13.54,31
01/02/2020,08:00,16.45,32
01/02/2020,09:00,18.39,33
01/02/2020,10:00,17.22,34
01/02/2020,11:00,17.78,35
01/02/2020,12:00,16.14,36
01/02/2020,13:00,16.17,37
01/02/2020,14:00,16.14,38
01/02/2020,15:00,16.91,39
01/02/2020,16:00,15.89,40
01/02/2020,17:00,17.51,41
01/02/2020,18:00,25.61,42
01/02/2020,19:00,28.34,43
01/02/2020,20:00,20.38,44
01/02/2020,21:00,18.61,45
01/02/2020,22:00,17.93,46
01/02/2020,23:00,18.37,47
01/02/2020,24:00,18.49,48
01/03/2020,01:00,14.18,49
01/03/2020,02:00,12.95,50
01/03/2020,03:00,12.38,51
01/03/2020,04:00,12.3,52
01/03/2020,05:00,12.65,53
01/03/2020,06:00,12.53,54
01/03/2020,07:00,20.99,55
01/03/2020,08:00,19.13,56
01/03/2020,09:00,19.1,57
01/03/2020,10:00,17.78,58
01/03/2020,11:00,15.1,59
01/03/2020,12:00,14.07,60
01/03/2020,13:00,13.96,61
01/03/2020,14:00,13.69,62
01/03/2020,15:00,13.64,63
01/03/2020,16:00,13.63,64
01/03/2020,17:00,14.15,65
01/03/2020,18:00,21.32,66
01/03/2020,19:00,19.98,67
01/03/2020,20:00,21.2,68
01/03/2020,21:00,21.46,69
01/03/2020,22:00,21.15,70
01/03/2020,23:00,17.55,71
01/03/2020,24:00,17.72,72
01/04/2020,01:00,18.89,73
01/04/2020,02:00,17.98,74
01/04/2020,03:00,16.91,75
01/04/2020,04:00,15.55,76
01/04/2020,05:00,15.6,77
01/04/2020,06:00,16.78,78
01/04/2020,07:00,17.05,79
01/04/2020,08:00,19.76,80
01/04/2020,09:00,27.1,81
01/04/2020,10:00,28.66,82
01/04/2020,11:00,21.79,83
01/04/2020,12:00,19.23,84
01/04/2020,13:00,18.14,85
01/04/2020,14:00,16.3,86
01/04/2020,15:00,16.75,87
01/04/2020,16:00,14.99,88
01/04/2020,17:00,15.05,89
01/04/2020,18:00,17.75,90
01/04/2020,19:00,17.32,91
01/04/2020,20:00,15.77,92
01/04/2020,21:00,15.21,93
01/04/2020,22:00,13.36,94
01/04/2020,23:00,15.49,95
01/04/2020,24:00,13.42,96
01/05/2020,01:00,9.4,97
01/05/2020,02:00,7.72,98
01/05/2020,03:00,8.25,99
01/05/2020,04:00,10.48,100
01/05/2020,05:00,10.15,101
01/05/2020,06:00,11.82,102
01/05/2020,07:00,12.59,103
01/05/2020,08:00,14.12,104
01/05/2020,09:00,15.83,105
01/05/2020,10:00,15.15,106
01/05/2020,11:00,15.03,107
01/05/2020,12:00,14.88,108
01/05/2020,13:00,15.46,109
01/05/2020,14:00,15.99,110
01/05/2020,15:00,16.06,111
01/05/2020,16:00,15.37,112
01/05/2020,17:00,16.51,113
01/05/2020,18:00,21.95,114
01/05/2020,19:00,27.88,115
01/05/2020,20:00,19.76,116
01/05/2020,21:00,18.88,117
01/05/2020,22:00,16.31,118
01/05/2020,23:00,16.18,119
01/05/2020,24:00,16.21,120
01/06/2020,01:00,14.34,121
01/06/2020,02:00,14.88,122
01/06/2020,03:00,14.91,123
01/06/2020,04:00,14.73,124
01/06/2020,05:00,16.15,125
01/06/2020,06:00,18.65,126
01/06/2020,07:00,36.26,127
01/06/2020,08:00,31.8,128
01/06/2020,09:00,22.0,129
01/06/2020,10:00,19.68,130
01/06/2020,11:00,17.8,131
01/06/2020,12:00,17.15,132
01/06/2020,13:00,16.49,133
01/06/2020,14:00,14.97,134
01/06/2020,15:00,13.21,135
01/06/2020,16:00,12.41,136
01/06/2020,17:00,12.85,137
01/06/2020,18:00,16.63,138
01/06/2020,19:00,18.4,139
01/06/2020,20:00,19.16,140
01/06/2020,21:00,19.86,141
01/06/2020,22:00,20.66,142
01/06/2020,23:00,17.89,143
01/06/2020,24:00,16.83,144
01/07/2020,01:00,16.01,145
01/07/2020,02:00,15.56,146
01/07/2020,03:00,14.65,147
01/07/2020,04:00,15.14,148
01/07/2020,05:00,15.98,149
01/07/2020,06:00,19.23,150
01/07/2020,07:00,32.66,151
01/07/2020,08:00,26.95,152
01/07/2020,09:00,20.92,153
01/07/2020,10:00,19.44,154
01/07/2020,11:00,17.55,155
01/07/2020,12:00,16.2,156
01/07/2020,13:00,15.66,157
01/07/2020,14:00,14.94,158
01/07/2020,15:00,14.29,159
01/07/2020,16:00,13.7,160
01/07/2020,17:00,15.75,161
01/07/2020,18:00,19.93,162
01/07/2020,19:00,19.57,163
01/07/2020,20:00,18.22,164
01/07/2020,21:00,15.83,165
01/07/2020,22:00,15.11,166
01/07/2020,23:00,14.5,167
01/07/2020,24:00,15.75,168
01/08/2020,01:00,13.11,169
01/08/2020,02:00,13.27,170
01/08/2020,03:00,13.28,171
01/08/2020,04:00,12.7,172
01/08/2020,05:00,12.94,173
01/08/2020,06:00,14.41,174
01/08/2020,07:00,25.39,175
01/08/2020,08:00,22.38,176
01/08/2020,09:00,16.13,177
01/08/2020,10:00,15.65,178
01/08/2020,11:00,14.35,179
01/08/2020,12:00,13.01,180
01/08/2020,13:00,11.51,181
01/08/2020,14:00,11.32,182
01/08/2020,15:00,11.08,183
01/08/2020,16:00,11.2,184
01/08/2020,17:00,11.76,185
01/08/2020,18:00,16.33,186
01/08/2020,19:00,16.39,187
01/08/2020,20:00,15.2,188
01/08/2020,21:00,15.14,189
01/08/2020,22:00,14.28,190
01/08/2020,23:00,10.19,191
01/08/2020,24:00,9.37,192
01/09/2020,01:00,8.36,193
01/09/2020,02:00,8.22,194
01/09/2020,03:00,8.07,195
01/09/2020,04:00,8.86,196
01/09/2020,05:00,10.21,197
01/09/2020,06:00,11.81,198
01/09/2020,07:00,17.71,199
01/09/2020,08:00,17.7,200
01/09/2020,09:00,18.01,201
01/09/2020,10:00,17.59,202
01/09/2020,11:00,15.87,203
01/09/2020,12:00,17.11,204
01/09/2020,13:00,16.75,205
01/09/2020,14:00,16.96,206
01/09/2020,15:00,17.4,207
01/09/2020,16:00,18.32,208
01/09/2020,17:00,19.89,209
01/09/2020,18:00,26.89,210
01/09/2020,19:00,22.09,211
01/09/2020,20:00,18.85,212
01/09/2020,21:00,16.43,213
01/09/2020,22:00,14.06,214
01/09/2020,23:00,12.44,215
01/09/2020,24:00,12.58,216
01/10/2020,01:00,10.04,217
01/10/2020,02:00,8.55,218
01/10/2020,03:00,10.51,219
01/10/2020,04:00,12.29,220
01/10/2020,05:00,14.48,221
01/10/2020,06:00,15.52,222
01/10/2020,07:00,22.56,223
01/10/2020,08:00,20.58,224
01/10/2020,09:00,20.54,225
01/10/2020,10:00,24.23,226
01/10/2020,11:00,22.64,227
01/10/2020,12:00,19.9,228
01/10/2020,13:00,19.61,229
