Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,44.25914047466325,22.00488997555012,0.0,0.0,0.0,0.0,0.0,1.175791675683474,0.0,0.0,6.999995478039097,0.0,0.0,10.0,0.0,3.4945318072503744,10.953525020021184,0.0,0.0,0.0,0.0,10.999998529608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108944338672843,0.0,0.0,0.5632107023411371,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
