Unnamed: 0,NG,Time_Index,coal,None,uranium
0,0.05306,0,0.095488,0,0
1,2.36,1,2.483801296,0,0.705536
2,2.36,2,2.483801296,0,0.705536
3,2.36,3,2.483801296,0,0.705536
4,2.36,4,2.483801296,0,0.705536
5,2.36,5,2.483801296,0,0.705536
6,2.36,6,2.483801296,0,0.705536
7,2.36,7,2.483801296,0,0.705536
8,2.36,8,2.483801296,0,0.705536
9,2.36,9,2.483801296,0,0.705536
10,2.36,10,2.483801296,0,0.705536
11,2.36,11,2.483801296,0,0.705536
12,2.36,12,2.483801296,0,0.705536
13,2.36,13,2.483801296,0,0.705536
14,2.36,14,2.483801296,0,0.705536
15,2.36,15,2.483801296,0,0.705536
16,2.36,16,2.483801296,0,0.705536
17,2.36,17,2.483801296,0,0.705536
18,2.36,18,2.483801296,0,0.705536
19,2.36,19,2.483801296,0,0.705536
20,2.36,20,2.483801296,0,0.705536
21,2.36,21,2.483801296,0,0.705536
22,2.36,22,2.483801296,0,0.705536
23,2.36,23,2.483801296,0,0.705536
24,2.36,24,2.483801296,0,0.705536
25,2.36,25,2.483801296,0,0.705536
26,2.36,26,2.483801296,0,0.705536
27,2.36,27,2.483801296,0,0.705536
28,2.36,28,2.483801296,0,0.705536
29,2.36,29,2.483801296,0,0.705536
30,2.36,30,2.483801296,0,0.705536
31,2.36,31,2.483801296,0,0.705536
32,2.36,32,2.483801296,0,0.705536
33,2.36,33,2.483801296,0,0.705536
34,2.36,34,2.483801296,0,0.705536
35,2.36,35,2.483801296,0,0.705536
36,2.36,36,2.483801296,0,0.705536
37,2.36,37,2.483801296,0,0.705536
38,2.36,38,2.483801296,0,0.705536
39,2.36,39,2.483801296,0,0.705536
40,2.36,40,2.483801296,0,0.705536
41,2.36,41,2.483801296,0,0.705536
42,2.36,42,2.483801296,0,0.705536
43,2.36,43,2.483801296,0,0.705536
44,2.36,44,2.483801296,0,0.705536
45,2.36,45,2.483801296,0,0.705536
46,2.36,46,2.483801296,0,0.705536
47,2.36,47,2.483801296,0,0.705536
48,2.36,48,2.483801296,0,0.705536
49,2.36,49,2.483801296,0,0.705536
50,2.36,50,2.483801296,0,0.705536
51,2.36,51,2.483801296,0,0.705536
52,2.36,52,2.483801296,0,0.705536
53,2.36,53,2.483801296,0,0.705536
54,2.36,54,2.483801296,0,0.705536
55,2.36,55,2.483801296,0,0.705536
56,2.36,56,2.483801296,0,0.705536
57,2.36,57,2.483801296,0,0.705536
58,2.36,58,2.483801296,0,0.705536
59,2.36,59,2.483801296,0,0.705536
60,2.36,60,2.483801296,0,0.705536
61,2.36,61,2.483801296,0,0.705536
62,2.36,62,2.483801296,0,0.705536
63,2.36,63,2.483801296,0,0.705536
64,2.36,64,2.483801296,0,0.705536
65,2.36,65,2.483801296,0,0.705536
66,2.36,66,2.483801296,0,0.705536
67,2.36,67,2.483801296,0,0.705536
68,2.36,68,2.483801296,0,0.705536
69,2.36,69,2.483801296,0,0.705536
70,2.36,70,2.483801296,0,0.705536
71,2.36,71,2.483801296,0,0.705536
72,2.36,72,2.483801296,0,0.705536
73,2.387,73,2.494600432,0,0.705536
74,2.387,74,2.494600432,0,0.705536
75,2.387,75,2.494600432,0,0.705536
76,2.387,76,2.494600432,0,0.705536
77,2.387,77,2.494600432,0,0.705536
78,2.387,78,2.494600432,0,0.705536
79,2.387,79,2.494600432,0,0.705536
80,2.387,80,2.494600432,0,0.705536
81,2.387,81,2.494600432,0,0.705536
82,2.387,82,2.494600432,0,0.705536
83,2.387,83,2.494600432,0,0.705536
84,2.387,84,2.494600432,0,0.705536
85,2.387,85,2.494600432,0,0.705536
86,2.387,86,2.494600432,0,0.705536
87,2.387,87,2.494600432,0,0.705536
88,2.387,88,2.494600432,0,0.705536
89,2.387,89,2.494600432,0,0.705536
90,2.387,90,2.494600432,0,0.705536
91,2.387,91,2.494600432,0,0.705536
92,2.387,92,2.494600432,0,0.705536
93,2.387,93,2.494600432,0,0.705536
94,2.387,94,2.494600432,0,0.705536
95,2.387,95,2.494600432,0,0.705536
96,2.387,96,2.494600432,0,0.705536
97,2.596,97,2.336213103,0,0.705536
98,2.596,98,2.336213103,0,0.705536
99,2.596,99,2.336213103,0,0.705536
100,2.596,100,2.336213103,0,0.705536
101,2.596,101,2.336213103,0,0.705536
102,2.596,102,2.336213103,0,0.705536
103,2.596,103,2.336213103,0,0.705536
104,2.596,104,2.336213103,0,0.705536
105,2.596,105,2.336213103,0,0.705536
106,2.596,106,2.336213103,0,0.705536
107,2.596,107,2.336213103,0,0.705536
108,2.596,108,2.336213103,0,0.705536
109,2.596,109,2.336213103,0,0.705536
110,2.596,110,2.336213103,0,0.705536
111,2.596,111,2.336213103,0,0.705536
112,2.596,112,2.336213103,0,0.705536
113,2.596,113,2.336213103,0,0.705536
114,2.596,114,2.336213103,0,0.705536
115,2.596,115,2.336213103,0,0.705536
116,2.596,116,2.336213103,0,0.705536
117,2.596,117,2.336213103,0,0.705536
118,2.596,118,2.336213103,0,0.705536
119,2.596,119,2.336213103,0,0.705536
120,2.596,120,2.336213103,0,0.705536
121,2.77,121,2.312814975,0,0.705536
122,2.77,122,2.312814975,0,0.705536
123,2.77,123,2.312814975,0,0.705536
124,2.77,124,2.312814975,0,0.705536
125,2.77,125,2.312814975,0,0.705536
126,2.77,126,2.312814975,0,0.705536
127,2.77,127,2.312814975,0,0.705536
128,2.77,128,2.312814975,0,0.705536
129,2.77,129,2.312814975,0,0.705536
130,2.77,130,2.312814975,0,0.705536
131,2.77,131,2.312814975,0,0.705536
132,2.77,132,2.312814975,0,0.705536
133,2.77,133,2.312814975,0,0.705536
134,2.77,134,2.312814975,0,0.705536
135,2.77,135,2.312814975,0,0.705536
136,2.77,136,2.312814975,0,0.705536
137,2.77,137,2.312814975,0,0.705536
138,2.77,138,2.312814975,0,0.705536
139,2.77,139,2.312814975,0,0.705536
140,2.77,140,2.312814975,0,0.705536
141,2.77,141,2.312814975,0,0.705536
142,2.77,142,2.312814975,0,0.705536
143,2.77,143,2.312814975,0,0.705536
144,2.77,144,2.312814975,0,0.705536
145,2.76,145,2.397408207,0,0.705536
146,2.76,146,2.397408207,0,0.705536
147,2.76,147,2.397408207,0,0.705536
148,2.76,148,2.397408207,0,0.705536
149,2.76,149,2.397408207,0,0.705536
150,2.76,150,2.397408207,0,0.705536
151,2.76,151,2.397408207,0,0.705536
152,2.76,152,2.397408207,0,0.705536
153,2.76,153,2.397408207,0,0.705536
154,2.76,154,2.397408207,0,0.705536
155,2.76,155,2.397408207,0,0.705536
156,2.76,156,2.397408207,0,0.705536
157,2.76,157,2.397408207,0,0.705536
158,2.76,158,2.397408207,0,0.705536
159,2.76,159,2.397408207,0,0.705536
160,2.76,160,2.397408207,0,0.705536
161,2.76,161,2.397408207,0,0.705536
162,2.76,162,2.397408207,0,0.705536
163,2.76,163,2.397408207,0,0.705536
164,2.76,164,2.397408207,0,0.705536
165,2.76,165,2.397408207,0,0.705536
166,2.76,166,2.397408207,0,0.705536
167,2.76,167,2.397408207,0,0.705536
168,2.76,168,2.397408207,0,0.705536
169,2.81,169,2.465802736,0,0.705536
170,2.81,170,2.465802736,0,0.705536
171,2.81,171,2.465802736,0,0.705536
172,2.81,172,2.465802736,0,0.705536
173,2.81,173,2.465802736,0,0.705536
174,2.81,174,2.465802736,0,0.705536
175,2.81,175,2.465802736,0,0.705536
176,2.81,176,2.465802736,0,0.705536
177,2.81,177,2.465802736,0,0.705536
178,2.81,178,2.465802736,0,0.705536
179,2.81,179,2.465802736,0,0.705536
180,2.81,180,2.465802736,0,0.705536
181,2.81,181,2.465802736,0,0.705536
182,2.81,182,2.465802736,0,0.705536
183,2.81,183,2.465802736,0,0.705536
184,2.81,184,2.465802736,0,0.705536
185,2.81,185,2.465802736,0,0.705536
186,2.81,186,2.465802736,0,0.705536
187,2.81,187,2.465802736,0,0.705536
188,2.81,188,2.465802736,0,0.705536
189,2.81,189,2.465802736,0,0.705536
190,2.81,190,2.465802736,0,0.705536
191,2.81,191,2.465802736,0,0.705536
192,2.81,192,2.465802736,0,0.705536
193,2.81,193,2.465802736,0,0.705536
194,2.81,194,2.465802736,0,0.705536
195,2.81,195,2.465802736,0,0.705536
196,2.81,196,2.465802736,0,0.705536
197,2.81,197,2.465802736,0,0.705536
198,2.81,198,2.465802736,0,0.705536
199,2.81,199,2.465802736,0,0.705536
200,2.81,200,2.465802736,0,0.705536
201,2.81,201,2.465802736,0,0.705536
202,2.81,202,2.465802736,0,0.705536
203,2.81,203,2.465802736,0,0.705536
204,2.81,204,2.465802736,0,0.705536
205,2.81,205,2.465802736,0,0.705536
206,2.81,206,2.465802736,0,0.705536
207,2.81,207,2.465802736,0,0.705536
208,2.81,208,2.465802736,0,0.705536
209,2.81,209,2.465802736,0,0.705536
210,2.81,210,2.465802736,0,0.705536
211,2.81,211,2.465802736,0,0.705536
212,2.81,212,2.465802736,0,0.705536
213,2.81,213,2.465802736,0,0.705536
214,2.81,214,2.465802736,0,0.705536
215,2.81,215,2.465802736,0,0.705536
216,2.81,216,2.465802736,0,0.705536
217,2.81,217,2.465802736,0,0.705536
218,2.81,218,2.465802736,0,0.705536
219,2.81,219,2.465802736,0,0.705536
220,2.81,220,2.465802736,0,0.705536
221,2.81,221,2.465802736,0,0.705536
222,2.81,222,2.465802736,0,0.705536
223,2.81,223,2.465802736,0,0.705536
224,2.81,224,2.465802736,0,0.705536
225,2.81,225,2.465802736,0,0.705536
226,2.81,226,2.465802736,0,0.705536
227,2.81,227,2.465802736,0,0.705536
228,2.81,228,2.465802736,0,0.705536
229,2.81,229,2.465802736,0,0.705536
230,2.81,230,2.465802736,0,0.705536
231,2.81,231,2.465802736,0,0.705536
232,2.81,232,2.465802736,0,0.705536
233,2.81,233,2.465802736,0,0.705536
234,2.81,234,2.465802736,0,0.705536
235,2.81,235,2.465802736,0,0.705536
236,2.81,236,2.465802736,0,0.705536
237,2.81,237,2.465802736,0,0.705536
238,2.81,238,2.465802736,0,0.705536
239,2.81,239,2.465802736,0,0.705536
240,2.81,240,2.465802736,0,0.705536
241,2.77,241,2.465802736,0,0.705536
242,2.77,242,2.465802736,0,0.705536
243,2.77,243,2.465802736,0,0.705536
244,2.77,244,2.465802736,0,0.705536
245,2.77,245,2.465802736,0,0.705536
246,2.77,246,2.465802736,0,0.705536
247,2.77,247,2.465802736,0,0.705536
248,2.77,248,2.465802736,0,0.705536
249,2.77,249,2.465802736,0,0.705536
250,2.77,250,2.465802736,0,0.705536
251,2.77,251,2.465802736,0,0.705536
252,2.77,252,2.465802736,0,0.705536
253,2.77,253,2.465802736,0,0.705536
254,2.77,254,2.465802736,0,0.705536
255,2.77,255,2.465802736,0,0.705536
256,2.77,256,2.465802736,0,0.705536
257,2.77,257,2.465802736,0,0.705536
258,2.77,258,2.465802736,0,0.705536
259,2.77,259,2.465802736,0,0.705536
260,2.77,260,2.465802736,0,0.705536
261,2.77,261,2.465802736,0,0.705536
262,2.77,262,2.465802736,0,0.705536
263,2.77,263,2.465802736,0,0.705536
264,2.77,264,2.465802736,0,0.705536
265,2.71,265,2.537796976,0,0.705536
266,2.71,266,2.537796976,0,0.705536
267,2.71,267,2.537796976,0,0.705536
268,2.71,268,2.537796976,0,0.705536
269,2.71,269,2.537796976,0,0.705536
270,2.71,270,2.537796976,0,0.705536
