Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,518477.90858340415,69.0,0.8577822589229769
conventional_hydroelectric,1,382203.7072055374,468.0,0.09322769269931735
conventional_steam_coal,1,3.110475797885523e6,3361.0,0.10564627964217281
conventional_steam_coal_5,1,3.234157871736634e6,3361.0,0.1098471002914384
conventional_steam_coal_1,1,201252.13578947348,698.0,0.03291402307137704
conventional_steam_coal_2,1,2.775168e7,3520.0,0.9
conventional_steam_coal_3,1,5.16827503343855e6,2815.0,0.20958640654024632
conventional_steam_coal_4,1,2.2279159217680013e6,652.0,0.39007408216516815
natural_gas_fired_combined_cycle,1,875549.0376401596,780.0,0.12813912856225262
natural_gas_fired_combined_cycle_1,1,4.953684871974801e6,2121.0,0.266614399168502
natural_gas_fired_combined_cycle_2,1,3.1753927676347025e7,4644.0,0.7805507296778832
natural_gas_fired_combined_cycle_3,1,2.4610308308687825e6,746.0,0.37659462810312266
natural_gas_fired_combined_cycle_4,1,124732.60883508058,704.0,0.020225685066917125
natural_gas_fired_combined_cycle_5,1,2.3758365587641355e7,4029.0,0.6731551725912182
natural_gas_fired_combined_cycle_6,1,1.309736376860766e6,1740.0,0.08592717530446427
natural_gas_fired_combined_cycle_7,1,4.462828263597093e6,1031.0,0.4941370332032442
natural_gas_fired_combined_cycle_8,1,5.9323517573965915e7,8056.0,0.8406269919633047
natural_gas_fired_combined_cycle_9,1,2.119871982985952e6,532.0,0.4548769146723727
natural_gas_fired_combined_cycle_10,1,426365.3432015463,237.0,0.20536642544821412
natural_gas_fired_combined_cycle_11,1,2.523809884703951e6,1188.0,0.2425135953046399
natural_gas_fired_combined_cycle_12,1,2.942233345354664e6,1026.0,0.32736002578558665
natural_gas_fired_combined_cycle_13,1,3.9201420924749665e7,7481.0,0.5981884842628672
natural_gas_fired_combined_cycle_14,1,2.570551330762142e6,824.0,0.3561188504070441
natural_gas_fired_combustion_turbine,1,10255.411780524084,741.0,0.00157990432842883
natural_gas_fired_combustion_turbine_1,1,2.6571902949631633e6,1073.0,0.28269545708519656
natural_gas_fired_combustion_turbine_2,1,72.9,81.0,0.00010273972602739727
natural_gas_fired_combustion_turbine_3,1,18653.71094848735,180.0,0.011830105878036118
natural_gas_fired_combustion_turbine_4,1,78091.24343747065,91.0,0.09796181875341292
natural_gas_fired_combustion_turbine_5,1,5.1274110499999495,13.0,4.5024684316824284e-5
natural_gas_fired_combustion_turbine_6,1,89950.18131396172,354.0,0.02900645632238272
natural_gas_fired_combustion_turbine_7,1,1.0193341395199614e6,557.0,0.2089090569013636
natural_gas_fired_combustion_turbine_8,1,136873.1538279513,1539.0,0.010152559616482214
natural_gas_fired_combustion_turbine_9,1,3802.4421114347783,846.0,0.0005130836101442699
natural_gas_fired_combustion_turbine_10,1,383422.57409441826,336.0,0.13026696499728824
natural_gas_fired_combustion_turbine_11,1,1652.5022352288834,208.0,0.00090693176766601
natural_gas_fired_combustion_turbine_12,1,77172.8480351592,547.0,0.01610545859005935
natural_gas_fired_combustion_turbine_13,1,73.79999999999983,41.0,0.00020547945205479405
natural_gas_fired_combustion_turbine_14,1,473500.960643462,276.0,0.1958428299928289
natural_gas_fired_combustion_turbine_15,1,4032.0000000000014,84.0,0.005479452054794522
natural_gas_steam_turbine,1,1.05542227294736e6,825.0,0.14603878136811402
natural_gas_steam_turbine_1,1,540597.1871476407,521.0,0.11844915098897466
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,1.9111141761495871e6,1326.0,0.164527691356363
natural_gas_steam_turbine_4,1,36409.9200697343,167.0,0.024888524368888453
natural_gas_steam_turbine_5,1,36431.17131863706,171.0,0.02432052345766046
natural_gas_steam_turbine_6,1,4.408547298062985e6,2160.0,0.2329901962869411
natural_gas_steam_turbine_7,1,741998.6575348134,1265.0,0.06695892734986675
natural_gas_steam_turbine_8,1,1.112875332992169e6,844.0,0.15052199422625587
natural_gas_steam_turbine_9,1,1.1017945416547316e6,421.0,0.298754471755315
natural_gas_steam_turbine_10,1,190645.47262004812,248.0,0.08775476534653857
natural_gas_steam_turbine_11,1,271104.23557659204,392.0,0.07894890841271551
natural_gas_steam_turbine_12,1,14331.186650765801,61.0,0.026819347725813687
natural_gas_steam_turbine_13,1,3.0131258933796827e6,1461.0,0.23543062496911188
natural_gas_steam_turbine_14,1,680531.9350439162,430.0,0.18066579989484874
natural_gas_steam_turbine_15,1,259849.41639176506,169.0,0.1755217478531822
natural_gas_steam_turbine_16,1,107949.17491212922,169.0,0.07291695368412716
natural_gas_steam_turbine_17,1,45780.61260763771,122.0,0.042836863357696785
nuclear,1,2.0159747008558914e7,2520.0,0.9132305486953194
nuclear_1,1,1.9679753032164637e7,2460.0,0.9132305486953186
onshore_wind_turbine,1,9.502291842820202e7,34182.0,0.3173414404474478
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.5711188615109138e7,9323.0,0.1923752742776021
Battery,1,770191.5988019423,726.0,0.0
