Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,518477.4905834041,380407.47751626436,3.164255330551418e6,3.1797629928466678e6,201252.13578947348,2.775168e7,5.167654412514605e6,2097.3005267399003,2.227914172998571e6,875509.4520856316,4.953608481852979e6,3.1753889993218277e7,2.461012206053108e6,124700.56061987446,2.3758277066775165e7,1.3097046782122683e6,4.462804497067011e6,5.932348346295297e7,2.1198568744376693e6,426364.60024245415,2.523746064782335e6,2.9421971323251138e6,3.920131008508699e7,2.570500743369683e6,10253.611780524132,2.6571718991194423e6,72.9,18635.65102048541,78090.65698085005,5.1274110499908545,89775.4145285092,1.0193309205182026e6,136820.4512301742,3800.642111434806,383422.8751261478,1650.7022352288964,77157.63970566468,73.8000000000004,473495.8610645897,4032.0000000000014,1.05541606769736e6,540588.7247975479,0.0,1.9110994028613428e6,36406.98877336562,36432.92541269642,4.408576614484498e6,741970.5937929539,1.1128632388268602e6,1.1017978235192604e6,190767.26938147395,271101.6999565668,14320.072195177741,3.0131590104209757e6,680529.3079974046,259847.11739176506,107946.4949121293,45780.032037254736,2.0159747008558914e7,1.9679753032164637e7,9.502836374802727e7,0.0,1.5709333562662287e7,770186.0593971891,3.932302441605099e8
t1,62.1,12.729599999999998,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,6492.180494354347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,13984.762023,0.0,0.0005118327000000001,0.0,44433.12002000001
t2,62.1,12.682799999999999,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,5789.091593032041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,14289.144768594,0.0,0.000997561,0.0,44034.36755000001
t3,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,5599.237333208046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,14221.109189249999,0.0,0.001146729,0.0,43776.43106000001
t4,62.1,12.636,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,175.4133908129623,7250.4,0.0,0.0,0.0,0.0,6601.226128306545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,13246.113238037999,0.0,0.0004428425,0.0,43803.42320000001
t5,62.1,12.589199999999998,0.0,0.0,0.0,3168.0,0.0,0.0,68.74000106081235,0.0,0.0,4179.6,0.0,0.0,3626.1000000000004,0.0,517.8837815091922,7250.4,138.32,0.0,0.0,0.0,6732.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,12231.338873057999,0.0,4.195014372,0.0,43474.00087000001
t6,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,0.0,440.38000106081233,0.0,0.0,4179.6,477.44000000000005,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,46.44436453718266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.88,0.0,0.0,36.627,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,11368.335049181998,0.0,0.0013052200000000002,0.0,44252.777120000006
t7,62.1,12.542399999999999,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,65.31238763041311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.662222819588,0.0,0.0,276.597,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,10737.304326108,0.0,0.000503442,0.0,45277.74584
t8,62.1,12.4956,0.0,0.0,0.0,3168.0,0.0,0.0,586.8000000000001,0.0,0.0,4179.6,671.4,0.0,3626.1000000000004,0.0,927.9,7250.4,478.80000000000007,0.0,0.0,0.0,6732.9,65.31238763041311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,0.0,378.9,0.0,0.0,0.0,156.327,0.0,0.0,0.0,0.0,2520.0,2460.0,10332.768901608,0.0,7.033289846000001,374.49167091558536,45935.32884999999
