Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.2027578829495464e6
TX,conventional_hydroelectric,1,1,1.3694544602364262e6
TX,conventional_steam_coal,1,1,5.4744094168984406e7
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,1.0909930598832645e8
TX,conventional_steam_coal_3,1,4,1.4591672886800095e7
TX,natural_gas_fired_combined_cycle,1,1,1.5347614546490436e7
TX,natural_gas_fired_combined_cycle_1,1,2,5.994412361339639e7
TX,natural_gas_fired_combined_cycle_2,1,3,1.4602522416567603e8
TX,natural_gas_fired_combined_cycle_3,1,4,2.181485043219046e7
TX,natural_gas_fired_combined_cycle_4,1,5,2.812754049334932e6
TX,natural_gas_fired_combined_cycle_5,1,6,1.2495627502046199e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.4220148049656138e7
TX,natural_gas_fired_combined_cycle_7,1,8,3.1202765603042524e7
TX,natural_gas_fired_combined_cycle_8,1,9,2.5639403534446394e8
TX,natural_gas_fired_combined_cycle_9,1,10,1.6170168183521563e7
TX,natural_gas_fired_combined_cycle_10,1,11,5.856864801267786e6
TX,natural_gas_fired_combined_cycle_11,1,12,3.2244198035555713e7
TX,natural_gas_fired_combined_cycle_12,1,13,2.7709444624104384e7
TX,natural_gas_fired_combined_cycle_13,1,14,2.2620770166682434e8
TX,natural_gas_fired_combined_cycle_14,1,15,2.4332436324422725e7
TX,natural_gas_fired_combustion_turbine,1,1,425448.21813325235
TX,natural_gas_fired_combustion_turbine_1,1,2,2.9041708975198172e7
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,482840.7183635135
TX,natural_gas_fired_combustion_turbine_4,1,5,1.2480617276952434e6
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,1.24648754435319e6
TX,natural_gas_fired_combustion_turbine_7,1,8,1.3596641955716014e7
TX,natural_gas_fired_combustion_turbine_8,1,9,3.6358129654559093e6
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,6.944247714899285e6
TX,natural_gas_fired_combustion_turbine_11,1,12,53164.37517494205
TX,natural_gas_fired_combustion_turbine_12,1,13,1.852248638041402e6
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,6.903863321123729e6
TX,natural_gas_fired_combustion_turbine_15,1,16,200230.4053812756
TX,natural_gas_steam_turbine,1,1,1.5208740947350701e7
TX,natural_gas_steam_turbine_1,1,2,9.443466891801191e6
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,2.698608753942259e7
TX,natural_gas_steam_turbine_4,1,5,805751.0585440445
TX,natural_gas_steam_turbine_5,1,6,842108.7039268337
TX,natural_gas_steam_turbine_6,1,7,4.950240128176247e7
TX,natural_gas_steam_turbine_7,1,8,1.3072937916289112e7
TX,natural_gas_steam_turbine_8,1,9,1.597560686834749e7
TX,natural_gas_steam_turbine_9,1,10,9.985943932192761e6
TX,natural_gas_steam_turbine_10,1,11,3.086213858999721e6
TX,natural_gas_steam_turbine_11,1,12,4.208127942686369e6
TX,natural_gas_steam_turbine_12,1,13,349420.44930799154
TX,natural_gas_steam_turbine_13,1,14,3.0715217204175454e7
TX,natural_gas_steam_turbine_14,1,15,9.375296336199898e6
TX,natural_gas_steam_turbine_15,1,16,3.505884746197861e6
TX,natural_gas_steam_turbine_16,1,17,1.6371462745600871e6
TX,natural_gas_steam_turbine_17,1,18,745581.4499329485
TX,nuclear,1,1,8.491791258906941e7
TX,nuclear_1,1,2,8.289605752742496e7
TX,onshore_wind_turbine,1,1,2.345886226474904e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,1.034436145141829e8
TX,Battery,1,1,5.648244036301575e6
