Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
TX,biomass,1,1,1,0.0
TX,conventional_hydroelectric,1,1,2,0.0
TX,conventional_steam_coal,1,1,3,0.0
TX,conventional_steam_coal_1,1,2,4,0.0
TX,conventional_steam_coal_2,1,3,5,0.0
TX,conventional_steam_coal_3,1,4,6,0.0
TX,natural_gas_fired_combined_cycle,1,1,7,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,12,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,13,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,14,0.0
TX,natural_gas_fired_combined_cycle_8,1,9,15,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,16,0.0
TX,natural_gas_fired_combined_cycle_10,1,11,17,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,18,0.0
TX,natural_gas_fired_combined_cycle_12,1,13,19,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,20,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,21,0.0
TX,natural_gas_fired_combustion_turbine,1,1,22,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,23,0.0
TX,natural_gas_fired_combustion_turbine_2,1,3,24,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,25,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,26,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,27,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,28,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,29,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,30,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,31,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,32,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,33,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,34,0.0
TX,natural_gas_fired_combustion_turbine_13,1,14,35,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,36,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,37,0.0
TX,natural_gas_steam_turbine,1,1,38,0.0
TX,natural_gas_steam_turbine_1,1,2,39,0.0
TX,natural_gas_steam_turbine_2,1,3,40,0.0
TX,natural_gas_steam_turbine_3,1,4,41,0.0
TX,natural_gas_steam_turbine_4,1,5,42,0.0
TX,natural_gas_steam_turbine_5,1,6,43,0.0
TX,natural_gas_steam_turbine_6,1,7,44,0.0
TX,natural_gas_steam_turbine_7,1,8,45,0.0
TX,natural_gas_steam_turbine_8,1,9,46,0.0
TX,natural_gas_steam_turbine_9,1,10,47,0.0
TX,natural_gas_steam_turbine_10,1,11,48,0.0
TX,natural_gas_steam_turbine_11,1,12,49,0.0
TX,natural_gas_steam_turbine_12,1,13,50,0.0
TX,natural_gas_steam_turbine_13,1,14,51,0.0
TX,natural_gas_steam_turbine_14,1,15,52,0.0
TX,natural_gas_steam_turbine_15,1,16,53,0.0
TX,natural_gas_steam_turbine_16,1,17,54,0.0
TX,natural_gas_steam_turbine_17,1,18,55,0.0
TX,nuclear,1,1,56,0.0
TX,nuclear_1,1,2,57,0.0
TX,onshore_wind_turbine,1,1,58,0.0
TX,small_hydroelectric,1,1,59,0.0
TX,solar_photovoltaic,1,1,60,0.0
TX,Battery,1,1,61,0.0
