BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.927960683485812e8,741937.4793924851,-876862.3826636281,0.0,0.0,0.0,0.0,0.0,0.0,-3.9266114344531e8
t1,43719.84962,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43719.84962
t2,43394.456241876,0.0,-73.40589187599812,0.0,0.0,0.0,0.0,0.0,0.0,-43321.05035
t3,43789.06706,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43063.06706
t4,43538.839072616,0.0,-448.7798726159937,0.0,0.0,0.0,0.0,0.0,0.0,-43090.0592
t5,43486.59006999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43486.59007
t6,44265.31951999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44265.31952
t7,45290.288239999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45290.28824
t8,45947.82445000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45947.82445
t9,46090.642980000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46090.64298
t10,46178.73210000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46178.7321
t11,46022.21018999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46022.21019
t12,45504.1726383396,0.0,-13.894378339609444,0.0,0.0,0.0,0.0,0.0,0.0,-45490.27826
t13,45326.60955,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-44600.60955
t14,43934.40324527407,0.0,-308.53983527406893,0.0,0.0,0.0,0.0,0.0,0.0,-43625.86341
t15,42757.79058,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42757.79058
t16,42417.51236000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42417.51236
t17,42760.422320000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42760.42232
t18,44643.92034,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44643.92034
t19,45575.36271,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46301.36271
t20,45829.13943716015,488.87632283983703,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46318.01576
t21,45483.21112390689,540.9745160931116,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46024.18564
