Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,54636.71399999987,69.0,0.8468838874680287
conventional_hydroelectric,1,6192.556770400006,468.0,0.014151827712418314
conventional_steam_coal,1,1.0794241530140333e6,3361.0,0.3434883471509572
conventional_steam_coal_5,1,1.2120163377721359e6,3361.0,0.3856810943305758
conventional_steam_coal_1,1,17090.125090530993,698.0,0.026186545348100748
conventional_steam_coal_2,1,2.96208e6,3520.0,0.9
conventional_steam_coal_3,1,1.3396470959161404e6,2815.0,0.5089796244017972
conventional_steam_coal_4,1,329280.6244939844,652.0,0.5401407835930323
natural_gas_fired_combined_cycle,1,1071.33596,780.0,0.001468992129439188
natural_gas_fired_combined_cycle_1,1,84008.403879522,2121.0,0.04236141456810656
natural_gas_fired_combined_cycle_2,1,2.8705933672412685e6,4644.0,0.6611010624349442
natural_gas_fired_combined_cycle_3,1,116544.96615218202,746.0,0.16708716169256643
natural_gas_fired_combined_cycle_4,1,0.0,704.0,0.0
natural_gas_fired_combined_cycle_5,1,2.4471582177202348e6,4029.0,0.6496107014838237
natural_gas_fired_combined_cycle_6,1,1636.1022916789989,1740.0,0.0010056563351644224
natural_gas_fired_combined_cycle_7,1,377494.83034487866,1031.0,0.3915982409942879
natural_gas_fired_combined_cycle_8,1,5.757906963026616e6,8056.0,0.7644226992637919
natural_gas_fired_combined_cycle_9,1,73794.58590000002,532.0,0.148354681958908
natural_gas_fired_combined_cycle_10,1,3764.9820000000004,237.0,0.016990374331550803
natural_gas_fired_combined_cycle_11,1,24636.545215890997,1188.0,0.022179500185357134
natural_gas_fired_combined_cycle_12,1,89343.61135335798,1026.0,0.09313320131485961
natural_gas_fired_combined_cycle_13,1,3.4258871066774633e6,7481.0,0.4897808289631363
natural_gas_fired_combined_cycle_14,1,97153.79847352997,824.0,0.12610170613354701
natural_gas_fired_combustion_turbine,1,0.0,741.0,0.0
natural_gas_fired_combustion_turbine_1,1,53271.348534278986,1073.0,0.05309851287487128
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,0.0,180.0,0.0
natural_gas_fired_combustion_turbine_4,1,0.0,91.0,0.0
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,0.0,354.0,0.0
natural_gas_fired_combustion_turbine_7,1,556.168494,557.0,0.0010679221075471155
natural_gas_fired_combustion_turbine_8,1,0.0,1539.0,0.0
natural_gas_fired_combustion_turbine_9,1,0.0,846.0,0.0
natural_gas_fired_combustion_turbine_10,1,0.0,336.0,0.0
natural_gas_fired_combustion_turbine_11,1,0.0,208.0,0.0
natural_gas_fired_combustion_turbine_12,1,0.0,547.0,0.0
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,0.0,276.0,0.0
natural_gas_fired_combustion_turbine_15,1,0.0,84.0,0.0
natural_gas_steam_turbine,1,0.0,825.0,0.0
natural_gas_steam_turbine_1,1,0.0,521.0,0.0
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,13473.237928895964,1326.0,0.010867179591143774
natural_gas_steam_turbine_4,1,0.0,167.0,0.0
natural_gas_steam_turbine_5,1,0.0,171.0,0.0
natural_gas_steam_turbine_6,1,110765.06528782797,2160.0,0.05484505114271537
natural_gas_steam_turbine_7,1,0.0,1265.0,0.0
natural_gas_steam_turbine_8,1,859.6585394069957,844.0,0.0010893612532719109
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,0.0,248.0,0.0
natural_gas_steam_turbine_11,1,0.0,392.0,0.0
natural_gas_steam_turbine_12,1,0.0,61.0,0.0
natural_gas_steam_turbine_13,1,176821.52325762296,1461.0,0.12944142958095725
natural_gas_steam_turbine_14,1,6804.443731757976,430.0,0.01692437192328809
natural_gas_steam_turbine_15,1,4258.9600045029965,169.0,0.026952884248349816
natural_gas_steam_turbine_16,1,0.0,169.0,0.0
natural_gas_steam_turbine_17,1,0.0,122.0,0.0
nuclear,1,2.3562e6,2520.0,1.0
nuclear_1,1,2.3001e6,2460.0,1.0
onshore_wind_turbine,1,9.94332199175855e6,34182.0,0.3111160545065483
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,975393.873145012,9323.0,0.11189552755160882
Battery,1,50728.23138590974,726.0,0.0
