BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.831318869397572e7,50728.23138590974,-59963.468367875685,0.0,0.0,0.0,25.314505844997257,0.0,0.0,-3.831017132827001e7
t1,44139.26185053986,0.0,-432.13900173985377,0.0,0.0,0.0,0.0,0.0,0.0,-43719.84962
t2,44034.3703684,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43321.05035
t3,43776.433868,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43063.06706
t4,43803.426008,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43090.0592
t5,44020.508093911994,0.0,-546.5044263120053,0.0,0.0,0.0,0.0,0.0,0.0,-43486.59007
t6,44252.77990719999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44265.31952
t7,45277.748627199995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45290.28824
t8,45223.200227942005,712.1313988579968,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45947.82445
t9,45352.19694639999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46090.64298
t10,45793.78484053277,372.5012258672225,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46178.7321
t11,46009.81094599999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46022.21019
t12,46131.07093399401,0.0,-653.1451283940041,0.0,0.0,0.0,0.0,0.0,0.0,-45490.27826
t13,45314.257095600005,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-44600.60955
t14,44307.648809941,0.0,-694.0910647410074,0.0,0.0,0.0,0.0,0.0,0.0,-43625.86341
t15,42811.960390433,0.0,-66.42868563300362,0.0,0.0,0.0,0.0,0.0,0.0,-42757.79058
t16,42405.25348479999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42417.51236
t17,42748.21023439999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42760.42232
t18,44631.755044,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44643.92034
t19,45563.197414,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46301.36271
t20,45579.8972536,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46318.01576
t21,45286.113923200006,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46024.18564
t22,44959.22701712023,493.3931060797696,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45464.69184
