Delivery Date,Hour Ending,Price,Time_Index,Year
1/21/2021,24:00:00,17.23,504,1970
1/22/2021,1:00,17.7,505,1970
1/22/2021,2:00,16.39,506,1970
1/22/2021,3:00,16.28,507,1970
1/22/2021,4:00,16.21,508,1970
1/22/2021,5:00,17.02,509,1970
1/22/2021,6:00,19.96,510,1970
1/22/2021,7:00,24.55,511,1970
1/22/2021,8:00,24.8,512,1970
1/22/2021,9:00,24.59,513,1970
1/22/2021,10:00,25.41,514,1970
1/22/2021,11:00,23.79,515,1970
1/22/2021,12:00,21.63,516,1970
1/22/2021,13:00,22.58,517,1970
1/22/2021,14:00,21.82,518,1970
1/22/2021,15:00,20.9,519,1970
1/22/2021,16:00,20.78,520,1970
1/22/2021,17:00,23.97,521,1970
1/22/2021,18:00,42.59,522,1970
1/22/2021,19:00,30.22,523,1970
1/22/2021,20:00,21.79,524,1970
1/22/2021,21:00,20.95,525,1970
1/22/2021,22:00,20.89,526,1970
1/22/2021,23:00,20.54,527,1970
1/22/2021,24:00:00,19.2,528,1970
1/23/2021,1:00,21.28,529,1970
1/23/2021,2:00,17.96,530,1970
1/23/2021,3:00,17.69,531,1970
1/23/2021,4:00,17.48,532,1970
1/23/2021,5:00,17.32,533,1970
1/23/2021,6:00,18.07,534,1970
1/23/2021,7:00,20.47,535,1970
1/23/2021,8:00,20.78,536,1970
1/23/2021,9:00,27.24,537,1970
1/23/2021,10:00,31.84,538,1970
1/23/2021,11:00,23.66,539,1970
1/23/2021,12:00,21.23,540,1970
1/23/2021,13:00,18.78,541,1970
1/23/2021,14:00,17.3,542,1970
1/23/2021,15:00,15.96,543,1970
1/23/2021,16:00,16.01,544,1970
1/23/2021,17:00,17.55,545,1970
1/23/2021,18:00,28.87,546,1970
1/23/2021,19:00,22.94,547,1970
1/23/2021,20:00,18.97,548,1970
1/23/2021,21:00,17.8,549,1970
1/23/2021,22:00,18.42,550,1970
1/23/2021,23:00,17.54,551,1970
1/23/2021,24:00:00,14.84,552,1970
1/24/2021,1:00,16.88,553,1970
1/24/2021,2:00,15.56,554,1970
1/24/2021,3:00,16.01,555,1970
1/24/2021,4:00,17.06,556,1970
1/24/2021,5:00,17.37,557,1970
1/24/2021,6:00,17.85,558,1970
1/24/2021,7:00,19.0,559,1970
1/24/2021,8:00,19.74,560,1970
1/24/2021,9:00,19.96,561,1970
1/24/2021,10:00,21.26,562,1970
1/24/2021,11:00,21.33,563,1970
1/24/2021,12:00,21.3,564,1970
1/24/2021,13:00,20.0,565,1970
1/24/2021,14:00,17.93,566,1970
1/24/2021,15:00,17.25,567,1970
1/24/2021,16:00,17.01,568,1970
1/24/2021,17:00,18.0,569,1970
1/24/2021,18:00,25.23,570,1970
1/24/2021,19:00,24.46,571,1970
1/24/2021,20:00,20.11,572,1970
1/24/2021,21:00,20.63,573,1970
1/24/2021,22:00,18.48,574,1970
1/24/2021,23:00,17.85,575,1970
1/24/2021,24:00:00,14.12,576,1970
1/25/2021,1:00,10.36,577,1970
1/25/2021,2:00,4.73,578,1970
1/25/2021,3:00,4.41,579,1970
1/25/2021,4:00,4.49,580,1970
1/25/2021,5:00,6.56,581,1970
1/25/2021,6:00,10.39,582,1970
1/25/2021,7:00,17.15,583,1970
1/25/2021,8:00,21.16,584,1970
1/25/2021,9:00,18.26,585,1970
1/25/2021,10:00,16.5,586,1970
1/25/2021,11:00,17.47,587,1970
1/25/2021,12:00,16.28,588,1970
1/25/2021,13:00,16.32,589,1970
1/25/2021,14:00,16.28,590,1970
1/25/2021,15:00,15.87,591,1970
1/25/2021,16:00,16.07,592,1970
1/25/2021,17:00,17.26,593,1970
1/25/2021,18:00,27.51,594,1970
1/25/2021,19:00,31.58,595,1970
1/25/2021,20:00,22.21,596,1970
1/25/2021,21:00,19.93,597,1970
1/25/2021,22:00,19.91,598,1970
1/25/2021,23:00,17.48,599,1970
1/25/2021,24:00:00,17.13,600,1970
1/26/2021,1:00,18.21,601,1970
1/26/2021,2:00,17.96,602,1970
1/26/2021,3:00,18.02,603,1970
1/26/2021,4:00,17.65,604,1970
1/26/2021,5:00,18.36,605,1970
1/26/2021,6:00,20.02,606,1970
1/26/2021,7:00,34.38,607,1970
1/26/2021,8:00,33.52,608,1970
1/26/2021,9:00,26.51,609,1970
1/26/2021,10:00,25.56,610,1970
1/26/2021,11:00,24.6,611,1970
1/26/2021,12:00,18.83,612,1970
1/26/2021,13:00,19.0,613,1970
1/26/2021,14:00,17.57,614,1970
1/26/2021,15:00,17.43,615,1970
1/26/2021,16:00,17.2,616,1970
1/26/2021,17:00,18.91,617,1970
1/26/2021,18:00,28.29,618,1970
1/26/2021,19:00,25.77,619,1970
1/26/2021,20:00,20.83,620,1970
1/26/2021,21:00,21.63,621,1970
1/26/2021,22:00,19.82,622,1970
1/26/2021,23:00,19.6,623,1970
