Unnamed: 0,Time_Index,NG,None,coal,uranium,Year
0,0,0.05306,0,0.095487528,0.0,1970
504,504,2.57,0,2.431605472,0.705536,1970
505,505,2.49,0,2.429805616,0.705536,1970
506,506,2.49,0,2.429805616,0.705536,1970
507,507,2.49,0,2.429805616,0.705536,1970
508,508,2.49,0,2.429805616,0.705536,1970
509,509,2.49,0,2.429805616,0.705536,1970
510,510,2.49,0,2.429805616,0.705536,1970
511,511,2.49,0,2.429805616,0.705536,1970
512,512,2.49,0,2.429805616,0.705536,1970
513,513,2.49,0,2.429805616,0.705536,1970
514,514,2.49,0,2.429805616,0.705536,1970
515,515,2.49,0,2.429805616,0.705536,1970
516,516,2.49,0,2.429805616,0.705536,1970
517,517,2.49,0,2.429805616,0.705536,1970
518,518,2.49,0,2.429805616,0.705536,1970
519,519,2.49,0,2.429805616,0.705536,1970
520,520,2.49,0,2.429805616,0.705536,1970
521,521,2.49,0,2.429805616,0.705536,1970
522,522,2.49,0,2.429805616,0.705536,1970
523,523,2.49,0,2.429805616,0.705536,1970
524,524,2.49,0,2.429805616,0.705536,1970
525,525,2.49,0,2.429805616,0.705536,1970
526,526,2.49,0,2.429805616,0.705536,1970
527,527,2.49,0,2.429805616,0.705536,1970
528,528,2.49,0,2.429805616,0.705536,1970
529,529,2.49,0,2.429805616,0.705536,1970
530,530,2.49,0,2.429805616,0.705536,1970
531,531,2.49,0,2.429805616,0.705536,1970
532,532,2.49,0,2.429805616,0.705536,1970
533,533,2.49,0,2.429805616,0.705536,1970
534,534,2.49,0,2.429805616,0.705536,1970
535,535,2.49,0,2.429805616,0.705536,1970
536,536,2.49,0,2.429805616,0.705536,1970
537,537,2.49,0,2.429805616,0.705536,1970
538,538,2.49,0,2.429805616,0.705536,1970
539,539,2.49,0,2.429805616,0.705536,1970
540,540,2.49,0,2.429805616,0.705536,1970
541,541,2.49,0,2.429805616,0.705536,1970
542,542,2.49,0,2.429805616,0.705536,1970
543,543,2.49,0,2.429805616,0.705536,1970
544,544,2.49,0,2.429805616,0.705536,1970
545,545,2.49,0,2.429805616,0.705536,1970
546,546,2.49,0,2.429805616,0.705536,1970
547,547,2.49,0,2.429805616,0.705536,1970
548,548,2.49,0,2.429805616,0.705536,1970
549,549,2.49,0,2.429805616,0.705536,1970
550,550,2.49,0,2.429805616,0.705536,1970
551,551,2.49,0,2.429805616,0.705536,1970
552,552,2.49,0,2.429805616,0.705536,1970
553,553,2.49,0,2.429805616,0.705536,1970
554,554,2.49,0,2.429805616,0.705536,1970
555,555,2.49,0,2.429805616,0.705536,1970
556,556,2.49,0,2.429805616,0.705536,1970
557,557,2.49,0,2.429805616,0.705536,1970
558,558,2.49,0,2.429805616,0.705536,1970
559,559,2.49,0,2.429805616,0.705536,1970
560,560,2.49,0,2.429805616,0.705536,1970
561,561,2.49,0,2.429805616,0.705536,1970
562,562,2.49,0,2.429805616,0.705536,1970
563,563,2.49,0,2.429805616,0.705536,1970
564,564,2.49,0,2.429805616,0.705536,1970
565,565,2.49,0,2.429805616,0.705536,1970
566,566,2.49,0,2.429805616,0.705536,1970
567,567,2.49,0,2.429805616,0.705536,1970
568,568,2.49,0,2.429805616,0.705536,1970
569,569,2.49,0,2.429805616,0.705536,1970
570,570,2.49,0,2.429805616,0.705536,1970
571,571,2.49,0,2.429805616,0.705536,1970
572,572,2.49,0,2.429805616,0.705536,1970
573,573,2.49,0,2.429805616,0.705536,1970
574,574,2.49,0,2.429805616,0.705536,1970
575,575,2.49,0,2.429805616,0.705536,1970
576,576,2.49,0,2.429805616,0.705536,1970
577,577,2.452,0,2.42800576,0.705536,1970
578,578,2.452,0,2.42800576,0.705536,1970
579,579,2.452,0,2.42800576,0.705536,1970
580,580,2.452,0,2.42800576,0.705536,1970
581,581,2.452,0,2.42800576,0.705536,1970
582,582,2.452,0,2.42800576,0.705536,1970
583,583,2.452,0,2.42800576,0.705536,1970
584,584,2.452,0,2.42800576,0.705536,1970
585,585,2.452,0,2.42800576,0.705536,1970
586,586,2.452,0,2.42800576,0.705536,1970
587,587,2.452,0,2.42800576,0.705536,1970
588,588,2.452,0,2.42800576,0.705536,1970
589,589,2.452,0,2.42800576,0.705536,1970
590,590,2.452,0,2.42800576,0.705536,1970
591,591,2.452,0,2.42800576,0.705536,1970
592,592,2.452,0,2.42800576,0.705536,1970
593,593,2.452,0,2.42800576,0.705536,1970
594,594,2.452,0,2.42800576,0.705536,1970
595,595,2.452,0,2.42800576,0.705536,1970
596,596,2.452,0,2.42800576,0.705536,1970
597,597,2.452,0,2.42800576,0.705536,1970
598,598,2.452,0,2.42800576,0.705536,1970
599,599,2.452,0,2.42800576,0.705536,1970
600,600,2.452,0,2.42800576,0.705536,1970
601,601,2.63,0,2.435205184,0.705536,1970
602,602,2.63,0,2.435205184,0.705536,1970
603,603,2.63,0,2.435205184,0.705536,1970
604,604,2.63,0,2.435205184,0.705536,1970
605,605,2.63,0,2.435205184,0.705536,1970
606,606,2.63,0,2.435205184,0.705536,1970
607,607,2.63,0,2.435205184,0.705536,1970
608,608,2.63,0,2.435205184,0.705536,1970
609,609,2.63,0,2.435205184,0.705536,1970
610,610,2.63,0,2.435205184,0.705536,1970
611,611,2.63,0,2.435205184,0.705536,1970
612,612,2.63,0,2.435205184,0.705536,1970
613,613,2.63,0,2.435205184,0.705536,1970
614,614,2.63,0,2.435205184,0.705536,1970
615,615,2.63,0,2.435205184,0.705536,1970
616,616,2.63,0,2.435205184,0.705536,1970
617,617,2.63,0,2.435205184,0.705536,1970
618,618,2.63,0,2.435205184,0.705536,1970
619,619,2.63,0,2.435205184,0.705536,1970
620,620,2.63,0,2.435205184,0.705536,1970
621,621,2.63,0,2.435205184,0.705536,1970
622,622,2.63,0,2.435205184,0.705536,1970
623,623,2.63,0,2.435205184,0.705536,1970
624,624,2.63,0,2.435205184,0.705536,1970
625,625,2.73,0,2.43700504,0.705536,1970
626,626,2.73,0,2.43700504,0.705536,1970
627,627,2.73,0,2.43700504,0.705536,1970
628,628,2.73,0,2.43700504,0.705536,1970
