region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,339110.55411157524,0.0,0.0,0.0,0.0,3.899119710935214e6,0.0,0.0,0.0,0.0,0.0,3.899119710935214e6,1.1297896174111577e7,-7.398776463176362e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,854681.2289298113,0.0,0.0,0.0,0.0,0.0,854681.2289298113,2.264505984e7,-2.179037861107019e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,2.673609018346859e6,3.506476311796759e7,0.0,534275.5939462155,0.0,1.456279415190646e8,0.0,0.0,0.0,0.0,0.0,1.456279415190646e8,2.6112515003240067e8,-1.1549720851333606e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,2.9451468940715855e6,3.86469498916744e7,0.0,535952.4643680333,0.0,1.4927393774138647e8,0.0,0.0,0.0,0.0,0.0,1.4927393774138647e8,2.6498055155225402e8,-1.1570661381086755e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,389855.4116833992,5.792399678015069e6,0.0,112200.10815597393,0.0,1.6734762115639696e7,0.0,0.0,0.0,0.0,0.0,1.6734762115639696e7,5.981382001433443e7,-4.307905789869474e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,6.75844494336e6,8.663048450018792e7,0.0,0.0,0.0,2.000990271015877e8,0.0,0.0,0.0,0.0,0.0,2.000990271015877e8,2.989860789859479e8,-9.88870518843602e7
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,3.2998268304587635e6,4.227075497960991e7,0.0,450073.20465662814,0.0,1.3003887358025931e8,0.0,0.0,0.0,0.0,0.0,1.3003887358025931e8,2.104399663675253e8,-8.0401092787266e7
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,838948.276552141,9.583243593418475e6,0.0,0.0,0.0,2.9338037185425233e7,0.0,0.0,0.0,0.0,0.0,2.9338037185425233e7,5.192213298885061e7,-2.2584095803425375e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,148976.3529686297,2.40557543942228e6,0.0,108236.13592000002,0.0,2.9066660137469657e6,0.0,0.0,0.0,0.0,0.0,2.9066660137469657e6,1.589241472831091e7,-1.2985748714563943e7
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,1.086329015819718e6,2.4572990972750317e7,0.0,775351.6996850368,0.0,2.8582715303124208e7,0.0,0.0,0.0,0.0,0.0,2.8582715303124208e7,4.778414864825507e7,-1.9201433345130865e7
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.3671796630308714e7,1.1720268825412542e8,0.0,786529.2878427913,0.0,2.381925777254657e8,0.0,0.0,0.0,0.0,0.0,2.381925777254657e8,1.784064036122769e8,5.978617411318877e7
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,865982.4684988803,1.1951909328061156e7,0.0,352882.615756,0.0,1.7063954662899043e7,0.0,0.0,0.0,0.0,0.0,1.7063954662899043e7,2.582372517231604e7,-8.759770509416997e6
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,56907.09850182501,1.123838906369172e6,0.0,242225.72388000003,0.0,1.330091790292649e6,0.0,0.0,0.0,0.0,0.0,1.330091790292649e6,1.3363557968750998e7,-1.203346617845835e7
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,8.611819824648388e6,8.807314637213765e7,0.0,2.3331036483401945e6,0.0,1.7223780827615422e8,0.0,0.0,0.0,0.0,0.0,1.7223780827615422e8,1.5011747394512624e8,2.2120334331027985e7
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,285211.0168322925,5.934373602791074e6,0.0,353837.79600000003,0.0,6.883607383277427e6,0.0,0.0,0.0,0.0,0.0,6.883607383277427e6,2.408784481562337e7,-1.720423743234594e7
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,1.519344486665076e6,1.6714248149695983e7,0.0,465590.4328299438,0.0,2.478526519110701e7,0.0,0.0,0.0,0.0,0.0,2.478526519110701e7,3.618603592919101e7,-1.1400770738084e7
