Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,65195.76463957444,69.0,0.855857023728923
conventional_hydroelectric,1,21084.006278399986,468.0,0.04080733285024152
conventional_steam_coal,1,1.3835834661644497e6,3361.0,0.3728788733308242
conventional_steam_coal_5,1,1.5241033823945525e6,3361.0,0.41074930856352937
conventional_steam_coal_1,1,201748.83391641354,698.0,0.2618101847883362
conventional_steam_coal_2,1,3.497472e6,3520.0,0.9
conventional_steam_coal_3,1,1.7076490288963679e6,2815.0,0.5494790552991119
conventional_steam_coal_4,1,434152.84599930706,652.0,0.6031509041290275
natural_gas_fired_combined_cycle,1,31833.23425043905,780.0,0.03696724527410704
natural_gas_fired_combined_cycle_1,1,292476.7962812629,2121.0,0.12490553244353518
natural_gas_fired_combined_cycle_2,1,3.680913627096987e6,4644.0,0.7179502355963802
natural_gas_fired_combined_cycle_3,1,185042.94290452366,746.0,0.2246801090168382
natural_gas_fired_combined_cycle_4,1,12159.896258857028,704.0,0.01564545281988151
natural_gas_fired_combined_cycle_5,1,2.3535221104113525e6,4029.0,0.5291172761994004
natural_gas_fired_combined_cycle_6,1,76788.52654440544,1740.0,0.0399740372232662
natural_gas_fired_combined_cycle_7,1,324653.1948684964,1031.0,0.28522785925133926
natural_gas_fired_combined_cycle_8,1,6.585572826002806e6,8056.0,0.7404658362930058
natural_gas_fired_combined_cycle_9,1,80204.08133221298,532.0,0.13655756465248206
natural_gas_fired_combined_cycle_10,1,24031.202198574734,237.0,0.09184554133253355
natural_gas_fired_combined_cycle_11,1,133070.63496052494,1188.0,0.10146043386806237
natural_gas_fired_combined_cycle_12,1,207542.17177614445,1026.0,0.18322719066600315
natural_gas_fired_combined_cycle_13,1,3.6678028492644993e6,7481.0,0.4440964028273195
natural_gas_fired_combined_cycle_14,1,198322.63026632275,824.0,0.21800978597940715
natural_gas_fired_combustion_turbine,1,1522.422997731006,741.0,0.0018610072044864534
natural_gas_fired_combustion_turbine_1,1,169298.07504604332,1073.0,0.1429167806688238
natural_gas_fired_combustion_turbine_2,1,56.49267155461166,81.0,0.0006317394832999157
natural_gas_fired_combustion_turbine_3,1,850.5,180.0,0.004279891304347826
natural_gas_fired_combustion_turbine_4,1,4524.111,91.0,0.0450321607740086
natural_gas_fired_combustion_turbine_5,1,31.50239599701034,13.0,0.002194982998676863
natural_gas_fired_combustion_turbine_6,1,7847.006335887995,354.0,0.020078518627405215
natural_gas_fired_combustion_turbine_7,1,43063.789503,557.0,0.07003062066290687
natural_gas_fired_combustion_turbine_8,1,9773.712270270018,1539.0,0.005752436806244184
natural_gas_fired_combustion_turbine_9,1,2213.6957119506696,846.0,0.0023701644909877146
natural_gas_fired_combustion_turbine_10,1,24870.472113952623,336.0,0.0670464331919444
natural_gas_fired_combustion_turbine_11,1,655.2,208.0,0.002853260869565218
natural_gas_fired_combustion_turbine_12,1,4027.887,547.0,0.006669923893172244
natural_gas_fired_combustion_turbine_13,1,0.0,41.0,0.0
natural_gas_fired_combustion_turbine_14,1,22368.667687826444,276.0,0.07341113896708426
natural_gas_fired_combustion_turbine_15,1,75.51350442401235,84.0,0.0008142846836612788
natural_gas_steam_turbine,1,36181.20288815032,825.0,0.03972464085216329
natural_gas_steam_turbine_1,1,15451.396832699244,521.0,0.026863398204225508
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,77505.83484708899,1326.0,0.052944615799320846
natural_gas_steam_turbine_4,1,0.0,167.0,0.0
natural_gas_steam_turbine_5,1,2140.236,171.0,0.01133695652173913
natural_gas_steam_turbine_6,1,250488.68244217322,2160.0,0.1050425567138743
natural_gas_steam_turbine_7,1,26882.462794530893,1265.0,0.019249056821426143
natural_gas_steam_turbine_8,1,34586.71777509719,844.0,0.03711913354185683
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,6066.150705698998,248.0,0.022156055347486405
natural_gas_steam_turbine_11,1,11666.578547052475,392.0,0.026958043448342937
natural_gas_steam_turbine_12,1,0.0,61.0,0.0
natural_gas_steam_turbine_13,1,135588.898569905,1461.0,0.08406299200090332
natural_gas_steam_turbine_14,1,28134.59626292918,430.0,0.05926566452420201
natural_gas_steam_turbine_15,1,10284.675177231024,169.0,0.05512324831291819
natural_gas_steam_turbine_16,1,4641.577141676003,169.0,0.02487767527268246
natural_gas_steam_turbine_17,1,1480.8833453854224,122.0,0.010994916736349359
nuclear,1,2.74239e6,2520.0,0.985733695652174
nuclear_1,1,2.677095e6,2460.0,0.985733695652174
onshore_wind_turbine,1,1.1168515970376566e7,34182.0,0.29595721120639623
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,1.166899342383612e6,9323.0,0.11337273860497064
Battery,1,67830.00939037507,726.0,0.0
