Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,65195.76463957444,21084.006278399986,1.3835834661644497e6,1.5241033823945525e6,201748.83391641354,3.497472e6,1.7076490288963679e6,434152.84599930706,31833.23425043905,292476.7962812629,3.680913627096987e6,185042.94290452366,12159.896258857028,2.3535221104113525e6,76788.52654440544,324653.1948684964,6.585572826002806e6,80204.08133221298,24031.202198574734,133070.63496052494,207542.17177614445,3.6678028492644993e6,198322.63026632275,1522.422997731006,169298.07504604332,56.49267155461166,850.5,4524.111,31.50239599701034,7847.006335887995,43063.789503,9773.712270270018,2213.6957119506696,24870.472113952623,655.2,4027.887,0.0,22368.667687826444,75.51350442401235,36181.20288815032,15451.396832699244,0.0,77505.83484708899,0.0,2140.236,250488.68244217322,26882.462794530893,34586.71777509719,0.0,6066.150705698998,11666.578547052475,0.0,135588.898569905,28134.59626292918,10284.675177231024,4641.577141676003,1480.8833453854224,2.74239e6,2.677095e6,1.1168515970376566e7,0.0,1.166899342383612e6,67830.00939037507,4.5443935316425286e7
t1,61.7364,7.252388,0.0,0.0,0.0,3168.0,1032.3030111204152,388.164,0.0,0.0,4179.600007463577,0.0,0.0,2767.1172,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,5125.165776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,7182.246229416,0.0,0.0,0.0,35510.82401199999
t2,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3385.7081059484153,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8152.175724588,0.0,0.0,0.0,34111.93786199999
t3,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4078.9278719485374,0.0,0.0,1885.572,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,8838.529433568,0.0,0.0,0.0,33197.48332951654
t4,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3270.5184367972033,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2717.643636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6955.762074174,0.0,0.0,0.0,32800.334542434786
t5,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,2922.0524459724184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6431.586060564,0.0,0.0,0.0,32836.14890199999
t6,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,72.0876,0.0,0.0,4179.600007463577,0.0,0.0,3626.1000000000004,0.0,0.0,6619.239,0.0,0.0,0.0,0.0,4148.818754358415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,5889.216062178,0.0,0.0,0.0,33520.54521199999
t7,61.7364,7.252388,0.0,0.0,0.0,3168.0,768.4950000000001,182.9916,0.0,0.0,4179.600007463577,0.0,0.0,3626.1000000000004,0.0,302.5985,6619.239,0.0,0.0,0.0,0.0,5288.569939240964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6120.405574812,0.0,0.0,0.0,35304.98840951654
t8,61.7364,7.252388,0.0,0.0,0.0,3168.0,862.6861760953998,499.068,0.0,0.0,4179.600007463577,0.0,0.0,3626.1000000000004,0.0,927.9,6619.239,170.30400000000003,0.0,0.0,0.0,6732.900007651023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,2460.0,6403.667672789999,0.0,0.0,0.0,38238.453652
