Delivery Date,Hour Ending,Price,Time_Index,Year
3/22/2021,1:00,8.03,1920,1970
3/22/2021,2:00,4.47,1921,1970
3/22/2021,3:00,4.28,1922,1970
3/22/2021,4:00,4.71,1923,1970
3/22/2021,5:00,8.13,1924,1970
3/22/2021,6:00,15.09,1925,1970
3/22/2021,7:00,16.01,1926,1970
3/22/2021,8:00,17.91,1927,1970
3/22/2021,9:00,18.64,1928,1970
3/22/2021,10:00,18.94,1929,1970
3/22/2021,11:00,15.05,1930,1970
3/22/2021,12:00,14.86,1931,1970
3/22/2021,13:00,13.69,1932,1970
3/22/2021,14:00,16.15,1933,1970
3/22/2021,15:00,14.74,1934,1970
3/22/2021,16:00,16.4,1935,1970
3/22/2021,17:00,16.36,1936,1970
3/22/2021,18:00,19.27,1937,1970
3/22/2021,19:00,21.79,1938,1970
3/22/2021,20:00,38.96,1939,1970
3/22/2021,21:00,29.02,1940,1970
3/22/2021,22:00,23.6,1941,1970
3/22/2021,23:00,24.96,1942,1970
3/22/2021,24:00:00,21.43,1943,1970
3/23/2021,1:00,16.24,1944,1970
3/23/2021,2:00,16.01,1945,1970
3/23/2021,3:00,16.5,1946,1970
3/23/2021,4:00,17.08,1947,1970
3/23/2021,5:00,18.14,1948,1970
3/23/2021,6:00,24.86,1949,1970
3/23/2021,7:00,26.84,1950,1970
3/23/2021,8:00,27.08,1951,1970
3/23/2021,9:00,26.93,1952,1970
3/23/2021,10:00,25.07,1953,1970
3/23/2021,11:00,25.23,1954,1970
3/23/2021,12:00,29.01,1955,1970
3/23/2021,13:00,32.36,1956,1970
3/23/2021,14:00,35.61,1957,1970
3/23/2021,15:00,40.48,1958,1970
3/23/2021,16:00,47.24,1959,1970
3/23/2021,17:00,51.99,1960,1970
3/23/2021,18:00,49.08,1961,1970
3/23/2021,19:00,62.27,1962,1970
3/23/2021,20:00,81.62,1963,1970
3/23/2021,21:00,37.59,1964,1970
3/23/2021,22:00,22.25,1965,1970
3/23/2021,23:00,18.27,1966,1970
3/23/2021,24:00:00,16.62,1967,1970
3/24/2021,1:00,14.54,1968,1970
3/24/2021,2:00,8.68,1969,1970
3/24/2021,3:00,6.29,1970,1970
3/24/2021,4:00,8.98,1971,1970
3/24/2021,5:00,12.35,1972,1970
3/24/2021,6:00,15.36,1973,1970
3/24/2021,7:00,20.44,1974,1970
3/24/2021,8:00,22.38,1975,1970
3/24/2021,9:00,22.37,1976,1970
3/24/2021,10:00,20.76,1977,1970
3/24/2021,11:00,21.0,1978,1970
3/24/2021,12:00,22.15,1979,1970
3/24/2021,13:00,24.38,1980,1970
3/24/2021,14:00,26.91,1981,1970
3/24/2021,15:00,29.92,1982,1970
3/24/2021,16:00,36.11,1983,1970
3/24/2021,17:00,38.01,1984,1970
3/24/2021,18:00,35.79,1985,1970
3/24/2021,19:00,40.53,1986,1970
3/24/2021,20:00,56.44,1987,1970
3/24/2021,21:00,30.88,1988,1970
3/24/2021,22:00,23.78,1989,1970
3/24/2021,23:00,18.24,1990,1970
3/24/2021,24:00:00,17.24,1991,1970
3/25/2021,1:00,17.44,1992,1970
3/25/2021,2:00,17.21,1993,1970
3/25/2021,3:00,17.84,1994,1970
3/25/2021,4:00,17.85,1995,1970
3/25/2021,5:00,17.86,1996,1970
3/25/2021,6:00,18.62,1997,1970
3/25/2021,7:00,28.28,1998,1970
3/25/2021,8:00,27.4,1999,1970
3/25/2021,9:00,26.82,2000,1970
3/25/2021,10:00,23.94,2001,1970
3/25/2021,11:00,22.45,2002,1970
3/25/2021,12:00,23.6,2003,1970
3/25/2021,13:00,23.48,2004,1970
3/25/2021,14:00,20.85,2005,1970
3/25/2021,15:00,23.35,2006,1970
3/25/2021,16:00,26.68,2007,1970
3/25/2021,17:00,30.58,2008,1970
3/25/2021,18:00,30.55,2009,1970
3/25/2021,19:00,50.77,2010,1970
3/25/2021,20:00,99.0,2011,1970
3/25/2021,21:00,41.26,2012,1970
3/25/2021,22:00,28.92,2013,1970
3/25/2021,23:00,20.83,2014,1970
3/25/2021,24:00:00,18.05,2015,1970
3/26/2021,1:00,14.29,2016,1970
3/26/2021,2:00,6.65,2017,1970
3/26/2021,3:00,4.9,2018,1970
3/26/2021,4:00,7.34,2019,1970
3/26/2021,5:00,10.67,2020,1970
3/26/2021,6:00,14.79,2021,1970
3/26/2021,7:00,17.45,2022,1970
3/26/2021,8:00,17.17,2023,1970
3/26/2021,9:00,16.22,2024,1970
3/26/2021,10:00,16.92,2025,1970
