Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,0.0
TX,conventional_hydroelectric,1,1,0.0
TX,conventional_steam_coal,1,1,0.0
TX,conventional_steam_coal_5,1,1,0.0
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,0.0
TX,conventional_steam_coal_3,1,3,0.0
TX,conventional_steam_coal_4,1,4,0.0
TX,natural_gas_fired_combined_cycle,1,1,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,0.0
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,0.0
TX,natural_gas_fired_combined_cycle_8,1,9,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,0.0
TX,natural_gas_fired_combined_cycle_10,1,11,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,0.0
TX,natural_gas_fired_combined_cycle_12,1,13,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine,1,1,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,0.0
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,0.0
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine,1,1,0.0
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,0.0
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,0.0
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,0.0
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,0.0
TX,natural_gas_steam_turbine_14,1,15,0.0
TX,natural_gas_steam_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,0.0
TX,nuclear_1,1,2,0.0
TX,onshore_wind_turbine,1,1,0.0
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,0.0
TX,Battery,1,1,877461.9594285386
