Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.1668124404600207e6
TX,conventional_hydroelectric,1,1,3.8985232129706726e6
TX,conventional_steam_coal,1,1,1.517235502368578e7
TX,conventional_steam_coal_5,1,1,5.30395606189941e6
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,1.1127229203841086e8
TX,conventional_steam_coal_3,1,3,4.101912835252954e7
TX,conventional_steam_coal_4,1,4,1.0913299313341115e7
TX,natural_gas_fired_combined_cycle,1,1,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,1.8754751836534385e7
TX,natural_gas_fired_combined_cycle_2,1,3,1.1639389563215986e8
TX,natural_gas_fired_combined_cycle_3,1,4,8.176544056928622e6
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,1.0093823838082588e8
TX,natural_gas_fired_combined_cycle_6,1,7,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,1.776546888129977e7
TX,natural_gas_fired_combined_cycle_8,1,9,2.2614418255857337e8
TX,natural_gas_fired_combined_cycle_9,1,10,3.7246416201003776e6
TX,natural_gas_fired_combined_cycle_10,1,11,84479.92599956231
TX,natural_gas_fired_combined_cycle_11,1,12,528622.092446901
TX,natural_gas_fired_combined_cycle_12,1,13,1.2259722212761791e7
TX,natural_gas_fired_combined_cycle_13,1,14,1.7221727179545632e8
TX,natural_gas_fired_combined_cycle_14,1,15,9.323836886878967e6
TX,natural_gas_fired_combustion_turbine,1,1,2792.4466284
TX,natural_gas_fired_combustion_turbine_1,1,2,38205.588878612456
TX,natural_gas_fired_combustion_turbine_2,1,3,2360.8843480877613
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,4831.66517268354
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,3835.2533424463672
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,4856.279097600001
TX,natural_gas_steam_turbine,1,1,8.292831520672112e6
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,0.0
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,2.702303501763227e7
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,1.8380089845228402e6
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,1.9190028069592122e7
TX,natural_gas_steam_turbine_14,1,15,0.0
TX,natural_gas_steam_turbine_15,1,16,1.556791643348798e6
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,7.285252675631498e7
TX,nuclear_1,1,2,7.11179427859265e7
TX,onshore_wind_turbine,1,1,3.47367913741056e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,6.383930732864761e7
TX,Battery,1,1,9.872702030183788e6
