Delivery Date,Hour Ending,Price,Time_Index,Year
4/22/2021,1:00,18.75,2664,1970
4/22/2021,2:00,18.0,2665,1970
4/22/2021,3:00,16.28,2666,1970
4/22/2021,4:00,17.1,2667,1970
4/22/2021,5:00,17.4,2668,1970
4/22/2021,6:00,23.9,2669,1970
4/22/2021,7:00,37.92,2670,1970
4/22/2021,8:00,34.9,2671,1970
4/22/2021,9:00,25.41,2672,1970
4/22/2021,10:00,26.45,2673,1970
4/22/2021,11:00,19.84,2674,1970
4/22/2021,12:00,19.64,2675,1970
4/22/2021,13:00,18.8,2676,1970
4/22/2021,14:00,19.39,2677,1970
4/22/2021,15:00,18.19,2678,1970
4/22/2021,16:00,18.03,2679,1970
4/22/2021,17:00,18.02,2680,1970
4/22/2021,18:00,16.97,2681,1970
4/22/2021,19:00,18.23,2682,1970
4/22/2021,20:00,26.84,2683,1970
4/22/2021,21:00,27.44,2684,1970
4/22/2021,22:00,19.28,2685,1970
4/22/2021,23:00,17.84,2686,1970
4/22/2021,24:00:00,18.41,2687,1970
4/23/2021,1:00,15.53,2688,1970
4/23/2021,2:00,12.54,2689,1970
4/23/2021,3:00,11.97,2690,1970
4/23/2021,4:00,11.99,2691,1970
4/23/2021,5:00,12.2,2692,1970
4/23/2021,6:00,17.44,2693,1970
4/23/2021,7:00,23.41,2694,1970
4/23/2021,8:00,23.08,2695,1970
4/23/2021,9:00,21.01,2696,1970
4/23/2021,10:00,20.62,2697,1970
4/23/2021,11:00,20.89,2698,1970
4/23/2021,12:00,23.0,2699,1970
4/23/2021,13:00,22.2,2700,1970
4/23/2021,14:00,25.46,2701,1970
4/23/2021,15:00,27.5,2702,1970
4/23/2021,16:00,23.94,2703,1970
4/23/2021,17:00,25.27,2704,1970
4/23/2021,18:00,18.62,2705,1970
4/23/2021,19:00,20.69,2706,1970
4/23/2021,20:00,33.02,2707,1970
4/23/2021,21:00,32.78,2708,1970
4/23/2021,22:00,22.67,2709,1970
4/23/2021,23:00,21.4,2710,1970
4/23/2021,24:00:00,20.25,2711,1970
4/24/2021,1:00,18.72,2712,1970
4/24/2021,2:00,16.83,2713,1970
4/24/2021,3:00,17.42,2714,1970
4/24/2021,4:00,16.66,2715,1970
