Resource,Zone,AnnualSum,Capacity,CapacityFactor
biomass,1,66184.87845338989,69.0,0.8326398758729605
conventional_hydroelectric,1,79598.74825760027,468.0,0.14764131547067952
conventional_steam_coal,1,182563.01748530607,3361.0,0.047151098353795294
conventional_steam_coal_5,1,29677.62999999999,3361.0,0.0076649305555555524
conventional_steam_coal_1,1,0.0,698.0,0.0
conventional_steam_coal_2,1,3.649536e6,3520.0,0.8999999999999999
conventional_steam_coal_3,1,342340.0659594869,2815.0,0.10556667713868133
conventional_steam_coal_4,1,278355.6444969115,652.0,0.3705953429843424
natural_gas_fired_combined_cycle,1,20620.6169,780.0,0.022948514178240745
natural_gas_fired_combined_cycle_1,1,298343.751472637,2121.0,0.1221022870962322
natural_gas_fired_combined_cycle_2,1,3.6248952981570913e6,4644.0,0.6775647075522125
natural_gas_fired_combined_cycle_3,1,298292.46978785726,746.0,0.3470970986323555
natural_gas_fired_combined_cycle_4,1,6951.466678087422,704.0,0.008571391007348168
natural_gas_fired_combined_cycle_5,1,3.354916845199041e6,4029.0,0.7228230841156479
natural_gas_fired_combined_cycle_6,1,26952.020562045236,1740.0,0.013445891484098239
natural_gas_fired_combined_cycle_7,1,625659.9234605148,1031.0,0.5267774708519529
natural_gas_fired_combined_cycle_8,1,7.102720704140628e6,8056.0,0.7653371607235278
natural_gas_fired_combined_cycle_9,1,123806.91636154211,532.0,0.20201368715007265
natural_gas_fired_combined_cycle_10,1,16720.05384288999,237.0,0.061240234715226466
natural_gas_fired_combined_cycle_11,1,169691.48408175548,1188.0,0.1239912756629924
natural_gas_fired_combined_cycle_12,1,352663.1950941598,1026.0,0.29837353386107035
natural_gas_fired_combined_cycle_13,1,5.226313108441765e6,7481.0,0.6064336490917924
natural_gas_fired_combined_cycle_14,1,294353.36457343184,824.0,0.3100911085126667
natural_gas_fired_combustion_turbine,1,0.0,741.0,0.0
natural_gas_fired_combustion_turbine_1,1,235443.44522722342,1073.0,0.19047343024103583
natural_gas_fired_combustion_turbine_2,1,0.0,81.0,0.0
natural_gas_fired_combustion_turbine_3,1,0.0,180.0,0.0
natural_gas_fired_combustion_turbine_4,1,1845.5219999999997,91.0,0.017604567307692304
natural_gas_fired_combustion_turbine_5,1,0.0,13.0,0.0
natural_gas_fired_combustion_turbine_6,1,388.8522,354.0,0.0009535178319209039
natural_gas_fired_combustion_turbine_7,1,27783.220269000005,557.0,0.04329870503721575
natural_gas_fired_combustion_turbine_8,1,6543.297555959933,1539.0,0.00369067303125673
natural_gas_fired_combustion_turbine_9,1,0.0,846.0,0.0
natural_gas_fired_combustion_turbine_10,1,10712.188711440986,336.0,0.027674925366445998
natural_gas_fired_combustion_turbine_11,1,0.0,208.0,0.0
natural_gas_fired_combustion_turbine_12,1,0.0,547.0,0.0
natural_gas_fired_combustion_turbine_13,1,139.55213025540922,41.0,0.002954609803849281
natural_gas_fired_combustion_turbine_14,1,11652.956360212995,276.0,0.036650048938874406
natural_gas_fired_combustion_turbine_15,1,0.0,84.0,0.0
natural_gas_steam_turbine,1,82272.61151586924,825.0,0.08656629999565366
natural_gas_steam_turbine_1,1,10588.368099238784,521.0,0.01764163484224845
natural_gas_steam_turbine_2,1,0.0,18.0,0.0
natural_gas_steam_turbine_3,1,155714.7318390026,1326.0,0.10193743443038444
natural_gas_steam_turbine_4,1,925.0164239139281,167.0,0.004808177519512683
natural_gas_steam_turbine_5,1,0.0,171.0,0.0
natural_gas_steam_turbine_6,1,685140.1418705932,2160.0,0.2753424567059676
natural_gas_steam_turbine_7,1,19076.064051955484,1265.0,0.0130901844888803
natural_gas_steam_turbine_8,1,78108.46262250643,844.0,0.08033469776702626
natural_gas_steam_turbine_9,1,0.0,421.0,0.0
natural_gas_steam_turbine_10,1,4632.328012,248.0,0.01621418574988799
natural_gas_steam_turbine_11,1,21679.397313402984,392.0,0.04800745224233583
natural_gas_steam_turbine_12,1,736.9172284419883,61.0,0.01048664088743722
natural_gas_steam_turbine_13,1,363530.38282612694,1461.0,0.21599217551366012
natural_gas_steam_turbine_14,1,57297.687698172515,430.0,0.11566878169043224
natural_gas_steam_turbine_15,1,21414.862186999195,169.0,0.10999579936616122
natural_gas_steam_turbine_16,1,3160.9679678319962,169.0,0.01623606985449538
natural_gas_steam_turbine_17,1,4270.4217302849365,122.0,0.030384945143762356
nuclear,1,2.877033599999998e6,2520.0,0.9910416666666662
nuclear_1,1,2.808532799999999e6,2460.0,0.9910416666666664
onshore_wind_turbine,1,1.3505614946268333e7,34182.0,0.3429765398543787
small_hydroelectric,1,0.0,16.0,0.0
solar_photovoltaic,1,2.0662071293112398e6,9323.0,0.19238255685156258
Battery,1,110794.69464442896,726.0,0.0
