Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,6.454074563451237e6
TX,conventional_hydroelectric,1,1,4.938697801841609e6
TX,conventional_steam_coal,1,1,2.2440658442515454e8
TX,conventional_steam_coal_5,1,1,2.1256883953615966e8
TX,conventional_steam_coal_1,1,2,2.374489578861037e7
TX,conventional_steam_coal_2,1,3,3.31396865653792e8
TX,conventional_steam_coal_3,1,3,1.9998960936229104e8
TX,conventional_steam_coal_4,1,4,4.520243567158972e7
TX,natural_gas_fired_combined_cycle,1,1,3.5204079986272275e7
TX,natural_gas_fired_combined_cycle_1,1,2,1.7773372731437367e8
TX,natural_gas_fired_combined_cycle_2,1,3,3.6850972404934394e8
TX,natural_gas_fired_combined_cycle_3,1,4,6.5147892657543615e7
TX,natural_gas_fired_combined_cycle_4,1,5,3.61516033611632e7
TX,natural_gas_fired_combined_cycle_5,1,6,3.6997838328014976e8
TX,natural_gas_fired_combined_cycle_6,1,7,8.423586329392293e7
TX,natural_gas_fired_combined_cycle_7,1,8,9.301323290153085e7
TX,natural_gas_fired_combined_cycle_8,1,9,6.879530622676543e8
TX,natural_gas_fired_combined_cycle_9,1,10,2.3879329760906853e7
TX,natural_gas_fired_combined_cycle_10,1,11,1.8174523427528787e7
TX,natural_gas_fired_combined_cycle_11,1,12,9.763938865657029e7
TX,natural_gas_fired_combined_cycle_12,1,13,8.649463736661488e7
TX,natural_gas_fired_combined_cycle_13,1,14,6.251016029511201e8
TX,natural_gas_fired_combined_cycle_14,1,15,7.227725107625821e7
TX,natural_gas_fired_combustion_turbine,1,1,3.3662384681799725e7
TX,natural_gas_fired_combustion_turbine_1,1,2,8.705052614612181e7
TX,natural_gas_fired_combustion_turbine_2,1,3,3.944051523888125e6
TX,natural_gas_fired_combustion_turbine_3,1,4,9.206274546244947e6
TX,natural_gas_fired_combustion_turbine_4,1,5,5.707621078447725e6
TX,natural_gas_fired_combustion_turbine_5,1,6,737463.0072953934
TX,natural_gas_fired_combustion_turbine_6,1,7,1.8250386759912033e7
TX,natural_gas_fired_combustion_turbine_7,1,8,3.967620966600907e7
TX,natural_gas_fired_combustion_turbine_8,1,9,7.891752993317503e7
TX,natural_gas_fired_combustion_turbine_9,1,10,3.8305971337811306e7
TX,natural_gas_fired_combustion_turbine_10,1,11,2.3522703498654705e7
TX,natural_gas_fired_combustion_turbine_11,1,12,1.032968773929095e7
TX,natural_gas_fired_combustion_turbine_12,1,13,2.8336219590839252e7
TX,natural_gas_fired_combustion_turbine_13,1,14,2.008941577709606e6
TX,natural_gas_fired_combustion_turbine_14,1,15,1.74749090146514e7
TX,natural_gas_fired_combustion_turbine_15,1,16,4.257160223662171e6
TX,natural_gas_steam_turbine,1,1,6.0916805542539574e7
TX,natural_gas_steam_turbine_1,1,2,2.47095286927777e7
TX,natural_gas_steam_turbine_2,1,3,879801.5852205561
TX,natural_gas_steam_turbine_3,1,4,1.0150141291070998e8
TX,natural_gas_steam_turbine_4,1,5,1.0128363598227488e7
TX,natural_gas_steam_turbine_5,1,6,8.825129430886313e6
TX,natural_gas_steam_turbine_6,1,7,1.7355075271054468e8
TX,natural_gas_steam_turbine_7,1,8,5.021985952484656e7
TX,natural_gas_steam_turbine_8,1,9,5.25157465099431e7
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,9.220410734720282e6
TX,natural_gas_steam_turbine_11,1,12,2.589885403615746e7
TX,natural_gas_steam_turbine_12,1,13,3.1938487203126526e6
TX,natural_gas_steam_turbine_13,1,14,1.133690887334047e8
TX,natural_gas_steam_turbine_14,1,15,3.380738828500783e7
TX,natural_gas_steam_turbine_15,1,16,1.300450257400515e7
TX,natural_gas_steam_turbine_16,1,17,1.0920667608422466e7
TX,natural_gas_steam_turbine_17,1,18,7.571313599117671e6
TX,nuclear,1,1,2.219624975892623e8
TX,nuclear_1,1,2,2.166776762180895e8
TX,onshore_wind_turbine,1,1,4.7058393163365084e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,4.384973801499748e8
TX,Battery,1,1,4.243370143475201e7
