BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.764028556246244e7,118141.45969094362,-139614.86228294985,0.0,0.0,0.0,5591.464006358918,0.0,0.0,-5.767834580965998e7
t1,40746.7373256,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40807.04912
t2,39610.967661999995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-38946.02809
t3,38161.330731999995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37496.39116
t4,37223.118191999994,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36558.17862
t5,36800.382181999994,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36135.44261
t6,36360.955448226465,0.0,-252.666936226464,0.0,0.0,0.0,0.0,0.0,0.0,-36169.34894
t7,36579.778441999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36640.83887
t8,37269.32575160694,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-37330.25992
t9,39196.42293243478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-39257.42023
t10,41416.95998199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41478.02041
t11,43371.267861999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43432.32829
t12,44233.478165280976,534.415806719014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44828.9544
t13,44742.338021999996,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45529.39845
t14,45174.57724102501,700.9336709750005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45936.57134
t15,45801.914351069005,319.98372093099897,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46182.9585
t16,46054.275465532,390.0935364679972,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46505.42943
t17,46630.079642,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46691.14007
t18,46482.051552,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46543.11198
t19,45584.767801999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45645.82823
t20,44613.948041999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44675.00847
t21,44372.61868199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44433.67911
t22,43834.083572,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43895.144
t23,42247.169312,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42308.22974
t24,40259.463242,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40320.52367
t25,38190.284591999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38251.34502
t26,36456.33328199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36517.39371
t27,35245.679341999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35306.73977
t28,34518.691651999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34579.75208
t29,34159.460832,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34220.52126
t30,34073.016081999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34134.07651
t31,34160.419601999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34221.48003
t32,34730.38551199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34791.44594
t33,36659.177952,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36720.23838
t34,38808.392412,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38869.45284
t35,40856.84016199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40917.90059
t36,42421.695841999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42482.75627
t37,43412.221831999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43473.28226
t38,43901.99630199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43963.05673
t39,44212.946332,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44274.00676
t40,44571.226621999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44632.28705
t41,44897.062112,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44958.12254
t42,45039.443591999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45100.50402
t43,44734.18872199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44795.24915
t44,44213.016401999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44274.07683
t45,44343.33846199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44404.39889
t46,43937.43795199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43998.49838
t47,41908.935192,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41969.99562
t48,39258.979281999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39320.03971
t49,37229.22552243,0.0,-255.59789043000546,0.0,0.0,0.0,0.0,0.0,0.0,-37034.68806
t50,36203.12264200001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-35515.95801
t51,35330.714140000004,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34604.71414
t52,34784.34498200001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34097.18035
t53,35156.75826675663,0.0,-723.0314147566426,0.0,0.0,0.0,0.0,0.0,0.0,-34494.78728
t54,35826.65682243478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-35887.65412
t55,38230.325112000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38291.38554
t56,39717.83519160696,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-39778.76936
