Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.644628734135007e7
TX,conventional_hydroelectric,1,1,6.663532896989119e6
TX,conventional_steam_coal,1,1,6.995045763198876e8
TX,conventional_steam_coal_5,1,1,7.202769308535451e8
TX,conventional_steam_coal_1,1,2,9.366298446101594e7
TX,conventional_steam_coal_2,1,3,8.439403382347689e8
TX,conventional_steam_coal_3,1,3,6.129717176696042e8
TX,conventional_steam_coal_4,1,4,1.2477212522261037e8
TX,natural_gas_fired_combined_cycle,1,1,1.1313421002032286e8
TX,natural_gas_fired_combined_cycle_1,1,2,4.942424591890535e8
TX,natural_gas_fired_combined_cycle_2,1,3,9.711199466364343e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.753750885886768e8
TX,natural_gas_fired_combined_cycle_4,1,5,1.4019769088044733e8
TX,natural_gas_fired_combined_cycle_5,1,6,9.586917922577227e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.7514137717078704e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.440769738891091e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.7606392816366813e9
TX,natural_gas_fired_combined_cycle_9,1,10,6.308570091717392e7
TX,natural_gas_fired_combined_cycle_10,1,11,5.403326162088534e7
TX,natural_gas_fired_combined_cycle_11,1,12,2.7366013626154315e8
TX,natural_gas_fired_combined_cycle_12,1,13,2.3763937392040002e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.631072418524121e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.9428454350629756e8
TX,natural_gas_fired_combustion_turbine,1,1,1.3163222267442493e8
TX,natural_gas_fired_combustion_turbine_1,1,2,2.3908532767682698e8
TX,natural_gas_fired_combustion_turbine_2,1,3,1.575528850604975e7
TX,natural_gas_fired_combustion_turbine_3,1,4,3.5687559333097115e7
TX,natural_gas_fired_combustion_turbine_4,1,5,1.905538485611071e7
TX,natural_gas_fired_combustion_turbine_5,1,6,2.4261137228639927e6
TX,natural_gas_fired_combustion_turbine_6,1,7,7.097475325946683e7
TX,natural_gas_fired_combustion_turbine_7,1,8,1.165550548116201e8
TX,natural_gas_fired_combustion_turbine_8,1,9,3.034960263041909e8
TX,natural_gas_fired_combustion_turbine_9,1,10,1.521244036585011e8
TX,natural_gas_fired_combustion_turbine_10,1,11,7.392901269562574e7
TX,natural_gas_fired_combustion_turbine_11,1,12,4.0738210315683536e7
TX,natural_gas_fired_combustion_turbine_12,1,13,1.0923662188910487e8
TX,natural_gas_fired_combustion_turbine_13,1,14,7.985298892098462e6
TX,natural_gas_fired_combustion_turbine_14,1,15,5.270373811007604e7
TX,natural_gas_fired_combustion_turbine_15,1,16,1.6506083683394974e7
TX,natural_gas_steam_turbine,1,1,1.8069349940505922e8
TX,natural_gas_steam_turbine_1,1,2,7.5705898235275e7
TX,natural_gas_steam_turbine_2,1,3,2.752047661210716e6
TX,natural_gas_steam_turbine_3,1,4,2.943703633265004e8
TX,natural_gas_steam_turbine_4,1,5,3.367846527260864e7
TX,natural_gas_steam_turbine_5,1,6,3.417633800642906e7
TX,natural_gas_steam_turbine_6,1,7,4.8806177127785075e8
TX,natural_gas_steam_turbine_7,1,8,1.7727962712115395e8
TX,natural_gas_steam_turbine_8,1,9,1.5463907985231793e8
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,3.482876795530036e7
TX,natural_gas_steam_turbine_11,1,12,8.18111816101468e7
TX,natural_gas_steam_turbine_12,1,13,1.2217281695995517e7
TX,natural_gas_steam_turbine_13,1,14,3.260544545090243e8
TX,natural_gas_steam_turbine_14,1,15,9.654454269434218e7
TX,natural_gas_steam_turbine_15,1,16,3.761628623141208e7
TX,natural_gas_steam_turbine_16,1,17,3.5127499440282516e7
TX,natural_gas_steam_turbine_17,1,18,2.4812264758091837e7
TX,nuclear,1,1,6.687919301549643e8
TX,nuclear_1,1,2,6.528683127703222e8
TX,onshore_wind_turbine,1,1,9.148299529487698e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,1.348479901098187e9
TX,Battery,1,1,1.2202950163530235e8
