Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,71120.33279999995,32640.61211839988,982690.2440063532,1.4280362739745271e6,35454.271412333364,3.649536e6,1.3872150758443035e6,350482.54398552753,251328.68739171742,1.8173810969911204e6,3.9776996671974477e6,667914.4278332543,73390.2115410859,3.9452003494957723e6,443666.62920642487,972090.844359203,7.540296541963651e6,253750.7642864231,172083.83233530898,929280.0165672938,813451.1393351883,6.377969650974134e6,753923.6972398309,24942.940743136485,824652.9997839198,1868.9496619969536,16731.55678832799,30144.51853203056,317.23941145590334,49585.12760710363,372239.86435441213,102321.61843868764,21500.732428668267,181748.582293523,9939.28,65820.99684245922,1087.4403551699022,173138.51906254282,5065.2000000000035,415850.7180925381,172205.25296028302,703.185,758367.4956283587,27469.94749505163,21273.946180149607,1.4137628895458807e6,207149.72321540996,368327.16229202965,0.0,56791.96172842636,117909.89907260187,8229.519984577142,860182.7290256274,271291.07110630977,98560.60471829466,48483.06544806281,23988.94683170602,2.8329588e6,2.7655074000000004e6,9.332339887132648e6,0.0,2.694379875023646e6,121146.92365515497,6.1424589481299475e7
t1,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1000000000004,480.32280000000003,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,5646.662661279994,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,10701.401809320001,0.0,0.0,0.0,46432.1916428
t2,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1000000000004,480.32280000000003,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,4213.498539881995,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,9781.929560718,0.0,0.0,0.0,44079.55527279999
t3,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1000000000004,480.32280000000003,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,4968.453996327995,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,7503.307774272,0.0,0.0,0.0,42555.88894279999
t4,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1000000000004,480.32280000000003,605.197,6619.239,167.90910000000002,108.546,540.54,235.98,5444.40827011199,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,6058.099240488,0.0,0.0,0.0,41586.63468279999
t5,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,343.768161,0.0,3626.1000000000004,480.32280000000003,615.6846059084601,6619.239,167.90910000000002,108.546,540.54,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,4629.714300918,0.0,0.0,0.0,40845.14807902646
t6,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,529.1424146667796,0.0,3626.1000000000004,480.32280000000003,927.9,6619.239,239.49000000000004,108.546,540.54,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,4417.802137368,0.0,0.0,0.0,41202.40646323478
t7,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1368.045,3582.5166,671.1309000000001,0.0,3626.1000000000004,480.32280000000003,927.9,6619.239,239.49000000000004,108.546,540.54,859.4762985159996,6120.819,741.6,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,308.88,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,4386.096213084,0.0,0.0,0.0,42237.769322800006
t8,61.7364,49.4566072,416.764,833.528,0.0,3168.0,0.0,72.0876,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,480.32280000000003,927.9,6619.239,239.49000000000004,108.546,540.54,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,194.533647,0.0,0.0,149.856,0.0,0.0,0.0,126.59075000000001,0.0,119.62499999999999,90.688626,0.0,245.31,20.04,0.0,1122.452197926992,0.0,113.23693500000002,0.0,16.698734,56.056,0.0,156.327,98.04,30.081999999999997,30.081999999999997,15.006,2520.0,2460.0,3423.270933882,0.0,83.320741791,0.0,43393.79115279999
