BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,6.130344255764438e7,121146.92365515494,-143166.00492237924,0.0,0.0,0.0,32041.456574428594,0.0,0.0,-6.134610554507001e7
t1,46432.1916428,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-45755.64825
t2,44079.55527279999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43403.01188
t3,42555.88894279999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-41879.34555
t4,41586.63468279999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-40910.09129
t5,40845.14807902646,0.0,-252.666936226464,0.0,0.0,0.0,0.0,0.0,0.0,-40641.93775
t6,41202.40646323478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-41251.79994
t7,42237.769322800006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42287.22593
t8,43393.79115279999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43443.24776
t9,45136.813302799994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45186.26991
t10,47154.0864528,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47203.54306
t11,49674.8906628,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49724.34727
t12,52390.95333279998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52440.40994
t13,55021.33784279999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55070.79445
t14,57176.41483458246,493.1654382175325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57719.03688
t15,59110.6252728,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59886.08188
t16,60877.7707828,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61653.22739
t17,62245.37536279999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63020.83197
t18,63061.17042279999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63110.62703
t19,61733.12111279999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61782.57772
t20,59549.707542799995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59599.16415
t21,57392.75561279999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57442.21222
t22,55956.45757279998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56005.91418
t23,53026.6736828,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53076.13029
t24,49405.6515828,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49455.10819
t25,46301.70196279998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46351.15857
t26,44312.86681048795,0.0,-252.6290676879531,0.0,0.0,0.0,0.0,0.0,0.0,-44109.69435
t27,43257.6094128,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42581.06602
t28,42417.6650428,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-41741.12165
t29,42390.92147279999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-41714.37808
t30,43391.8535328,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42715.31014
