Delivery Date,Hour Ending,Price,Time_Index,Year
7/22/2021,1:00,23.36,4848,1970
7/22/2021,2:00,21.0,4849,1970
7/22/2021,3:00,20.12,4850,1970
7/22/2021,4:00,19.8,4851,1970
7/22/2021,5:00,20.46,4852,1970
7/22/2021,6:00,20.91,4853,1970
7/22/2021,7:00,25.56,4854,1970
7/22/2021,8:00,25.28,4855,1970
7/22/2021,9:00,25.31,4856,1970
7/22/2021,10:00,26.06,4857,1970
7/22/2021,11:00,28.53,4858,1970
7/22/2021,12:00,33.23,4859,1970
7/22/2021,13:00,41.2,4860,1970
7/22/2021,14:00,51.55,4861,1970
7/22/2021,15:00,57.12,4862,1970
7/22/2021,16:00,68.97,4863,1970
7/22/2021,17:00,65.83,4864,1970
7/22/2021,18:00,51.67,4865,1970
7/22/2021,19:00,40.69,4866,1970
7/22/2021,20:00,39.32,4867,1970
7/22/2021,21:00,38.07,4868,1970
7/22/2021,22:00,31.68,4869,1970
7/22/2021,23:00,27.52,4870,1970
7/22/2021,24:00:00,25.12,4871,1970
7/23/2021,1:00,22.27,4872,1970
7/23/2021,2:00,19.92,4873,1970
7/23/2021,3:00,17.64,4874,1970
7/23/2021,4:00,17.16,4875,1970
7/23/2021,5:00,18.53,4876,1970
7/23/2021,6:00,19.85,4877,1970
7/23/2021,7:00,22.42,4878,1970
7/23/2021,8:00,23.36,4879,1970
7/23/2021,9:00,23.65,4880,1970
7/23/2021,10:00,25.18,4881,1970
7/23/2021,11:00,25.23,4882,1970
7/23/2021,12:00,30.57,4883,1970
7/23/2021,13:00,32.47,4884,1970
7/23/2021,14:00,41.21,4885,1970
7/23/2021,15:00,47.08,4886,1970
7/23/2021,16:00,54.19,4887,1970
7/23/2021,17:00,60.69,4888,1970
7/23/2021,18:00,47.32,4889,1970
7/23/2021,19:00,41.18,4890,1970
7/23/2021,20:00,39.82,4891,1970
7/23/2021,21:00,35.31,4892,1970
7/23/2021,22:00,32.29,4893,1970
7/23/2021,23:00,28.57,4894,1970
7/23/2021,24:00:00,26.39,4895,1970
7/24/2021,1:00,21.25,4896,1970
7/24/2021,2:00,16.72,4897,1970
7/24/2021,3:00,12.73,4898,1970
7/24/2021,4:00,10.66,4899,1970
7/24/2021,5:00,12.77,4900,1970
7/24/2021,6:00,14.83,4901,1970
7/24/2021,7:00,21.77,4902,1970
7/24/2021,8:00,23.35,4903,1970
7/24/2021,9:00,25.37,4904,1970
7/24/2021,10:00,26.33,4905,1970
7/24/2021,11:00,27.86,4906,1970
7/24/2021,12:00,30.63,4907,1970
7/24/2021,13:00,35.93,4908,1970
7/24/2021,14:00,42.36,4909,1970
7/24/2021,15:00,47.32,4910,1970
7/24/2021,16:00,59.52,4911,1970
7/24/2021,17:00,75.4,4912,1970
7/24/2021,18:00,61.98,4913,1970
7/24/2021,19:00,45.25,4914,1970
7/24/2021,20:00,45.0,4915,1970
7/24/2021,21:00,38.61,4916,1970
7/24/2021,22:00,32.4,4917,1970
7/24/2021,23:00,28.38,4918,1970
7/24/2021,24:00:00,26.1,4919,1970
7/25/2021,1:00,21.76,4920,1970
7/25/2021,2:00,18.89,4921,1970
7/25/2021,3:00,14.94,4922,1970
7/25/2021,4:00,15.86,4923,1970
7/25/2021,5:00,14.99,4924,1970
7/25/2021,6:00,17.29,4925,1970
7/25/2021,7:00,22.0,4926,1970
7/25/2021,8:00,25.05,4927,1970
7/25/2021,9:00,26.3,4928,1970
7/25/2021,10:00,27.13,4929,1970
7/25/2021,11:00,30.89,4930,1970
7/25/2021,12:00,37.75,4931,1970
7/25/2021,13:00,45.77,4932,1970
7/25/2021,14:00,53.65,4933,1970
7/25/2021,15:00,66.5,4934,1970
7/25/2021,16:00,86.89,4935,1970
7/25/2021,17:00,119.45,4936,1970
7/25/2021,18:00,84.67,4937,1970
7/25/2021,19:00,55.81,4938,1970
7/25/2021,20:00,53.3,4939,1970
7/25/2021,21:00,50.18,4940,1970
7/25/2021,22:00,39.12,4941,1970
7/25/2021,23:00,31.22,4942,1970
7/25/2021,24:00:00,26.65,4943,1970
7/26/2021,1:00,25.2,4944,1970
7/26/2021,2:00,22.45,4945,1970
7/26/2021,3:00,21.42,4946,1970
7/26/2021,4:00,21.1,4947,1970
7/26/2021,5:00,21.25,4948,1970
7/26/2021,6:00,22.61,4949,1970
7/26/2021,7:00,25.98,4950,1970
7/26/2021,8:00,26.05,4951,1970
7/26/2021,9:00,27.82,4952,1970
7/26/2021,10:00,30.55,4953,1970
7/26/2021,11:00,37.15,4954,1970
7/26/2021,12:00,45.5,4955,1970
7/26/2021,13:00,57.38,4956,1970
7/26/2021,14:00,132.13,4957,1970
7/26/2021,15:00,266.76,4958,1970
7/26/2021,16:00,364.41,4959,1970
7/26/2021,17:00,421.62,4960,1970
7/26/2021,18:00,280.26,4961,1970
7/26/2021,19:00,112.74,4962,1970
7/26/2021,20:00,111.27,4963,1970
7/26/2021,21:00,75.11,4964,1970
7/26/2021,22:00,48.63,4965,1970
7/26/2021,23:00,34.93,4966,1970
7/26/2021,24:00:00,28.86,4967,1970
7/27/2021,1:00,25.89,4968,1970
7/27/2021,2:00,24.75,4969,1970
7/27/2021,3:00,22.8,4970,1970
7/27/2021,4:00,22.24,4971,1970
7/27/2021,5:00,21.96,4972,1970
7/27/2021,6:00,23.0,4973,1970
7/27/2021,7:00,24.64,4974,1970
7/27/2021,8:00,25.28,4975,1970
7/27/2021,9:00,24.93,4976,1970
7/27/2021,10:00,28.08,4977,1970
7/27/2021,11:00,35.43,4978,1970
7/27/2021,12:00,42.29,4979,1970
7/27/2021,13:00,55.0,4980,1970
7/27/2021,14:00,109.44,4981,1970
7/27/2021,15:00,236.23,4982,1970
7/27/2021,16:00,358.06,4983,1970
7/27/2021,17:00,427.05,4984,1970
7/27/2021,18:00,270.0,4985,1970
7/27/2021,19:00,93.73,4986,1970
