Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.568076788526064e7
TX,conventional_hydroelectric,1,1,1.1013661604643717e7
TX,conventional_steam_coal,1,1,1.1653867565027528e9
TX,conventional_steam_coal_5,1,1,1.170038242485441e9
TX,conventional_steam_coal_1,1,2,1.5256266099583626e8
TX,conventional_steam_coal_2,1,3,1.3178072038619943e9
TX,conventional_steam_coal_3,1,3,9.890705604699706e8
TX,conventional_steam_coal_4,1,4,1.9752940422518736e8
TX,natural_gas_fired_combined_cycle,1,1,1.8456781274437758e8
TX,natural_gas_fired_combined_cycle_1,1,2,7.795566143370984e8
TX,natural_gas_fired_combined_cycle_2,1,3,1.4838051248097458e9
TX,natural_gas_fired_combined_cycle_3,1,4,2.751205228121271e8
TX,natural_gas_fired_combined_cycle_4,1,5,2.3515362570449793e8
TX,natural_gas_fired_combined_cycle_5,1,6,1.4980102859295332e9
TX,natural_gas_fired_combined_cycle_6,1,7,4.579148029909356e8
TX,natural_gas_fired_combined_cycle_7,1,8,3.822067649772014e8
TX,natural_gas_fired_combined_cycle_8,1,9,2.7496059008894043e9
TX,natural_gas_fired_combined_cycle_9,1,10,9.876082097519408e7
TX,natural_gas_fired_combined_cycle_10,1,11,8.58514737717406e7
TX,natural_gas_fired_combined_cycle_11,1,12,4.349094709947641e8
TX,natural_gas_fired_combined_cycle_12,1,13,3.743237255746483e8
TX,natural_gas_fired_combined_cycle_13,1,14,2.546156113326818e9
TX,natural_gas_fired_combined_cycle_14,1,15,3.045824974244487e8
TX,natural_gas_fired_combustion_turbine,1,1,2.19437276344976e8
TX,natural_gas_fired_combustion_turbine_1,1,2,3.766965718185453e8
TX,natural_gas_fired_combustion_turbine_2,1,3,2.6245721369085718e7
TX,natural_gas_fired_combustion_turbine_3,1,4,5.9830705599381275e7
TX,natural_gas_fired_combustion_turbine_4,1,5,3.2047588158739876e7
TX,natural_gas_fired_combustion_turbine_5,1,6,4.215709311544735e6
TX,natural_gas_fired_combustion_turbine_6,1,7,1.2005048264451978e8
TX,natural_gas_fired_combustion_turbine_7,1,8,1.8515268624760082e8
TX,natural_gas_fired_combustion_turbine_8,1,9,5.086027510384693e8
TX,natural_gas_fired_combustion_turbine_9,1,10,2.5368316449881902e8
TX,natural_gas_fired_combustion_turbine_10,1,11,1.2098692751292436e8
TX,natural_gas_fired_combustion_turbine_11,1,12,6.788012210106798e7
TX,natural_gas_fired_combustion_turbine_12,1,13,1.8215222986719385e8
TX,natural_gas_fired_combustion_turbine_13,1,14,1.3304499048194861e7
TX,natural_gas_fired_combustion_turbine_14,1,15,8.366565500017954e7
TX,natural_gas_fired_combustion_turbine_15,1,16,2.7521801285743725e7
TX,natural_gas_steam_turbine,1,1,2.920276975237364e8
TX,natural_gas_steam_turbine_1,1,2,1.227914870264839e8
TX,natural_gas_steam_turbine_2,1,3,5.224781194469678e6
TX,natural_gas_steam_turbine_3,1,4,4.7199696205503196e8
TX,natural_gas_steam_turbine_4,1,5,5.581700039736019e7
TX,natural_gas_steam_turbine_5,1,6,5.731010866392692e7
TX,natural_gas_steam_turbine_6,1,7,7.757720043320647e8
TX,natural_gas_steam_turbine_7,1,8,2.994601057206615e8
TX,natural_gas_steam_turbine_8,1,9,2.4945223471744466e8
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,5.748324982722374e7
TX,natural_gas_steam_turbine_11,1,12,1.3529614061067104e8
TX,natural_gas_steam_turbine_12,1,13,2.0553806505550902e7
TX,natural_gas_steam_turbine_13,1,14,5.210281335614408e8
TX,natural_gas_steam_turbine_14,1,15,1.5410432384227496e8
TX,natural_gas_steam_turbine_15,1,16,6.024561112617956e7
TX,natural_gas_steam_turbine_16,1,17,5.8234282337740175e7
TX,natural_gas_steam_turbine_17,1,18,4.0967018081112295e7
TX,nuclear,1,1,1.0482557303447706e9
TX,nuclear_1,1,2,1.0232972605746559e9
TX,onshore_wind_turbine,1,1,1.4134609454058921e9
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,2.1314851334571092e9
TX,Battery,1,1,2.015750256849536e8
