Unnamed: 0.1.1.1.1.1,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Year
4847,9000.0,1.0,1.0,1e+16,1.0,1176.0,1.0,4848,44359.40539,1970
4848,,,,,,,,4849,42049.19164,1970
4849,,,,,,,,4850,40351.27684,1970
4850,,,,,,,,4851,39407.57175,1970
4851,,,,,,,,4852,39213.02806,1970
4852,,,,,,,,4853,40141.35062,1970
4853,,,,,,,,4854,41605.27342,1970
4854,,,,,,,,4855,42819.53964,1970
4855,,,,,,,,4856,45309.35321,1970
4856,,,,,,,,4857,48708.89799,1970
4857,,,,,,,,4858,52851.47874,1970
4858,,,,,,,,4859,56814.86484,1970
4859,,,,,,,,4860,60220.4879,1970
4860,,,,,,,,4861,63049.26084,1970
4861,,,,,,,,4862,65049.7869,1970
4862,,,,,,,,4863,65893.60653,1970
4863,,,,,,,,4864,66225.86223,1970
4864,,,,,,,,4865,65211.67977,1970
4865,,,,,,,,4866,63266.98731,1970
4866,,,,,,,,4867,60880.63113,1970
4867,,,,,,,,4868,58841.34371,1970
4868,,,,,,,,4869,57175.13239,1970
4869,,,,,,,,4870,54118.7946,1970
4870,,,,,,,,4871,50549.60292,1970
4871,,,,,,,,4872,47571.48046,1970
4872,,,,,,,,4873,45199.16947,1970
4873,,,,,,,,4874,43624.01783,1970
4874,,,,,,,,4875,42749.24494,1970
4875,,,,,,,,4876,42408.99453,1970
4876,,,,,,,,4877,43192.11536,1970
4877,,,,,,,,4878,44379.39157,1970
4878,,,,,,,,4879,45635.11525,1970
4879,,,,,,,,4880,48397.55001,1970
4880,,,,,,,,4881,52315.13587,1970
4881,,,,,,,,4882,56271.1798,1970
4882,,,,,,,,4883,59705.98247,1970
4883,,,,,,,,4884,62722.44166,1970
4884,,,,,,,,4885,65429.17881,1970
4885,,,,,,,,4886,67440.67174,1970
4886,,,,,,,,4887,68670.341,1970
4887,,,,,,,,4888,69275.04519,1970
4888,,,,,,,,4889,69104.88292,1970
4889,,,,,,,,4890,67772.37511,1970
4890,,,,,,,,4891,65260.97487,1970
4891,,,,,,,,4892,62434.70954,1970
4892,,,,,,,,4893,60323.29601,1970
4893,,,,,,,,4894,57169.90507,1970
4894,,,,,,,,4895,53823.06073,1970
4895,,,,,,,,4896,50521.44947,1970
4896,,,,,,,,4897,47978.03487,1970
4897,,,,,,,,4898,46078.52141,1970
4898,,,,,,,,4899,44670.32505,1970
4899,,,,,,,,4900,43750.19038,1970
4900,,,,,,,,4901,43435.02285,1970
4901,,,,,,,,4902,43295.99311,1970
4902,,,,,,,,4903,43756.20592,1970
4903,,,,,,,,4904,46562.21416,1970
4904,,,,,,,,4905,50628.17226,1970
4905,,,,,,,,4906,54809.66901,1970
4906,,,,,,,,4907,58788.15182,1970
4907,,,,,,,,4908,62284.03167,1970
4908,,,,,,,,4909,65071.3278,1970
4909,,,,,,,,4910,67294.52541,1970
4910,,,,,,,,4911,68735.33206,1970
4911,,,,,,,,4912,69695.50963,1970
4912,,,,,,,,4913,69757.37659,1970
4913,,,,,,,,4914,68746.87727,1970
4914,,,,,,,,4915,66347.10613,1970
4915,,,,,,,,4916,63314.35337,1970
4916,,,,,,,,4917,60708.39681,1970
4917,,,,,,,,4918,57213.42928,1970
4918,,,,,,,,4919,53828.83023,1970
4919,,,,,,,,4920,50382.8319,1970
4920,,,,,,,,4921,47464.45886,1970
4921,,,,,,,,4922,45316.98537,1970
4922,,,,,,,,4923,43602.34096,1970
4923,,,,,,,,4924,42328.28383,1970
4924,,,,,,,,4925,41500.54868,1970
4925,,,,,,,,4926,40867.75775,1970
4926,,,,,,,,4927,41025.34183,1970
4927,,,,,,,,4928,43932.31853,1970
4928,,,,,,,,4929,48144.12287,1970
4929,,,,,,,,4930,52486.54962,1970
4930,,,,,,,,4931,56895.14622,1970
4931,,,,,,,,4932,61059.39079,1970
4932,,,,,,,,4933,64579.81569,1970
4933,,,,,,,,4934,67249.58164,1970
4934,,,,,,,,4935,69084.678,1970
4935,,,,,,,,4936,70213.29152,1970
4936,,,,,,,,4937,70642.20323,1970
4937,,,,,,,,4938,69755.79763,1970
4938,,,,,,,,4939,67390.53481,1970
4939,,,,,,,,4940,64515.12763,1970
4940,,,,,,,,4941,62071.29999,1970
4941,,,,,,,,4942,58206.2705,1970
4942,,,,,,,,4943,54078.01369,1970
4943,,,,,,,,4944,50347.96085,1970
4944,,,,,,,,4945,47482.37871,1970
4945,,,,,,,,4946,45425.42877,1970
4946,,,,,,,,4947,44070.09551,1970
4947,,,,,,,,4948,43585.10786,1970
4948,,,,,,,,4949,44145.04838,1970
4949,,,,,,,,4950,45231.07864,1970
4950,,,,,,,,4951,46215.76447,1970
4951,,,,,,,,4952,48985.95178,1970
4952,,,,,,,,4953,52675.83035,1970
4953,,,,,,,,4954,56913.25756,1970
4954,,,,,,,,4955,61394.20426,1970
4955,,,,,,,,4956,65736.98782,1970
4956,,,,,,,,4957,69377.11198,1970
4957,,,,,,,,4958,71364.03844,1970
4958,,,,,,,,4959,72623.00265,1970
4959,,,,,,,,4960,73098.08775,1970
4960,,,,,,,,4961,73014.53528,1970
4961,,,,,,,,4962,72219.91578,1970
4962,,,,,,,,4963,70044.9748,1970
4963,,,,,,,,4964,67059.37066,1970
4964,,,,,,,,4965,64340.2506,1970
4965,,,,,,,,4966,60069.24153,1970
4966,,,,,,,,4967,55622.63429,1970
4967,,,,,,,,4968,51943.30594,1970
4968,,,,,,,,4969,49048.03349,1970
4969,,,,,,,,4970,46877.68053,1970
4970,,,,,,,,4971,45458.83159,1970
4971,,,,,,,,4972,44916.40848,1970
4972,,,,,,,,4973,45448.55766,1970
4973,,,,,,,,4974,46471.48693,1970
4974,,,,,,,,4975,47336.28685,1970
4975,,,,,,,,4976,49870.8689,1970
4976,,,,,,,,4977,53481.41986,1970
4977,,,,,,,,4978,57822.30763,1970
4978,,,,,,,,4979,62089.19897,1970
4979,,,,,,,,4980,66077.73675,1970
4980,,,,,,,,4981,69427.94803,1970
4981,,,,,,,,4982,71323.90227,1970
4982,,,,,,,,4983,72325.91815,1970
4983,,,,,,,,4984,72374.13208,1970
4984,,,,,,,,4985,72012.24646,1970
4985,,,,,,,,4986,70642.81402,1970
4986,,,,,,,,4987,67916.01213,1970
4987,,,,,,,,4988,65094.20473,1970
4988,,,,,,,,4989,62414.26999,1970
4989,,,,,,,,4990,58182.37614,1970
4990,,,,,,,,4991,53964.92086,1970
4991,,,,,,,,4992,50338.00119,1970
4992,,,,,,,,4993,47528.75818,1970
4993,,,,,,,,4994,45517.56486,1970
4994,,,,,,,,4995,44054.28487,1970
4995,,,,,,,,4996,43613.56213,1970
4996,,,,,,,,4997,44271.89602,1970
4997,,,,,,,,4998,45466.56674,1970
4998,,,,,,,,4999,46419.66168,1970
4999,,,,,,,,5000,49044.4686,1970
5000,,,,,,,,5001,52807.90635,1970
5001,,,,,,,,5002,57222.05781,1970
5002,,,,,,,,5003,61817.00221,1970
5003,,,,,,,,5004,65654.89949,1970
5004,,,,,,,,5005,68727.2085,1970
5005,,,,,,,,5006,70821.17605,1970
5006,,,,,,,,5007,71909.29076,1970
5007,,,,,,,,5008,72036.27959,1970
5008,,,,,,,,5009,70979.47533,1970
5009,,,,,,,,5010,68794.49551,1970
5010,,,,,,,,5011,66236.54518,1970
5011,,,,,,,,5012,63861.68814,1970
5012,,,,,,,,5013,61467.82898,1970
5013,,,,,,,,5014,57768.42241,1970
5014,,,,,,,,5015,53737.71197,1970
5015,,,,,,,,5016,50239.6655,1970
5016,,,,,,,,5017,47529.11842,1970
5017,,,,,,,,5018,45635.23362,1970
5018,,,,,,,,5019,44350.36251,1970
5019,,,,,,,,5020,43892.66094,1970
5020,,,,,,,,5021,44540.26826,1970
5021,,,,,,,,5022,45761.45643,1970
5022,,,,,,,,5023,46769.45148,1970
5023,,,,,,,,5024,49644.85194,1970
5024,,,,,,,,5025,53699.94997,1970
5025,,,,,,,,5026,58304.53428,1970
5026,,,,,,,,5027,62790.42637,1970
5027,,,,,,,,5028,66441.06331,1970
5028,,,,,,,,5029,69505.48111,1970
5029,,,,,,,,5030,71367.83817,1970
5030,,,,,,,,5031,72280.54914,1970
5031,,,,,,,,5032,72282.99689,1970
5032,,,,,,,,5033,71335.85908,1970
5033,,,,,,,,5034,69131.27813,1970
5034,,,,,,,,5035,66786.5175,1970
5035,,,,,,,,5036,64419.53678,1970
5036,,,,,,,,5037,62108.88036,1970
5037,,,,,,,,5038,58433.44545,1970
5038,,,,,,,,5039,54420.25288,1970
5039,,,,,,,,5040,50884.26752,1970
5040,,,,,,,,5041,48207.24973,1970
5041,,,,,,,,5042,46209.65044,1970
5042,,,,,,,,5043,44819.54276,1970
5043,,,,,,,,5044,44290.98589,1970
5044,,,,,,,,5045,44780.54449,1970
5045,,,,,,,,5046,45825.89132,1970
5046,,,,,,,,5047,46650.61064,1970
5047,,,,,,,,5048,49633.55074,1970
5048,,,,,,,,5049,53843.1995,1970
5049,,,,,,,,5050,58530.50887,1970
5050,,,,,,,,5051,62993.92515,1970
5051,,,,,,,,5052,66552.90752,1970
5052,,,,,,,,5053,69453.62756,1970
