Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,1.4980603219668776e7
TX,conventional_hydroelectric,1,1,8.1041788299431605e6
TX,conventional_steam_coal,1,1,5.4244377371711e8
TX,conventional_steam_coal_5,1,1,5.4199502416875e8
TX,conventional_steam_coal_1,1,2,4.175410284893102e7
TX,conventional_steam_coal_2,1,3,7.68745058811152e8
TX,conventional_steam_coal_3,1,3,4.602436941127737e8
TX,conventional_steam_coal_4,1,4,1.0653734754178405e8
TX,natural_gas_fired_combined_cycle,1,1,9.348182959934762e7
TX,natural_gas_fired_combined_cycle_1,1,2,4.3507208860533935e8
TX,natural_gas_fired_combined_cycle_2,1,3,8.651806142130417e8
TX,natural_gas_fired_combined_cycle_3,1,4,1.5646421351877958e8
TX,natural_gas_fired_combined_cycle_4,1,5,1.1357208530419175e8
TX,natural_gas_fired_combined_cycle_5,1,6,8.647495256406108e8
TX,natural_gas_fired_combined_cycle_6,1,7,2.2957729910153836e8
TX,natural_gas_fired_combined_cycle_7,1,8,2.1946524017049655e8
TX,natural_gas_fired_combined_cycle_8,1,9,1.599578404869349e9
TX,natural_gas_fired_combined_cycle_9,1,10,5.6448717118484676e7
TX,natural_gas_fired_combined_cycle_10,1,11,4.527260794057246e7
TX,natural_gas_fired_combined_cycle_11,1,12,2.423145634933884e8
TX,natural_gas_fired_combined_cycle_12,1,13,2.109814845390313e8
TX,natural_gas_fired_combined_cycle_13,1,14,1.4463349240299053e9
TX,natural_gas_fired_combined_cycle_14,1,15,1.7324304714527532e8
TX,natural_gas_fired_combustion_turbine,1,1,1.045741636889071e8
TX,natural_gas_fired_combustion_turbine_1,1,2,2.1252202547134584e8
TX,natural_gas_fired_combustion_turbine_2,1,3,9.198681885802392e6
TX,natural_gas_fired_combustion_turbine_3,1,4,2.8089299601246595e7
TX,natural_gas_fired_combustion_turbine_4,1,5,1.6701223755596906e7
TX,natural_gas_fired_combustion_turbine_5,1,6,1.2640277100123381e6
TX,natural_gas_fired_combustion_turbine_6,1,7,5.598500313160295e7
TX,natural_gas_fired_combustion_turbine_7,1,8,1.0276919399587065e8
TX,natural_gas_fired_combustion_turbine_8,1,9,2.3184500009599224e8
TX,natural_gas_fired_combustion_turbine_9,1,10,1.1466792513851477e8
TX,natural_gas_fired_combustion_turbine_10,1,11,6.419262152167873e7
TX,natural_gas_fired_combustion_turbine_11,1,12,3.039414460077299e7
TX,natural_gas_fired_combustion_turbine_12,1,13,8.333488435624132e7
TX,natural_gas_fired_combustion_turbine_13,1,14,4.663341602587395e6
TX,natural_gas_fired_combustion_turbine_14,1,15,4.631012778176739e7
TX,natural_gas_fired_combustion_turbine_15,1,16,1.1663093501986671e7
TX,natural_gas_steam_turbine,1,1,1.567006007530045e8
TX,natural_gas_steam_turbine_1,1,2,6.2054347918280356e7
TX,natural_gas_steam_turbine_2,1,3,1.5696247416224633e6
TX,natural_gas_steam_turbine_3,1,4,2.568808980160071e8
TX,natural_gas_steam_turbine_4,1,5,2.7166714030375224e7
TX,natural_gas_steam_turbine_5,1,6,2.719842346888398e7
TX,natural_gas_steam_turbine_6,1,7,4.2782917047454077e8
TX,natural_gas_steam_turbine_7,1,8,1.3680077232395944e8
TX,natural_gas_steam_turbine_8,1,9,1.3466801957052305e8
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,3.0083106728880126e7
TX,natural_gas_steam_turbine_11,1,12,7.171632339309274e7
TX,natural_gas_steam_turbine_12,1,13,9.422349045966633e6
TX,natural_gas_steam_turbine_13,1,14,2.848488137196364e8
TX,natural_gas_steam_turbine_14,1,15,8.473676629412533e7
TX,natural_gas_steam_turbine_15,1,16,3.2873075940728422e7
TX,natural_gas_steam_turbine_16,1,17,2.910722398123746e7
TX,natural_gas_steam_turbine_17,1,18,2.1231352177970786e7
TX,nuclear,1,1,6.013222536384166e8
TX,nuclear_1,1,2,5.870050571232162e8
TX,onshore_wind_turbine,1,1,1.1454188937012339e9
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,1.094509643526998e9
TX,Battery,1,1,1.0726049695703329e8
