BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.894500933162214e7,128625.43459702632,-152005.48318374646,0.0,0.0,0.0,23238.88017418257,0.0,0.0,-5.8985268596540004e7
t1,50435.222009200006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50466.71141
t2,47801.58494920001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47833.07435
t3,45720.6901292,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45752.17953
t4,44547.37125436316,0.0,-471.21031516316907,0.0,0.0,0.0,0.0,0.0,0.0,-44107.65034
t5,43673.381969199996,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42978.87137
t6,43083.4946192,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42388.98402
t7,42968.316949199994,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-42273.80635
t8,42752.6547177,0.0,-507.43623849999403,0.0,0.0,0.0,0.0,0.0,0.0,-42276.70788
t9,45074.99669963478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-45106.42297
t10,49748.47558963478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-49779.90186
t11,54544.261899634774,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-54575.68817
t12,58988.92109919999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59020.4105
t13,63123.006649200004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63154.49605
t14,66449.41182919999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66480.90123
t15,68656.06457871328,263.5178204867122,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68951.0718
t16,69941.759433167,602.3675460329887,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70575.61638
t17,70960.93977228997,589.4777169099943,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71581.90689
t18,70964.25439919998,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71721.7438
t19,70418.40418919998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70449.89359
t20,67424.5874892,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67456.07689
t21,64597.164099707996,489.9651994919859,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65118.6187
t22,62197.25850919998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62228.74791
t23,57901.3094592,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57932.79886
t24,53265.91140919999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53297.40081
t25,49647.91814919999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49679.40755
t26,47232.89601688796,0.0,-252.6290676879531,0.0,0.0,0.0,0.0,0.0,0.0,-47011.75635
t27,45880.4805192,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-45185.96992
t28,44728.4397392,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-44033.92914
t29,44269.573639199996,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-43575.06304
t30,45104.389339199995,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-44409.87874
t31,46277.122759634774,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-46308.54903
t32,46841.94136963477,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-46873.36764
t33,49298.14687963477,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-49329.57315
t34,53259.75688963479,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-53291.18316
t35,57802.12296963478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-57833.54924
t36,62094.827149199984,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62126.31655
t37,65444.79506244005,326.36863675992527,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65802.6531
