region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TX,biomass,1,1,1,0.0,0.0,1.0958785620000001e7,0.0,355572.993260556,0.0,0.0,0.0,0.0,4.403731602647064e6,0.0,0.0,0.0,0.0,0.0,4.403731602647064e6,1.1314358613260558e7,-6.910627010613494e6
TX,conventional_hydroelectric,1,1,2,0.0,0.0,2.264505984e7,0.0,0.0,0.0,0.0,0.0,0.0,4.279039451067206e6,0.0,0.0,0.0,0.0,0.0,4.279039451067206e6,2.264505984e7,-1.8366020388932794e7
TX,conventional_steam_coal,1,1,3,0.0,0.0,2.2285250230214e8,0.0,66882.38347186049,1.897333693990869e6,0.0,134962.6609034463,0.0,1.989430050500387e6,0.0,0.0,0.0,0.0,0.0,1.989430050500387e6,2.2495168104050615e8,-2.2296225099000576e8
TX,conventional_steam_coal_5,1,1,4,0.0,0.0,2.2285250230214e8,0.0,290730.7617073415,8.21450762932026e6,0.0,542645.4276353598,0.0,8.526038845717197e6,0.0,0.0,0.0,0.0,0.0,8.526038845717197e6,2.3190038612080297e8,-2.2337434727508578e8
TX,conventional_steam_coal_1,1,2,5,0.0,0.0,5.3519364816479996e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3519364816479996e7,-5.3519364816479996e7
TX,conventional_steam_coal_2,1,3,6,0.0,0.0,2.055971495424e8,0.0,7.05229037568e6,2.829812625068782e8,0.0,0.0,0.0,2.2652869642303106e8,0.0,0.0,0.0,0.0,0.0,2.2652869642303106e8,4.956307024249582e8,-2.6910200600192714e8
TX,conventional_steam_coal_3,1,3,7,0.0,0.0,1.644193113528e8,0.0,536842.4501764352,1.4914614397372212e7,0.0,573966.6441665437,0.0,1.5455810520066e7,0.0,0.0,0.0,0.0,0.0,1.5455810520066e7,1.804447348445152e8,-1.649889243244492e8
TX,conventional_steam_coal_4,1,4,8,0.0,0.0,4.1499941118879996e7,0.0,244293.64785797521,7.526819781211063e6,0.0,113640.66997890892,0.0,1.2552345463171322e7,0.0,0.0,0.0,0.0,0.0,1.2552345463171322e7,4.938469521792794e7,-3.6832349754756615e7
TX,natural_gas_fired_combined_cycle,1,1,9,0.0,0.0,1.32296268e7,0.0,488076.2886108885,6.399386551153894e6,0.0,831452.3971039999,0.0,1.1737118720352817e7,0.0,0.0,0.0,0.0,0.0,1.1737118720352817e7,2.094854203686878e7,-9.211423316515964e6
TX,natural_gas_fired_combined_cycle_1,1,2,10,0.0,0.0,2.134947696e7,0.0,2.7735288548702816e6,4.204892693740312e7,0.0,3.704643589500001e6,0.0,6.778052732672513e7,0.0,0.0,0.0,0.0,0.0,6.778052732672513e7,6.98765763417734e7,-2.0960490150482804e6
TX,natural_gas_fired_combined_cycle_2,1,3,11,0.0,0.0,4.674538944e7,0.0,1.3784707204234539e7,1.4644495882837272e8,0.0,0.0,0.0,2.4180627268364516e8,0.0,0.0,0.0,0.0,0.0,2.4180627268364516e8,2.0697505547260725e8,3.4831217211037904e7
TX,natural_gas_fired_combined_cycle_3,1,4,12,0.0,0.0,1.2652950760000002e7,0.0,2.0359695046531039e6,2.140967722725613e7,0.0,941991.377096,0.0,3.357125436936564e7,0.0,0.0,0.0,0.0,0.0,3.357125436936564e7,3.704058886900523e7,-3.469334499639593e6
TX,natural_gas_fired_combined_cycle_4,1,5,13,0.0,0.0,1.194058624e7,0.0,183068.08544944113,2.8392111741921566e6,0.0,936741.2809439999,0.0,8.921429411315598e6,0.0,0.0,0.0,0.0,0.0,8.921429411315598e6,1.5899606780585596e7,-6.978177369269999e6
TX,natural_gas_fired_combined_cycle_5,1,6,14,0.0,0.0,5.10994041e7,0.0,1.2734512027006239e7,1.4600578759207055e8,0.0,1.044828483e6,0.0,2.3324174701344892e8,0.0,0.0,0.0,0.0,0.0,2.3324174701344892e8,2.108845322020768e8,2.235721481137213e7
TX,natural_gas_fired_combined_cycle_6,1,7,15,0.0,0.0,1.7514422400000002e7,0.0,619000.3081004574,1.0774128058777064e7,0.0,2.3457999685500003e6,0.0,2.3432896733729538e7,0.0,0.0,0.0,0.0,0.0,2.3432896733729538e7,3.1253350735427525e7,-7.820454001697987e6
TX,natural_gas_fired_combined_cycle_7,1,8,16,0.0,0.0,1.7486852860000003e7,0.0,3.535609404901258e6,3.2756460040111613e7,0.0,720326.1924999999,0.0,5.360676272957989e7,0.0,0.0,0.0,0.0,0.0,5.360676272957989e7,5.449924849751288e7,-892485.7679329887
TX,natural_gas_fired_combined_cycle_8,1,9,17,0.0,0.0,1.0217344239999999e8,0.0,2.6492066643178973e7,2.8571005647448575e8,0.0,0.0,0.0,4.6347365806945914e8,0.0,0.0,0.0,0.0,0.0,4.6347365806945914e8,4.1437556551766473e8,4.909809255179441e7
TX,natural_gas_fired_combined_cycle_9,1,10,18,0.0,0.0,5.35498432e6,0.0,657479.1659097883,8.342904308175407e6,0.0,371246.2218000001,0.0,1.3081209185452374e7,0.0,0.0,0.0,0.0,0.0,1.3081209185452374e7,1.4726614015885197e7,-1.645404830432823e6
TX,natural_gas_fired_combined_cycle_10,1,11,19,0.0,0.0,4.01977122e6,0.0,351706.74146493216,4.39475415112378e6,0.0,342982.37100000004,0.0,7.0928129741394e6,0.0,0.0,0.0,0.0,0.0,7.0928129741394e6,9.10921448358871e6,-2.0164015094493106e6
TX,natural_gas_fired_combined_cycle_11,1,12,20,0.0,0.0,1.50672852e7,0.0,1.4357354046368445e6,2.276673576585536e7,0.0,1.4225943600000003e6,0.0,3.631626514285302e7,0.0,0.0,0.0,0.0,0.0,3.631626514285302e7,4.0692350730492204e7,-4.376085587639183e6
TX,natural_gas_fired_combined_cycle_12,1,13,21,0.0,0.0,1.7402047560000002e7,0.0,2.4649586222922355e6,2.7999150161029298e7,0.0,408218.72400000005,0.0,4.228381961943682e7,0.0,0.0,0.0,0.0,0.0,4.228381961943682e7,4.827437506732153e7,-5.990555447884709e6
TX,natural_gas_fired_combined_cycle_13,1,14,22,0.0,0.0,7.530195056e7,0.0,2.0664832375590567e7,2.3465297799893993e8,0.0,339364.048818,0.0,3.7817683964929205e8,0.0,0.0,0.0,0.0,0.0,3.7817683964929205e8,3.309591249833485e8,4.721771466594356e7
TX,natural_gas_fired_combined_cycle_14,1,15,23,0.0,0.0,8.29418624e6,0.0,1.6046788383823442e6,2.225458289811339e7,0.0,1.2323529760000003e6,0.0,3.449844837618446e7,0.0,0.0,0.0,0.0,0.0,3.449844837618446e7,3.3385800952495735e7,1.1126474236887284e6
TX,natural_gas_fired_combustion_turbine,1,1,24,0.0,0.0,7.4068878e6,0.0,89263.76985690903,1.2015715027912788e6,0.0,442854.068426,0.0,6.642156730992789e6,0.0,0.0,0.0,0.0,0.0,6.642156730992789e6,9.140577141074188e6,-2.4984204100813987e6
TX,natural_gas_fired_combustion_turbine_1,1,2,25,0.0,0.0,1.2671550579999998e7,0.0,2.803685119432664e6,2.7555624830601e7,0.0,429853.080846,0.0,4.1583791856083825e7,0.0,0.0,0.0,0.0,0.0,4.1583791856083825e7,4.346071361087966e7,-1.8769217547958344e6
TX,natural_gas_fired_combustion_turbine_2,1,3,26,0.0,0.0,1.16323128e6,0.0,391.85645400000004,8725.1047344,0.0,10985.867999999999,0.0,656100.0,0.0,0.0,0.0,0.0,0.0,656100.0,1.1833341091884002e6,-527234.1091884002
TX,natural_gas_fired_combustion_turbine_3,1,4,27,0.0,0.0,2.1257028e6,0.0,22144.572153437814,304374.19729837053,0.0,84438.27,0.0,1.7473986128334694e6,0.0,0.0,0.0,0.0,0.0,1.7473986128334694e6,2.536659839451808e6,-789261.2266183386
TX,natural_gas_fired_combustion_turbine_4,1,5,28,0.0,0.0,1.3068400799999998e6,0.0,56099.89697422475,660045.7877348674,0.0,110378.0857,0.0,1.5098195038396502e6,0.0,0.0,0.0,0.0,0.0,1.5098195038396502e6,2.1333638504090924e6,-623544.3465694422
TX,natural_gas_fired_combustion_turbine_5,1,6,29,0.0,0.0,186691.44,0.0,95.17435356000001,2770.6077130680005,0.0,5265.285999999999,0.0,105949.95180831531,0.0,0.0,0.0,0.0,0.0,105949.95180831531,194822.50806662798,-88872.55625831267
TX,natural_gas_fired_combustion_turbine_6,1,7,30,0.0,0.0,5.08375152e6,0.0,122486.32268624495,1.6140715923301498e6,0.0,238193.35937100003,0.0,4.547487979956422e6,0.0,0.0,0.0,0.0,0.0,4.547487979956422e6,7.058502794387394e6,-2.5110148144309716e6
TX,natural_gas_fired_combustion_turbine_7,1,8,31,0.0,0.0,6.57786922e6,0.0,781993.4691715473,8.537074015160006e6,0.0,554831.8932765,0.0,1.4117740837379325e7,0.0,0.0,0.0,0.0,0.0,1.4117740837379325e7,1.6451768597608052e7,-2.334027760228727e6
TX,natural_gas_fired_combustion_turbine_8,1,9,32,0.0,0.0,1.53835362e7,0.0,297166.5970936013,3.974104127624583e6,0.0,1.584917604e6,0.0,1.6973717957748346e7,0.0,0.0,0.0,0.0,0.0,1.6973717957748346e7,2.123972452871818e7,-4.266006570969835e6
TX,natural_gas_fired_combustion_turbine_9,1,10,33,0.0,0.0,8.456446799999999e6,0.0,46496.95617151952,655427.5192781781,0.0,295991.50871749996,0.0,635862.5198085158,0.0,0.0,0.0,0.0,0.0,635862.5198085158,9.454362784167197e6,-8.81850026435868e6
TX,natural_gas_fired_combustion_turbine_10,1,11,34,0.0,0.0,3.3585888e6,0.0,385362.5951256389,4.422398589595165e6,0.0,338839.62,0.0,7.779084671153435e6,0.0,0.0,0.0,0.0,0.0,7.779084671153435e6,8.505189604720803e6,-726104.9335673684
TX,natural_gas_fired_combustion_turbine_11,1,12,35,0.0,0.0,2.4563676799999997e6,0.0,1509.373008,24784.029972000004,0.0,28351.127999999997,0.0,31356.90232501376,0.0,0.0,0.0,0.0,0.0,31356.90232501376,2.51101221098e6,-2.4796553086549863e6
TX,natural_gas_fired_combustion_turbine_12,1,13,36,0.0,0.0,6.459774619999999e6,0.0,96746.04814375249,1.2853512901602983e6,0.0,401201.8865664999,0.0,5.816001750387329e6,0.0,0.0,0.0,0.0,0.0,5.816001750387329e6,8.243073844870551e6,-2.427072094483222e6
TX,natural_gas_fired_combustion_turbine_13,1,14,37,0.0,0.0,588796.08,0.0,348.9254823953028,7024.161587527842,0.0,11149.191499999999,0.0,335340.28101832315,0.0,0.0,0.0,0.0,0.0,335340.28101832315,607318.3585699231,-271978.07755159994
TX,natural_gas_fired_combustion_turbine_14,1,15,38,0.0,0.0,3.96360288e6,0.0,354234.16426912765,3.839739242562523e6,0.0,272594.81295800005,0.0,6.383693811048164e6,0.0,0.0,0.0,0.0,0.0,6.383693811048164e6,8.430171099789651e6,-2.046477288741487e6
TX,natural_gas_fired_combustion_turbine_15,1,16,39,0.0,0.0,1.20631392e6,0.0,812.739312,11861.241436799999,0.0,22637.034,0.0,687105.6218712002,0.0,0.0,0.0,0.0,0.0,687105.6218712002,1.2416249347488e6,-554519.3128775998
