BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.9968033104558095e7,121035.13531370256,-143037.3962964639,0.0,0.0,0.0,1.6892810729927987,0.0,0.0,-5.0012360357499994e7
t1,42180.432855600004,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42931.65245
t2,40403.947045600005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40429.16664
t3,38552.53101560001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38577.75061
t4,37767.54210554,0.0,-387.5052899399934,0.0,0.0,0.0,0.0,0.0,0.0,-37405.25641
t5,37456.97320992445,0.0,-470.4999543244427,0.0,0.0,0.0,0.0,0.0,0.0,-37011.69285
t6,37752.140285600006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37777.35988
t7,39598.6707156,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39623.89031
t8,40136.04123560001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40161.26083
t9,40588.9318356,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40614.15143
t10,41947.9122156,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41973.13181
t11,43378.47553927006,0.0,-0.37876367007060174,0.0,0.0,0.0,0.0,0.0,0.0,-43403.31637
t12,45054.6478956,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45079.86749
t13,46652.558303219,50.6002123809958,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46728.37811
t14,48588.56188559998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48613.78148
t15,50378.345665600005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50403.56526
t16,51939.118185600004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51964.33778
t17,52688.513438985996,625.4309466139875,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53339.16398
t18,53052.18495152952,543.2197940704727,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53620.62434
t19,52052.39862559999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52077.61822
t20,49269.77934559999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50020.99894
t21,47620.29520559999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48371.5148
t22,45367.22694559999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45392.44654
t23,41713.536145599996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41738.75574
t24,38227.29104560001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38252.51064
t25,35741.5932056,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35766.8128
t26,34075.6174756,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34100.83707
t27,33017.5960956,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33042.81569
t28,33237.150052560006,0.0,-725.8812069600017,0.0,0.0,0.0,0.0,0.0,0.0,-32536.48844
t29,33565.22152,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-32839.22152
t30,34382.20458382984,0.0,-304.20323822985335,0.0,0.0,0.0,0.0,0.0,0.0,-34103.22094
t31,37231.22776559999,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36530.44736
t32,37700.36595141,0.0,-297.59328581000136,0.0,0.0,0.0,0.0,0.0,0.0,-37427.99226
t33,38718.82546061,0.0,-377.02791500999865,0.0,0.0,0.0,0.0,0.0,0.0,-38367.01714
t34,39955.62036679999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39980.98033
t35,41824.57156760695,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-41849.94564
t36,43850.37147963478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-43875.94905
t37,45862.86403083479,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-45888.58197
t38,48136.68056159999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48162.602
t39,50540.282883199994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50566.39148
t40,52744.80133970587,19.515244694121776,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52790.56555
t41,53672.91945559999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54425.30879
t42,53799.10933679999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54551.63904
t43,52149.287277954005,473.8743800459888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52649.83173
t44,49523.9764692,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50276.78691
t45,48522.587880399995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48549.53869
t46,45923.784002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45950.92197
t47,42606.71767319999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42633.99601
t48,39280.078189000036,0.0,-16.770604600041082,0.0,0.0,0.0,0.0,0.0,0.0,-39290.72629
t49,36873.7169441,0.0,-235.858798500004,0.0,0.0,0.0,0.0,0.0,0.0,-36665.41722
t50,35581.330400000006,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-34855.3304
t51,34412.087830000004,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-33686.08783
t52,33876.27212000001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-33150.27212
t53,34010.15921,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-33284.15921
t54,34509.42898199999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34537.73669
t55,36875.85863280696,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-36904.18045
t56,37734.99528483478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-37763.5206
t57,38801.49033603479,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-38830.15602
t58,40519.84469723478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-40548.65075
t59,42687.61445799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42716.62401
t60,44899.160479599996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44928.35719
t61,47211.443440799994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47240.78052
t62,49885.47297200001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49914.95042
t63,52306.15172319999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52335.76954
t64,54012.898606789364,214.2548276106247,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54256.91162
t65,54780.59236331036,646.9886622896231,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55457.47958
t66,54111.757466799994,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54867.79639
t67,52351.849058199994,357.99438019999195,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52740.06952
t68,49537.36915959999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50293.73561
t69,48379.40869079999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48409.91551
