Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,6.967702683089653e6
TX,conventional_hydroelectric,1,1,4.858526809506439e6
TX,conventional_steam_coal,1,1,9.729252976952938e6
TX,conventional_steam_coal_5,1,1,0.0
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,3.586024203761191e8
TX,conventional_steam_coal_3,1,3,2.3342317267314307e7
TX,conventional_steam_coal_4,1,4,2.3468452163353324e7
TX,natural_gas_fired_combined_cycle,1,1,1.8223670071299914e7
TX,natural_gas_fired_combined_cycle_1,1,2,7.95723802438212e7
TX,natural_gas_fired_combined_cycle_2,1,3,3.8896435718435794e8
TX,natural_gas_fired_combined_cycle_3,1,4,4.941134532927934e7
TX,natural_gas_fired_combined_cycle_4,1,5,2.1497751582721386e7
TX,natural_gas_fired_combined_cycle_5,1,6,3.6704797550086105e8
TX,natural_gas_fired_combined_cycle_6,1,7,4.400902134514036e7
TX,natural_gas_fired_combined_cycle_7,1,8,8.3866931750414e7
TX,natural_gas_fired_combined_cycle_8,1,9,7.371896705024668e8
TX,natural_gas_fired_combined_cycle_9,1,10,2.0947735503616866e7
TX,natural_gas_fired_combined_cycle_10,1,11,8.42263410880491e6
TX,natural_gas_fired_combined_cycle_11,1,12,5.1958816294264615e7
TX,natural_gas_fired_combined_cycle_12,1,13,7.319540407074752e7
TX,natural_gas_fired_combined_cycle_13,1,14,6.053569028263267e8
TX,natural_gas_fired_combined_cycle_14,1,15,5.216053896445052e7
TX,natural_gas_fired_combustion_turbine,1,1,603953.8364137505
TX,natural_gas_fired_combustion_turbine_1,1,2,5.114111381724941e7
TX,natural_gas_fired_combustion_turbine_2,1,3,2876.8239980766757
TX,natural_gas_fired_combustion_turbine_3,1,4,1.5659440134978243e6
TX,natural_gas_fired_combustion_turbine_4,1,5,3.753023447493483e6
TX,natural_gas_fired_combustion_turbine_5,1,6,105300.00000000001
TX,natural_gas_fired_combustion_turbine_6,1,7,6.016907114924354e6
TX,natural_gas_fired_combustion_turbine_7,1,8,1.738589539559919e7
TX,natural_gas_fired_combustion_turbine_8,1,9,2.5589370442790274e7
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,1.1300844853534302e7
TX,natural_gas_fired_combustion_turbine_11,1,12,15395.50151031565
TX,natural_gas_fired_combustion_turbine_12,1,13,4.589791015104683e6
TX,natural_gas_fired_combustion_turbine_13,1,14,1711.630219238
TX,natural_gas_fired_combustion_turbine_14,1,15,7.869214941679413e6
TX,natural_gas_fired_combustion_turbine_15,1,16,2.0526923410868086e6
TX,natural_gas_steam_turbine,1,1,2.8195557003990017e7
TX,natural_gas_steam_turbine_1,1,2,1.0508280272987682e7
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,4.4827330821911186e7
TX,natural_gas_steam_turbine_4,1,5,1.3980985002984074e6
TX,natural_gas_steam_turbine_5,1,6,1.466263660639429e6
TX,natural_gas_steam_turbine_6,1,7,1.0237655306116845e8
TX,natural_gas_steam_turbine_7,1,8,1.1773956693214249e7
TX,natural_gas_steam_turbine_8,1,9,2.396375046095285e7
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,2.304442879480749e6
TX,natural_gas_steam_turbine_11,1,12,5.443953786785037e6
TX,natural_gas_steam_turbine_12,1,13,525035.5590935076
TX,natural_gas_steam_turbine_13,1,14,9.705564077571931e7
TX,natural_gas_steam_turbine_14,1,15,1.4361133279657649e7
TX,natural_gas_steam_turbine_15,1,16,5.862822642799808e6
TX,natural_gas_steam_turbine_16,1,17,1.464744490189223e6
TX,natural_gas_steam_turbine_17,1,18,1.0454265435686796e6
TX,nuclear,1,1,2.0915114573845398e8
TX,nuclear_1,1,2,2.0417135655420503e8
TX,onshore_wind_turbine,1,1,9.50014044620631e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,2.0487386946997216e8
TX,Battery,1,1,5.2260292496851474e7
