Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,66374.41152745385,34383.01003279994,168663.7232270794,0.0,0.0,3.649536e6,324469.796487585,195886.93284223566,24728.245867818005,197101.63999161817,3.5846391626317133e6,254064.90588215395,6728.063883913885,2.902000096615352e6,31693.873225811985,506799.4512908128,7.082755345762477e6,116377.93672809226,13034.540838037005,69883.66063541854,289561.3912960326,4.671985526311765e6,233775.01493397003,788.1588000000002,216235.69340334128,48.6,1818.117071864991,1674.2879999999998,11.700000000000001,4865.544921351997,14896.147336274997,11143.8135,0.0,7541.184,206.79619758798708,2481.924297,25.994,7312.342050000001,374.15381410998873,29308.377769768966,5251.601124,0.0,35497.02000000001,837.2821805648289,1298.4030000000002,305957.4283232515,10123.381335999999,23159.313375005466,0.0,1913.2450479999998,4166.1759999999995,499.46799999999996,283792.43142287596,7818.070333634004,7539.620951106995,1535.196,913.902,2.2923935999999996e6,2.237812800000001e6,1.3859793323738819e7,0.0,1.9210762337392217e6,112365.59450994822,4.583691965625586e7
t1,61.7364,57.317260000000005,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,3626.1000000000004,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3588.805807030002,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,11840.591476079999,0.0,0.08791589,0.0,37917.3072
t2,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2440.527453315998,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.6040399999997,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,11721.037435794,0.0,0.08791589,0.0,36063.800218
t3,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2110.6386652340034,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.6040399999997,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,10849.275123876,0.0,0.08791589,0.0,34862.149118
t4,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2521.0697923079997,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.6040399999997,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,9846.104966801999,0.0,0.08791589,0.0,34269.410088
t5,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,2339.429318446081,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3019.6040399999997,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,10127.209360211999,0.0,0.08791589,0.0,34368.87400754808
t6,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,343.768161,0.0,3626.1000000000004,0.0,605.197,6619.239,167.90910000000002,0.0,0.0,235.98,3603.3069931387845,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,9489.136256406,0.0,0.08791589,0.0,35601.17453843478
t7,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,615.1769954427809,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,235.98,6120.819,440.016,0.0,311.683932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,8903.558535102,0.0,0.08791589,0.0,38198.80155843478
t8,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,892.62,6120.819,741.6,0.0,710.35568831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,308.88,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,8863.5942738,0.0,0.08791589,0.0,39571.686958
t9,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,0.0,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,1176.4803669489966,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,8327.463823512,0.0,52.242297539,0.0,40204.594968
t10,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,1368.045,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,0.0,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,685.8780421839974,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,7234.204783608,0.0,1999.191452208,0.0,41935.72775799999
t11,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,0.0,760.32,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,1353.8484811989938,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,5323.37222475,0.0,4208.847252051,0.0,44203.696438
t12,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,0.0,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,151.68,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,899.202432240997,0.0,90.58954800000001,0.0,0.0,0.0,0.0,156.327,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,6455.918175444001,0.0,5515.784250315,0.0,46649.093338
t13,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,150.81914,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,0.0,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,363.3559722749951,0.0,0.0,0.0,0.0,0.0,0.0,165.71880000000002,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,1944.0,0.0,90.58954800000001,0.0,0.0,0.0,0.0,482.1300000000001,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,6391.907629146,0.0,5849.642446579,0.0,49031.055468
t14,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,468.05940000000004,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,240.16140000000001,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,0.0,0.0,0.0,0.0,207.1485,0.0,237.376407135992,0.0,0.0,500.56499999999994,0.0,0.0,1944.0,0.0,339.18812059171887,0.0,0.0,0.0,0.0,1314.9,0.0,126.41199999999999,0.0,0.0,1234.8,1205.4,6222.567642588,0.0,5781.745051346999,493.2188643372772,51571.850018
t15,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,468.05940000000004,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,783.135,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,0.0,0.0,0.0,0.0,207.1485,0.0,707.6264071359919,0.0,0.0,596.7,0.0,0.0,1944.0,0.0,506.4012,0.0,0.0,0.0,0.0,1314.9,0.0,152.1,0.0,0.0,1234.8,1205.4,6682.156391196,0.0,5825.1923476679995,726.0,53609.92687799999
t16,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,468.05940000000004,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,783.135,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,24.3,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,151.20000000000002,0.0,0.0,0.0,207.1485,0.0,723.2664026879947,0.0,0.0,596.7,0.0,0.0,1944.0,0.0,506.4012,0.0,0.0,0.0,0.0,1314.9,0.0,152.1,0.0,0.0,1234.8,1205.4,7886.163812184,0.0,6163.887801128,726.0,55343.769748
t17,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,468.05940000000004,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,783.135,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,151.20000000000002,0.0,0.0,25.994,207.1485,0.0,726.0212594419963,0.0,0.0,596.7,0.0,0.0,1944.0,0.0,506.4012,0.0,0.0,0.0,0.0,1314.9,0.0,152.1,0.0,0.0,1234.8,1205.4,8820.920610449999,0.0,5918.947046108,726.0,56038.03464799999
t18,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,480.32280000000003,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,0.0,0.0,0.0,0.0,207.1485,0.0,255.7712594419964,0.0,0.0,218.79000000000008,0.0,0.0,1944.0,0.0,185.68044000000003,0.0,0.0,0.0,0.0,1070.4755740419914,0.0,55.769999999999996,0.0,0.0,1234.8,1205.4,10920.73659417,0.0,5866.440898346,0.0,55203.281977999985
t19,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,301.63828,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,480.32280000000003,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,0.0,0.0,0.0,0.0,207.1485,0.0,119.62499999999999,0.0,0.0,122.655,0.0,0.0,1944.0,0.0,90.58954800000001,0.0,0.0,0.0,0.0,774.0124512599841,0.0,30.081999999999997,0.0,0.0,1234.8,1205.4,11719.68273477,0.0,3024.7764019700003,0.0,52511.040347999995
t20,61.7364,78.138632,0.0,0.0,0.0,3168.0,0.0,0.0,332.84224,1908.9,3582.5166,671.1309000000001,0.0,3626.1000000000004,240.16140000000001,927.9,6619.239,239.49000000000004,213.3,1069.2,923.4000000000001,6120.819,741.6,0.0,928.8594,0.0,0.0,0.0,0.0,0.0,375.9777,0.0,0.0,0.0,0.0,0.0,0.0,207.1485,0.0,119.62499999999999,0.0,0.0,500.56499999999994,0.0,0.0,1944.0,0.0,155.68421220398432,0.0,0.0,0.0,0.0,1314.9,0.0,126.41199999999999,0.0,0.0,1234.8,1205.4,12243.281995494,0.0,20.052598302,0.0,50901.180577999985
