BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.572455406174593e7,112365.59450994825,-132793.87544205715,0.0,0.0,0.0,1181.6789533769534,0.0,0.0,-4.573969046980001e7
t1,37917.3072,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37974.62446
t2,36063.800218,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36141.93885
t3,34862.149118,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34940.28775
t4,34269.410088,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34347.54872
t5,34368.87400754808,0.0,-0.3156395480790825,0.0,0.0,0.0,0.0,0.0,0.0,-34446.697
t6,35601.17453843478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-35679.25004
t7,38198.80155843478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-38276.87706
t8,39571.686958,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39649.82559
t9,40204.594968,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40282.7336
t10,41935.72775799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42013.86639
t11,44203.696438,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44281.83507
t12,46649.093338,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46727.23197
t13,49031.055468,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49109.1941
t14,51078.63115366272,493.2188643372772,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51649.98865
t15,52883.92687799999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53688.06551
t16,54617.769748,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55421.90838
t17,55312.03464799999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56116.17328
t18,55203.281977999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55281.42061
t19,52511.040347999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52589.17898
t20,50901.180577999985,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50979.31921
t21,49116.01408799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49194.15272
t22,47310.86287799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47389.00151
t23,45133.576028,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45211.71466
t24,42689.510848,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42767.64948
t25,40374.198758000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40452.33739
t26,38830.180481042575,0.0,-198.3021130425728,0.0,0.0,0.0,0.0,0.0,0.0,-38710.017
t27,38164.16168800001,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-37516.30032
t28,37336.648808000005,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36688.78744
t29,36874.326938000006,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36226.46557
t30,37047.029088,0.0,-726.0,0.0,0.0,0.0,0.0,0.0,0.0,-36399.16772
t31,37152.500620602,0.0,-54.38465260200155,0.0,0.0,0.0,0.0,0.0,0.0,-37176.2546
t32,38193.61381843478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-38271.68932
t33,39774.012238434785,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-39852.08774
t34,42400.634668000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42478.7733
t35,44987.80183760695,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-45065.81421
t36,47278.03321799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47356.17185
t37,49196.81224862107,229.44611937892114,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49504.397
t38,50911.92612002907,298.60486797092295,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51288.66962
t39,52153.280489269004,604.0249787309958,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52835.4441
t40,53091.49438799999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53895.63302
t41,53133.81736799999,726.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53937.956
t42,52919.99396498899,87.35665301099016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53085.48925
t43,51107.940208,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51186.07884
t44,49960.51542799999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50038.65406
t45,48434.21324800001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48512.35188
t46,46741.034038000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46819.17267
t47,44701.653258,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44779.79189
t48,42549.515978,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42627.65461
t49,40276.547998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40354.68663
t50,38543.576878,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38621.71551
t51,37452.223712868,0.0,-248.05439486799605,0.0,0.0,0.0,0.0,0.0,0.0,-37282.30795
t52,37017.939335604,0.0,-704.5388776039954,0.0,0.0,0.0,0.0,0.0,0.0,-36391.53909
t53,36420.604458288,0.0,-532.6577302880005,0.0,0.0,0.0,0.0,0.0,0.0,-35966.08536
t54,36386.736454139995,0.0,-603.9276861400003,0.0,0.0,0.0,0.0,0.0,0.0,-35860.9474
t55,36480.10713822858,0.0,-369.9078502285767,0.0,0.0,0.0,0.0,0.0,0.0,-36188.33792
t56,37618.261777716,0.0,-697.5798797160032,0.0,0.0,0.0,0.0,0.0,0.0,-36998.82053
t57,38364.133828,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38442.27246
t58,41057.50076600696,0.0,-0.12625960695676558,0.0,0.0,0.0,0.0,0.0,0.0,-41135.32598
t59,43650.97749563479,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-43728.72547
t60,46310.513684034784,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-46388.0745
t61,48798.18262283478,0.0,-0.06313043478287553,0.0,0.0,0.0,0.0,0.0,0.0,-48875.60307
t62,51088.5964608,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51165.89288
t63,53134.13635919998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53211.24562
t64,54750.18989028489,98.10465771510636,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54925.26344
t65,54893.138177721004,726.0,-0.0,0.0,0.0,0.0,283.35504867899635,0.0,0.0,-55979.27496
t66,54221.715203582,726.0,-0.0,0.0,0.0,0.0,753.2956616179918,0.0,0.0,-55777.65223
t67,53563.183374632004,254.6874389679915,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53894.32502
t68,52474.598317019016,726.0,-0.0,0.0,0.0,0.0,76.98547538098774,0.0,0.0,-53353.89763
