Region,Resource,Zone,Cluster,AnnualSum
TX,biomass,1,1,2.1039080825991128e6
TX,conventional_hydroelectric,1,1,616853.58605056
TX,conventional_steam_coal,1,1,0.0
TX,conventional_steam_coal_5,1,1,0.0
TX,conventional_steam_coal_1,1,2,0.0
TX,conventional_steam_coal_2,1,3,1.0808224660278684e8
TX,conventional_steam_coal_3,1,3,1.2750469768667088e6
TX,conventional_steam_coal_4,1,4,4.005553948813477e6
TX,natural_gas_fired_combined_cycle,1,1,395912.5183692414
TX,natural_gas_fired_combined_cycle_1,1,2,6.844525397354239e6
TX,natural_gas_fired_combined_cycle_2,1,3,1.1013464162053494e8
TX,natural_gas_fired_combined_cycle_3,1,4,8.523870261575852e6
TX,natural_gas_fired_combined_cycle_4,1,5,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,9.684529244282453e7
TX,natural_gas_fired_combined_cycle_6,1,7,725402.0033032288
TX,natural_gas_fired_combined_cycle_7,1,8,1.726749625418293e7
TX,natural_gas_fired_combined_cycle_8,1,9,2.1715502388103005e8
TX,natural_gas_fired_combined_cycle_9,1,10,3.4784395190188987e6
TX,natural_gas_fired_combined_cycle_10,1,11,346368.00076125417
TX,natural_gas_fired_combined_cycle_11,1,12,2.9300572052262444e6
TX,natural_gas_fired_combined_cycle_12,1,13,1.076697393536854e7
TX,natural_gas_fired_combined_cycle_13,1,14,1.4376760780294308e8
TX,natural_gas_fired_combined_cycle_14,1,15,8.347726804422625e6
TX,natural_gas_fired_combustion_turbine,1,1,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,7.172002872865375e6
TX,natural_gas_fired_combustion_turbine_2,1,3,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,3198.5506627199998
TX,natural_gas_fired_combustion_turbine_5,1,6,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,14897.793197007926
TX,natural_gas_fired_combustion_turbine_7,1,8,204511.57906153478
TX,natural_gas_fired_combustion_turbine_8,1,9,4128.892103570665
TX,natural_gas_fired_combustion_turbine_9,1,10,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,4365.395644432414
TX,natural_gas_fired_combustion_turbine_13,1,14,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,106557.81102103853
TX,natural_gas_fired_combustion_turbine_15,1,16,0.0
TX,natural_gas_steam_turbine,1,1,1.388386918924077e6
TX,natural_gas_steam_turbine_1,1,2,0.0
TX,natural_gas_steam_turbine_2,1,3,0.0
TX,natural_gas_steam_turbine_3,1,4,174900.8883211855
TX,natural_gas_steam_turbine_4,1,5,0.0
TX,natural_gas_steam_turbine_5,1,6,0.0
TX,natural_gas_steam_turbine_6,1,7,1.5163874601458212e7
TX,natural_gas_steam_turbine_7,1,8,0.0
TX,natural_gas_steam_turbine_8,1,9,599307.4253919683
TX,natural_gas_steam_turbine_9,1,10,0.0
TX,natural_gas_steam_turbine_10,1,11,0.0
TX,natural_gas_steam_turbine_11,1,12,0.0
TX,natural_gas_steam_turbine_12,1,13,0.0
TX,natural_gas_steam_turbine_13,1,14,9.526744382414421e6
TX,natural_gas_steam_turbine_14,1,15,241387.29287957848
TX,natural_gas_steam_turbine_15,1,16,149059.54773335703
TX,natural_gas_steam_turbine_16,1,17,0.0
TX,natural_gas_steam_turbine_17,1,18,0.0
TX,nuclear,1,1,8.597451434312595e7
TX,nuclear_1,1,2,8.392750209686112e7
TX,onshore_wind_turbine,1,1,3.8883096096548426e8
TX,small_hydroelectric,1,1,0.0
TX,solar_photovoltaic,1,1,5.240401605546561e7
TX,Battery,1,1,4.6300608215698395e6
